,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Treasury Shares Number,66337508.0,64310426.0,64283710.0,64234512.0,57105354.0
Ordinary Shares Number,1765256986.0,1767104613.0,1765942851.0,1765723150.0,1765940733.0
Share Issued,1831594494.0,1831415039.0,1830226561.0,1829957662.0,1823046087.0
Net Debt,61620000000.0,63822000000.0,57504000000.0,55934000000.0,46571000000.0
Total Debt,67144000000.0,71079000000.0,70634000000.0,74001000000.0,59385000000.0
Tangible Book Value,-91699000000.0,-95909000000.0,-86851000000.0,-87644000000.0,-77543000000.0
Invested Capital,70469000000.0,77111000000.0,77412000000.0,82008000000.0,69745000000.0
Working Capital,-13167000000.0,-15277000000.0,-8099000000.0,-2651000000.0,-4839000000.0
Net Tangible Assets,-91699000000.0,-95909000000.0,-86851000000.0,-87644000000.0,-77543000000.0
Common Stock Equity,3325000000.0,6032000000.0,6778000000.0,8007000000.0,10360000000.0
Total Capitalization,63665000000.0,64541000000.0,64826000000.0,71812000000.0,62554000000.0
Total Equity Gross Minority Interest,3364000000.0,6071000000.0,6821000000.0,8047000000.0,10397000000.0
Minority Interest,39000000.0,39000000.0,43000000.0,40000000.0,37000000.0
Stockholders Equity,3325000000.0,6032000000.0,6778000000.0,8007000000.0,10360000000.0
Gains Losses Not Affecting Retained Earnings,-1925000000.0,-2334000000.0,-2513000000.0,-2454000000.0,-2305000000.0
Other Equity Adjustments,-1925000000.0,-2334000000.0,-2513000000.0,-2454000000.0,-2305000000.0
Treasury Stock,8201000000.0,7848000000.0,7838000000.0,7829000000.0,6533000000.0
Retained Earnings,-7900000000.0,-4964000000.0,-3768000000.0,-2384000000.0,-1000000000.0
Additional Paid In Capital,21333000000.0,21160000000.0,20879000000.0,20656000000.0,20180000000.0
Capital Stock,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0
Common Stock,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0
Total Liabilities Net Minority Interest,131797000000.0,137351000000.0,135116000000.0,140827000000.0,124314000000.0
Total Non Current Liabilities Net Minority Interest,93048000000.0,94289000000.0,93201000000.0,99305000000.0,86473000000.0
Other Non Current Liabilities,27634000000.0,33031000000.0,32427000000.0,32778000000.0,28607000000.0
Employee Benefits,1234000000.0,,,,1538000000.0
Non Current Pension And Other Postretirement Benefit Plans,1234000000.0,,,,1538000000.0
Tradeand Other Payables Non Current,1261000000.0,,,,2182000000.0
Non Current Deferred Liabilities,2579000000.0,2749000000.0,2726000000.0,2722000000.0,1952000000.0
Non Current Deferred Taxes Liabilities,2579000000.0,2749000000.0,2726000000.0,2722000000.0,1952000000.0
Long Term Debt And Capital Lease Obligation,60340000000.0,58509000000.0,58048000000.0,63805000000.0,52194000000.0
Long Term Debt,60340000000.0,58509000000.0,58048000000.0,63805000000.0,52194000000.0
Current Liabilities,38749000000.0,43062000000.0,41915000000.0,41522000000.0,37841000000.0
Current Debt And Capital Lease Obligation,6804000000.0,12570000000.0,12586000000.0,10196000000.0,7191000000.0
Current Debt,6804000000.0,12570000000.0,12586000000.0,10196000000.0,7191000000.0
Payables And Accrued Expenses,31945000000.0,30492000000.0,29329000000.0,31326000000.0,30650000000.0
Current Accrued Expenses,26064000000.0,,,,24179000000.0
Payables,5881000000.0,,,,6471000000.0
Dividends Payable,2936000000.0,,,,2783000000.0
Accounts Payable,2945000000.0,,,,3688000000.0
Total Assets,135161000000.0,143422000000.0,141937000000.0,148874000000.0,134711000000.0
Total Non Current Assets,109579000000.0,115637000000.0,108121000000.0,110003000000.0,101709000000.0
Other Non Current Assets,9142000000.0,8288000000.0,9197000000.0,9067000000.0,8513000000.0
Investments And Advances,279000000.0,267000000.0,272000000.0,305000000.0,304000000.0
Goodwill And Other Intangible Assets,95024000000.0,101941000000.0,93629000000.0,95651000000.0,87903000000.0
Other Intangible Assets,60068000000.0,66646000000.0,60243000000.0,62225000000.0,55610000000.0
Goodwill,34956000000.0,35295000000.0,33386000000.0,33426000000.0,32293000000.0
Net PPE,5134000000.0,5141000000.0,5023000000.0,4980000000.0,4989000000.0
Accumulated Depreciation,-7133000000.0,-7138000000.0,-6880000000.0,-6745000000.0,-6646000000.0
Gross PPE,12267000000.0,12279000000.0,11903000000.0,11725000000.0,11635000000.0
Construction In Progress,1093000000.0,,,,1073000000.0
Machinery Furniture Equipment,7995000000.0,,,,7449000000.0
Buildings And Improvements,2895000000.0,,,,2827000000.0
Land And Improvements,284000000.0,,,,286000000.0
Properties,0.0,,,,0.0
Current Assets,25582000000.0,27785000000.0,33816000000.0,38871000000.0,33002000000.0
Other Current Assets,4927000000.0,4578000000.0,4717000000.0,4608000000.0,4932000000.0
Inventory,4181000000.0,4450000000.0,4218000000.0,4245000000.0,4099000000.0
Finished Goods,1173000000.0,1347000000.0,1189000000.0,1258000000.0,1356000000.0
Work In Process,1951000000.0,2071000000.0,1930000000.0,1890000000.0,1643000000.0
Raw Materials,1057000000.0,1032000000.0,1099000000.0,1097000000.0,1100000000.0
Receivables,10919000000.0,11472000000.0,11724000000.0,11949000000.0,11155000000.0
Accounts Receivable,10919000000.0,11472000000.0,11724000000.0,11949000000.0,11155000000.0
Cash Cash Equivalents And Short Term Investments,5555000000.0,7285000000.0,13157000000.0,18069000000.0,12816000000.0
Other Short Term Investments,31000000.0,28000000.0,27000000.0,2000000.0,2000000.0
Cash And Cash Equivalents,5524000000.0,7257000000.0,13130000000.0,18067000000.0,12814000000.0
