,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-334530000.0,-19750000.0,-337680000.0,-36960000.0,-15686468.646865,
Tax Rate For Calcs,0.21,0.25,0.36,0.22,0.320132,
Normalized EBITDA,2128000000.0,4962000000.0,5941000000.0,4657000000.0,3901000000.0,
Total Unusual Items,-1593000000.0,-79000000.0,-938000000.0,-168000000.0,-49000000.0,
Total Unusual Items Excluding Goodwill,-1593000000.0,-79000000.0,-938000000.0,-168000000.0,-49000000.0,
Net Income From Continuing Operation Net Minority Interest,-22000000.0,1561000000.0,1370000000.0,1369000000.0,822000000.0,
Reconciled Depreciation,2102000000.0,2079000000.0,2131000000.0,2074000000.0,2076000000.0,
Reconciled Cost Of Revenue,4396000000.0,4212000000.0,4202000000.0,4094000000.0,5704000000.0,
EBITDA,535000000.0,4883000000.0,5003000000.0,4489000000.0,3852000000.0,
EBIT,-1567000000.0,2804000000.0,2872000000.0,2415000000.0,1776000000.0,
Net Interest Income,-610000000.0,-591000000.0,-506000000.0,-453000000.0,-378000000.0,
Interest Expense,702000000.0,720000000.0,726000000.0,660000000.0,564000000.0,
Interest Income,92000000.0,129000000.0,220000000.0,207000000.0,186000000.0,
Normalized Income,1236470000.0,1620250000.0,1970320000.0,1500040000.0,855313531.353135,
Net Income From Continuing And Discontinued Operation,-22000000.0,1561000000.0,1370000000.0,1369000000.0,822000000.0,
Total Expenses,15018000000.0,10547000000.0,9527000000.0,9348000000.0,11106000000.0,
Total Operating Income As Reported,-1490000000.0,3831000000.0,3998000000.0,2798000000.0,3195000000.0,
Diluted Average Shares,1769000000.0,1772000000.0,1771000000.0,1773000000.0,1772000000.0,
Basic Average Shares,1765256986.0,1767104613.0,1765942851.0,1765723150.0,1765940733.0,
Diluted EPS,-0.02,0.88,0.77,0.77,0.46,
Basic EPS,-0.012463,0.883366,0.77579,0.77532,0.465474,
Diluted NI Availto Com Stockholders,-32000000.0,1551000000.0,1360000000.0,1359000000.0,779000000.0,
Net Income Common Stockholders,-32000000.0,1551000000.0,1360000000.0,1359000000.0,779000000.0,
Otherunder Preferred Stock Dividend,10000000.0,10000000.0,10000000.0,10000000.0,,11000000.0
Net Income,-22000000.0,1561000000.0,1370000000.0,1369000000.0,822000000.0,
Minority Interests,1000000.0,-3000000.0,-3000000.0,-3000000.0,-2000000.0,
Net Income Including Noncontrolling Interests,-23000000.0,1564000000.0,1373000000.0,1372000000.0,824000000.0,
Net Income Continuous Operations,-23000000.0,1564000000.0,1373000000.0,1372000000.0,824000000.0,
Tax Provision,-2246000000.0,520000000.0,773000000.0,383000000.0,388000000.0,
Pretax Income,-2269000000.0,2084000000.0,2146000000.0,1755000000.0,1212000000.0,
Other Income Expense,-1743000000.0,-1238000000.0,-2283000000.0,-754000000.0,-1605000000.0,
Other Non Operating Income Expenses,-150000000.0,-1159000000.0,-1345000000.0,-586000000.0,-1556000000.0,
Special Income Charges,-1574000000.0,-82000000.0,-937000000.0,-164000000.0,-282000000.0,
Other Special Charges,1574000000.0,82000000.0,937000000.0,164000000.0,282000000.0,
Restructuring And Mergern Acquisition,,,937000000.0,164000000.0,,
Gain On Sale Of Security,-19000000.0,3000000.0,-1000000.0,-4000000.0,-49000000.0,
Net Non Operating Interest Income Expense,-610000000.0,-591000000.0,-506000000.0,-453000000.0,-378000000.0,
Interest Expense Non Operating,702000000.0,720000000.0,726000000.0,660000000.0,564000000.0,
Interest Income Non Operating,92000000.0,129000000.0,220000000.0,207000000.0,186000000.0,
Operating Income,84000000.0,3913000000.0,4935000000.0,2962000000.0,3195000000.0,
Operating Expense,10622000000.0,6335000000.0,5325000000.0,5254000000.0,5402000000.0,
Other Operating Expenses,,,,,0.0,
Research And Development,6774000000.0,2130000000.0,1948000000.0,1939000000.0,2209000000.0,
Selling General And Administration,3855000000.0,4205000000.0,3377000000.0,3315000000.0,3193000000.0,
Gross Profit,10706000000.0,10248000000.0,10260000000.0,8216000000.0,8597000000.0,
Cost Of Revenue,4396000000.0,4212000000.0,4202000000.0,4094000000.0,5704000000.0,
Total Revenue,15102000000.0,14460000000.0,14462000000.0,12310000000.0,14301000000.0,
Operating Revenue,15102000000.0,14460000000.0,14462000000.0,12310000000.0,14301000000.0,
