,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Treasury Shares Number,259774639.0,256595476.0,250131563.0,250155515.0,253807494.0
Ordinary Shares Number,1731697991.0,1734455938.0,1739897004.0,1739633759.0,1734076358.0
Share Issued,1991472630.0,1991051414.0,1990028567.0,1989789274.0,1987883852.0
Net Debt,6509000000.0,7421000000.0,7767000000.0,8302000000.0,7783000000.0
Total Debt,15021000000.0,14979000000.0,14754000000.0,14586000000.0,15628000000.0
Tangible Book Value,17909000000.0,8786000000.0,8183000000.0,7131000000.0,6109000000.0
Invested Capital,61789000000.0,54775000000.0,54072000000.0,53396000000.0,53282000000.0
Working Capital,9499000000.0,8900000000.0,9359000000.0,8355000000.0,8829000000.0
Net Tangible Assets,17909000000.0,8786000000.0,8183000000.0,7131000000.0,6109000000.0
Capital Lease Obligations,896000000.0,,,,949000000.0
Common Stock Equity,47664000000.0,39796000000.0,39318000000.0,38810000000.0,38603000000.0
Total Capitalization,60289000000.0,52621000000.0,52457000000.0,51386000000.0,52202000000.0
Total Equity Gross Minority Interest,47901000000.0,40028000000.0,39560000000.0,39043000000.0,38827000000.0
Minority Interest,237000000.0,232000000.0,242000000.0,233000000.0,224000000.0
Stockholders Equity,47664000000.0,39796000000.0,39318000000.0,38810000000.0,38603000000.0
Gains Losses Not Affecting Retained Earnings,-7906000000.0,-7804000000.0,-8135000000.0,-8166000000.0,-7839000000.0
Other Equity Adjustments,-7906000000.0,-7804000000.0,-8135000000.0,-8166000000.0,-7839000000.0
Treasury Stock,16844000000.0,16476000000.0,15759000000.0,15761000000.0,15981000000.0
Retained Earnings,47261000000.0,39056000000.0,38354000000.0,38011000000.0,37554000000.0
Capital Stock,25153000000.0,25020000000.0,24858000000.0,24726000000.0,24869000000.0
Common Stock,25153000000.0,25020000000.0,24858000000.0,24726000000.0,24869000000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,33513000000.0,34328000000.0,33457000000.0,33424000000.0,34387000000.0
Total Non Current Liabilities Net Minority Interest,19356000000.0,19426000000.0,19697000000.0,19403000000.0,20546000000.0
Other Non Current Liabilities,3443000000.0,6601000000.0,6558000000.0,6827000000.0,3466000000.0
Employee Benefits,1880000000.0,,,,1964000000.0
Non Current Pension And Other Postretirement Benefit Plans,1880000000.0,,,,1964000000.0
Non Current Deferred Liabilities,512000000.0,,,,568000000.0
Non Current Deferred Taxes Liabilities,512000000.0,,,,568000000.0
Long Term Debt And Capital Lease Obligation,13521000000.0,12825000000.0,13139000000.0,12576000000.0,14548000000.0
Long Term Capital Lease Obligation,896000000.0,,,,949000000.0
Long Term Debt,12625000000.0,12825000000.0,13139000000.0,12576000000.0,13599000000.0
Current Liabilities,14157000000.0,14902000000.0,13760000000.0,14021000000.0,13841000000.0
Current Debt And Capital Lease Obligation,1500000000.0,2154000000.0,1615000000.0,2010000000.0,1080000000.0
Current Debt,1500000000.0,2154000000.0,1615000000.0,2010000000.0,1080000000.0
