,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,2100000.0,1667010.309278,1138767.890479,0.0,-2687465.181058,
Tax Rate For Calcs,0.21,0.151546,0.189795,0.146936,0.111978,
Normalized EBITDA,2963000000.0,2872000000.0,2546000000.0,2382000000.0,2791000000.0,
Total Unusual Items,10000000.0,11000000.0,6000000.0,,-24000000.0,10000000.0
Total Unusual Items Excluding Goodwill,10000000.0,11000000.0,6000000.0,,-24000000.0,10000000.0
Net Income From Continuing Operation Net Minority Interest,9229000000.0,1646000000.0,1302000000.0,1225000000.0,1594000000.0,
Reconciled Depreciation,807000000.0,801000000.0,805000000.0,805000000.0,813000000.0,
Reconciled Cost Of Revenue,4600000000.0,4367000000.0,4269000000.0,4130000000.0,4224000000.0,
EBITDA,2973000000.0,2883000000.0,2552000000.0,2382000000.0,2767000000.0,
EBIT,2166000000.0,2082000000.0,1747000000.0,1577000000.0,1954000000.0,
Net Interest Income,-45000000.0,-51000000.0,-58000000.0,-61000000.0,-70000000.0,
Interest Expense,136000000.0,142000000.0,140000000.0,141000000.0,159000000.0,
Interest Income,91000000.0,91000000.0,82000000.0,80000000.0,89000000.0,
Normalized Income,9221100000.0,1636667010.309278,1297138767.890479,1225000000.0,1615312534.818942,
Net Income From Continuing And Discontinued Operation,9229000000.0,1646000000.0,1302000000.0,1225000000.0,1594000000.0,
Total Expenses,9063000000.0,8776000000.0,8708000000.0,8578000000.0,8461000000.0,
Total Operating Income As Reported,1911000000.0,1859000000.0,1669000000.0,1386000000.0,1780000000.0,
Diluted Average Shares,1746000000.0,1748000000.0,1751000000.0,1750000000.0,1748000000.0,
Basic Average Shares,1731697991.0,1734455938.0,1739897004.0,1739633759.0,1734076358.0,
Diluted EPS,5.27,0.94,0.74,0.7,0.91,
Basic EPS,5.329451,0.949001,0.74832,0.704171,0.919221,
Diluted NI Availto Com Stockholders,9229000000.0,1646000000.0,1302000000.0,1225000000.0,1594000000.0,
Net Income Common Stockholders,9229000000.0,1646000000.0,1302000000.0,1225000000.0,1594000000.0,
Net Income,9229000000.0,1646000000.0,1302000000.0,1225000000.0,1594000000.0,
Net Income Including Noncontrolling Interests,9229000000.0,1646000000.0,1302000000.0,1225000000.0,1594000000.0,
Net Income Continuous Operations,9229000000.0,1646000000.0,1302000000.0,1225000000.0,1594000000.0,
Tax Provision,-7199000000.0,294000000.0,305000000.0,211000000.0,201000000.0,
Pretax Income,2030000000.0,1940000000.0,1607000000.0,1436000000.0,1795000000.0,
Other Income Expense,164000000.0,132000000.0,-4000000.0,111000000.0,85000000.0,
Other Non Operating Income Expenses,154000000.0,121000000.0,-10000000.0,111000000.0,109000000.0,
Gain On Sale Of Security,10000000.0,11000000.0,6000000.0,,-24000000.0,10000000.0
Net Non Operating Interest Income Expense,-45000000.0,-51000000.0,-58000000.0,-61000000.0,-70000000.0,
Interest Expense Non Operating,136000000.0,142000000.0,140000000.0,141000000.0,159000000.0,
Interest Income Non Operating,91000000.0,91000000.0,82000000.0,80000000.0,89000000.0,
Operating Income,1911000000.0,1859000000.0,1669000000.0,1386000000.0,1780000000.0,
Operating Expense,4121000000.0,4078000000.0,4105000000.0,4115000000.0,3905000000.0,
Depreciation Amortization Depletion Income Statement,465000000.0,470000000.0,471000000.0,472000000.0,481000000.0,
Depreciation And Amortization In Income Statement,465000000.0,470000000.0,471000000.0,472000000.0,481000000.0,
Amortization,465000000.0,470000000.0,471000000.0,472000000.0,481000000.0,
Amortization Of Intangibles Income Statement,465000000.0,470000000.0,471000000.0,472000000.0,481000000.0,
Research And Development,749000000.0,713000000.0,698000000.0,684000000.0,700000000.0,
Selling General And Administration,2907000000.0,2895000000.0,2936000000.0,2959000000.0,2724000000.0,
Gross Profit,6032000000.0,5937000000.0,5774000000.0,5501000000.0,5685000000.0,
Cost Of Revenue,4942000000.0,4698000000.0,4603000000.0,4463000000.0,4556000000.0,
Total Revenue,10974000000.0,10635000000.0,10377000000.0,9964000000.0,10241000000.0,
Operating Revenue,10974000000.0,10635000000.0,10377000000.0,9964000000.0,10241000000.0,
