,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.203748,0.216,0.263185,0.254,0.184439,,
Normalized EBITDA,2718545000.0,3363924000.0,2749159000.0,3011129000.0,2453531000.0,,
Total Unusual Items,,,,,,,0.0
Total Unusual Items Excluding Goodwill,,,,,,,0.0
Net Income From Continuing Operation Net Minority Interest,1788075000.0,2278894000.0,1684301000.0,1932183000.0,1674859000.0,,
Reconciled Depreciation,365102000.0,378637000.0,393763000.0,345425000.0,347487000.0,,
Reconciled Cost Of Revenue,11684313000.0,11866716000.0,11068363000.0,10968377000.0,10921045000.0,,
EBITDA,2718545000.0,3363924000.0,2749159000.0,3011129000.0,2453531000.0,,
EBIT,2353443000.0,2985287000.0,2355396000.0,2665704000.0,2106044000.0,,
Net Interest Income,11444000.0,45985000.0,28482000.0,42356000.0,54964000.0,,
Interest Expense,64669000.0,30042000.0,22835000.0,11334000.0,10305000.0,,
Interest Income,76113000.0,76027000.0,51317000.0,53690000.0,65269000.0,,
Normalized Income,1788075000.0,2278894000.0,1684301000.0,1932183000.0,1674859000.0,,
Net Income From Continuing And Discontinued Operation,1788075000.0,2278894000.0,1684301000.0,1932183000.0,1674859000.0,,
Total Expenses,14414587000.0,14741068000.0,14052151000.0,13835963000.0,13753087000.0,,
Total Operating Income As Reported,2244714000.0,2948477000.0,2353668000.0,2630865000.0,2046427000.0,,
Diluted Average Shares,634211978.0,634656410.0,633883494.0,635607597.0,636797814.0,,
Basic Average Shares,626824946.0,625676922.0,626122298.0,628353267.0,629016555.0,,
Diluted EPS,2.82,3.59,2.66,3.04,2.63,,
Basic EPS,2.85,3.64,2.69,3.07,2.66,,
Diluted NI Availto Com Stockholders,1789760000.0,2281064000.0,1685907000.0,1934084000.0,1676534000.0,,
Average Dilution Earnings,1685000.0,2170000.0,1606000.0,1901000.0,1675000.0,,
Net Income Common Stockholders,1788075000.0,2278894000.0,1684301000.0,1932183000.0,1674859000.0,,
Net Income,1788075000.0,2278894000.0,1684301000.0,1932183000.0,1674859000.0,,
Minority Interests,-34366000.0,-37296000.0,-34365000.0,-49165000.0,-34343000.0,,
Net Income Including Noncontrolling Interests,1822441000.0,2316190000.0,1718666000.0,1981348000.0,1709202000.0,,
Net Income Continuous Operations,1822441000.0,2316190000.0,1718666000.0,1981348000.0,1709202000.0,,
Tax Provision,466333000.0,639055000.0,613895000.0,673022000.0,386537000.0,,
Pretax Income,2288774000.0,2955245000.0,2332561000.0,2654370000.0,2095739000.0,,
Other Income Expense,32616000.0,-39217000.0,-49589000.0,-18851000.0,-5652000.0,,
Other Non Operating Income Expenses,32616000.0,-39217000.0,-49589000.0,-18851000.0,-5652000.0,,
Special Income Charges,,,,,,,0.0
Gain On Sale Of Business,,,,,,,0.0
Net Non Operating Interest Income Expense,11444000.0,45985000.0,28482000.0,42356000.0,54964000.0,,
Interest Expense Non Operating,64669000.0,30042000.0,22835000.0,11334000.0,10305000.0,,
Interest Income Non Operating,76113000.0,76027000.0,51317000.0,53690000.0,65269000.0,,
Operating Income,2244714000.0,2948477000.0,2353668000.0,2630865000.0,2046427000.0,,
Operating Expense,2730274000.0,2874352000.0,2983788000.0,2867586000.0,2832042000.0,,
Other Operating Expenses,,,105947000.0,77420000.0,115409000.0,139664000.0,471883000.0
Selling General And Administration,2730274000.0,2874352000.0,2877841000.0,2790166000.0,2716633000.0,,
Selling And Marketing Expense,1676781000.0,1811109000.0,1755272000.0,1750366000.0,1631185000.0,,
General And Administrative Expense,1053493000.0,1063243000.0,1122569000.0,1039800000.0,1085448000.0,,
Other Gand A,1053493000.0,1063243000.0,1122569000.0,1039800000.0,1085448000.0,,
Gross Profit,4974988000.0,5822829000.0,5337456000.0,5498451000.0,4878469000.0,,
Cost Of Revenue,11684313000.0,11866716000.0,11068363000.0,10968377000.0,10921045000.0,,
Total Revenue,16659301000.0,17689545000.0,16405819000.0,16466828000.0,15799514000.0,,
Operating Revenue,16659301000.0,17689545000.0,16405819000.0,16466828000.0,15799514000.0,,
