,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30
Tax Effect Of Unusual Items,1020000.0,-2475138.121547,2160000.0,720000.0,-353520000.0,
Tax Rate For Calcs,0.17,0.154696,0.18,0.18,0.36,
Normalized EBITDA,2455000000.0,2275000000.0,2294000000.0,2181000000.0,2189000000.0,
Total Unusual Items,6000000.0,-16000000.0,12000000.0,4000000.0,-982000000.0,
Total Unusual Items Excluding Goodwill,6000000.0,-16000000.0,12000000.0,4000000.0,-982000000.0,
Net Income From Continuing Operation Net Minority Interest,1811000000.0,1683000000.0,1684000000.0,1573000000.0,620000000.0,
Reconciled Depreciation,217000000.0,218000000.0,213000000.0,214000000.0,212000000.0,
Reconciled Cost Of Revenue,446000000.0,440000000.0,384000000.0,426000000.0,420000000.0,
EBITDA,2461000000.0,2259000000.0,2306000000.0,2185000000.0,1207000000.0,
EBIT,2244000000.0,2041000000.0,2093000000.0,1971000000.0,995000000.0,
Net Interest Income,-62000000.0,291000000.0,-51000000.0,-41000000.0,-27000000.0,
Interest Expense,62000000.0,50000000.0,51000000.0,41000000.0,27000000.0,
Normalized Income,1806020000.0,1696524861.878453,1674160000.0,1569720000.0,1248480000.0,
Net Income From Continuing And Discontinued Operation,1811000000.0,1683000000.0,1684000000.0,1573000000.0,620000000.0,
Total Expenses,3551000000.0,3649000000.0,3416000000.0,3424000000.0,3275000000.0,
Total Operating Income As Reported,2163000000.0,1957000000.0,1992000000.0,1885000000.0,907000000.0,
Diluted Average Shares,438000000.0,443000000.0,448000000.0,451000000.0,456000000.0,
Basic Average Shares,436000000.0,441000000.0,445000000.0,449000000.0,453000000.0,
Diluted EPS,4.14,3.79,3.76,3.49,1.36,
Basic EPS,4.15,3.81,3.78,3.5,1.37,
Diluted NI Availto Com Stockholders,1811000000.0,1683000000.0,1684000000.0,1573000000.0,620000000.0,
Net Income Common Stockholders,1811000000.0,1683000000.0,1684000000.0,1573000000.0,620000000.0,
Net Income,1811000000.0,1683000000.0,1684000000.0,1573000000.0,620000000.0,
Net Income Including Noncontrolling Interests,1811000000.0,1683000000.0,1684000000.0,1573000000.0,620000000.0,
Net Income Continuous Operations,1811000000.0,1683000000.0,1684000000.0,1573000000.0,620000000.0,
Tax Provision,371000000.0,308000000.0,358000000.0,357000000.0,348000000.0,
Pretax Income,2182000000.0,1991000000.0,2042000000.0,1930000000.0,968000000.0,
Other Income Expense,81000000.0,-257000000.0,101000000.0,86000000.0,-912000000.0,
Other Non Operating Income Expenses,75000000.0,,89000000.0,82000000.0,70000000.0,-156000000.0
Special Income Charges,0.0,0.0,0.0,0.0,-1000000000.0,
Other Special Charges,,,,,1000000000.0,
Restructuring And Mergern Acquisition,0.0,0.0,0.0,0.0,1000000000.0,
Gain On Sale Of Security,6000000.0,-16000000.0,12000000.0,4000000.0,18000000.0,
Net Non Operating Interest Income Expense,-62000000.0,291000000.0,-51000000.0,-41000000.0,-27000000.0,
Interest Expense Non Operating,62000000.0,50000000.0,51000000.0,41000000.0,27000000.0,
Operating Income,2163000000.0,1957000000.0,1992000000.0,1885000000.0,1907000000.0,
Operating Expense,2929000000.0,3033000000.0,2862000000.0,2826000000.0,2685000000.0,
Depreciation Amortization Depletion Income Statement,41000000.0,42000000.0,43000000.0,42000000.0,42000000.0,
Depreciation And Amortization In Income Statement,41000000.0,42000000.0,43000000.0,42000000.0,42000000.0,
Amortization,41000000.0,42000000.0,43000000.0,42000000.0,42000000.0,
Amortization Of Intangibles Income Statement,41000000.0,42000000.0,43000000.0,42000000.0,42000000.0,
Research And Development,1026000000.0,999000000.0,1022000000.0,984000000.0,939000000.0,
Selling General And Administration,1862000000.0,1992000000.0,1797000000.0,1800000000.0,1704000000.0,
Selling And Marketing Expense,1495000000.0,1536000000.0,1431000000.0,1445000000.0,1352000000.0,
General And Administrative Expense,367000000.0,456000000.0,366000000.0,355000000.0,352000000.0,
Other Gand A,367000000.0,456000000.0,366000000.0,355000000.0,352000000.0,
Gross Profit,5092000000.0,4990000000.0,4854000000.0,4711000000.0,4592000000.0,
Cost Of Revenue,622000000.0,616000000.0,554000000.0,598000000.0,590000000.0,
Total Revenue,5714000000.0,5606000000.0,5408000000.0,5309000000.0,5182000000.0,
Operating Revenue,5714000000.0,5606000000.0,5408000000.0,5309000000.0,5182000000.0,
