,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Treasury Shares Number,,,,,0.0
Ordinary Shares Number,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0
Share Issued,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0
Total Debt,274973909000.0,238750600000.0,229784102000.0,210321503000.0,180191442000.0
Tangible Book Value,233407883000.0,225477110000.0,216068202000.0,208574962000.0,207215274000.0
Invested Capital,512348196000.0,467268970000.0,448600363000.0,421507002000.0,389905494000.0
Net Tangible Assets,233407883000.0,225477110000.0,216068202000.0,208574962000.0,207215274000.0
Common Stock Equity,240371214000.0,230964750000.0,221112796000.0,213124651000.0,211218707000.0
Total Capitalization,512348196000.0,467268970000.0,448600363000.0,421507002000.0,389905494000.0
Total Equity Gross Minority Interest,240383648000.0,230964750000.0,221112796000.0,213124651000.0,211218707000.0
Minority Interest,12434000.0,0.0,0.0,0.0,0.0
Stockholders Equity,240371214000.0,230964750000.0,221112796000.0,213124651000.0,211218707000.0
Retained Earnings,42544211000.0,33313140000.0,24282537000.0,13362873000.0,66674330000.0
Additional Paid In Capital,3505742000.0,3505742000.0,3505742000.0,3505742000.0,3505742000.0
Capital Stock,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0
Common Stock,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2412721713000.0,2173325179000.0,2070180256000.0,1859339202000.0,1693550781000.0
Derivative Product Liabilities,17639759000.0,17182917000.0,19268324000.0,16570237000.0,14970634000.0
Long Term Debt And Capital Lease Obligation,274973909000.0,238750600000.0,229784102000.0,210321503000.0,180191442000.0
Payables,9806324000.0,8764357000.0,13691844000.0,13711900000.0,12594250000.0
Total Tax Payable,9806324000.0,8764357000.0,13691844000.0,13711900000.0,12594250000.0
Total Assets,2653105361000.0,2404289929000.0,2291293052000.0,2072463853000.0,1904769488000.0
Investments And Advances,233748520000.0,350020795000.0,219974113000.0,239467527000.0,218066339000.0
Investmentin Financial Assets,229944656000.0,346109383000.0,216235598000.0,236128445000.0,215004473000.0
Available For Sale Securities,142327456000.0,255736321000.0,131979679000.0,140514931000.0,132044372000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,28760522000.0,22086183000.0,21407035000.0,20769133000.0,16254116000.0
Long Term Equity Investment,3803864000.0,3911412000.0,3738515000.0,3339082000.0,3061866000.0
Investmentsin Joint Venturesat Cost,0.0,0.0,0.0,0.0,0.0
Investmentsin Associatesat Cost,20956000.0,20956000.0,19528000.0,19528000.0,19528000.0
Investmentsin Subsidiariesat Cost,3782908000.0,3890456000.0,3718987000.0,3319554000.0,3042338000.0
Investment Properties,0.0,0.0,0.0,0.0,0.0
Goodwill And Other Intangible Assets,6963331000.0,5487640000.0,5044594000.0,4549689000.0,4003433000.0
Other Intangible Assets,6828926000.0,5353235000.0,4910189000.0,4415284000.0,3869028000.0
Goodwill,134405000.0,134405000.0,134405000.0,134405000.0,134405000.0
Net PPE,38955510000.0,28228020000.0,27510811000.0,26210086000.0,25317389000.0
Accumulated Depreciation,,,,,-3720756000.0
Gross PPE,,,,,29038145000.0
Construction In Progress,,,,,504310000.0
Other Properties,,,,,28533835000.0
Taxes Receivable,1023049000.0,4047975000.0,310931000.0,210772000.0,112084000.0
Cash And Cash Equivalents,501355271000.0,367885500000.0,423165124000.0,341777943000.0,351501549000.0
Cash Equivalents,767876000.0,349050000.0,458618000.0,366741000.0,937415000.0
Cash Financial,21938366000.0,20003065000.0,18429859000.0,19173089000.0,15847918000.0
Cash Cash Equivalents And Federal Funds Sold,890328463000.0,602748081000.0,704153282000.0,510277125000.0,487535725000.0
