,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-3449919.931713,0.0,0.0,-5407845.364523,-768951.190578,
Tax Rate For Calcs,0.22676,0.180882,0.119002,0.200886,0.141507,
Total Unusual Items,-15214000.0,0.0,0.0,-26920000.0,-5434000.0,
Total Unusual Items Excluding Goodwill,-15214000.0,0.0,0.0,-26920000.0,-5434000.0,
Net Income From Continuing Operation Net Minority Interest,9231071000.0,9030603000.0,10919664000.0,13184778000.0,15026894000.0,
Reconciled Depreciation,1024723000.0,,,747956000.0,637995000.0,
Net Interest Income,17562736000.0,14049416000.0,18370858000.0,20104906000.0,19022927000.0,
Interest Expense,130148266000.0,117287354000.0,101541696000.0,79777243000.0,62870948000.0,
Interest Income,147711002000.0,131336770000.0,119912554000.0,99882149000.0,81893875000.0,
Normalized Income,9242835080.068287,9030603000.0,10919664000.0,13206290154.635477,15031559048.809422,
Net Income From Continuing And Discontinued Operation,9231071000.0,9030603000.0,10919664000.0,13184778000.0,15026894000.0,
Diluted Average Shares,,5198965458.0,5199840000.0,5200000000.0,,5199844648.0
Basic Average Shares,,5198965458.0,5199840000.0,5200000000.0,,5199844648.0
Diluted EPS,,1.737,2.1,2.536,,3.933
Basic EPS,,1.737,2.1,2.536,,3.933
Diluted NI Availto Com Stockholders,9231071000.0,9030603000.0,10919664000.0,13184778000.0,15026894000.0,
Net Income Common Stockholders,9231071000.0,9030603000.0,10919664000.0,13184778000.0,15026894000.0,
Net Income,9231071000.0,9030603000.0,10919664000.0,13184778000.0,15026894000.0,
Minority Interests,3924000.0,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,9227147000.0,9030603000.0,10919664000.0,13184778000.0,15026894000.0,
Net Income Discontinuous Operations,0.0,0.0,,0.0,0.0,0.0
Net Income Continuous Operations,9227147000.0,9030603000.0,10919664000.0,13184778000.0,15026894000.0,
Tax Provision,2705942000.0,1994185000.0,1474990000.0,3314463000.0,2476919000.0,
Pretax Income,11933089000.0,11024788000.0,12394654000.0,16499241000.0,17503813000.0,
Special Income Charges,-15214000.0,0.0,0.0,-26920000.0,-5434000.0,
Write Off,-1987000.0,,,26920000.0,511000.0,
Impairment Of Capital Assets,17201000.0,,,0.0,4923000.0,
Restructuring And Mergern Acquisition,,,0.0,,,
Operating Expense,24316891000.0,21815699000.0,20356039000.0,19386043000.0,14472003000.0,
Other Operating Expenses,13781938000.0,14087750000.0,13039491000.0,10194443000.0,7716203000.0,
Depreciation And Amortization In Income Statement,1024723000.0,,,747956000.0,637995000.0,
Amortization,410261000.0,,,278001000.0,246863000.0,
Depreciation Income Statement,614462000.0,,,469955000.0,391132000.0,
Selling General And Administration,604014000.0,,,499605000.0,408492000.0,
Selling And Marketing Expense,604014000.0,,,499605000.0,408492000.0,
Rent And Landing Fees,316458000.0,,,168249000.0,189782000.0,
Total Revenue,44042415000.0,39587181000.0,36545866000.0,40166985000.0,37358841000.0,
Operating Revenue,44042415000.0,39587181000.0,36545866000.0,40166985000.0,37358841000.0,
