,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,473175.0,473175.0,473175.0,473175.0,473175.0,
Ordinary Shares Number,434526825.0,434526825.0,434526825.0,434526825.0,434526825.0,
Share Issued,435000000.0,435000000.0,435000000.0,435000000.0,435000000.0,
Net Debt,6773052000.0,9016387673.0,7629489805.0,5028874627.0,3376299000.0,
Total Debt,15628780000.0,13270791614.0,11619345045.0,9703609146.0,8211953000.0,
Tangible Book Value,58587087000.0,53861398416.0,48156717272.0,44855940722.0,57827938000.0,
Invested Capital,75574063000.0,68417568730.0,60960293960.0,55751299059.0,67296927000.0,
Working Capital,406446000.0,-714916812.0,939618954.0,1347437386.0,3666773000.0,
Net Tangible Assets,58587087000.0,53861398416.0,48156717272.0,44855940722.0,57827938000.0,
Capital Lease Obligations,119254000.0,110061283.0,103495104.0,92724559.0,108885000.0,
Common Stock Equity,60064537000.0,55256838399.0,49444444019.0,46140414472.0,59193859000.0,
Total Capitalization,67698648000.0,59037628743.0,53483520766.0,48666845813.0,59938880000.0,
Total Equity Gross Minority Interest,64702580000.0,59397773609.0,53109582692.0,49544556618.0,63450636000.0,
Minority Interest,4638043000.0,4140935210.0,3665138673.0,3404142146.0,4256777000.0,
Stockholders Equity,60064537000.0,55256838399.0,49444444019.0,46140414472.0,59193859000.0,
Other Equity Interest,5255706000.0,4929476778.0,4527351826.0,4481950031.0,5735044000.0,
Fixed Assets Revaluation Reserve,,0.0,0.0,-4306821.0,-4126318.0,3195805.0
Treasury Stock,1141430000.0,978995387.0,793074246.0,692600613.0,869010000.0,
Retained Earnings,50780220000.0,46464453747.0,41492426068.0,39354879016.0,50977277000.0,
Capital Stock,435000000.0,435000000.0,435000000.0,435000000.0,435000000.0,
Common Stock,435000000.0,435000000.0,435000000.0,435000000.0,435000000.0,
Total Liabilities Net Minority Interest,29234474000.0,25152582984.0,23471859714.0,21820841617.0,22251009000.0,
Total Non Current Liabilities Net Minority Interest,10201109000.0,5874785114.0,6128949760.0,4488816065.0,3242921000.0,
Other Non Current Liabilities,28900000.0,28556164.0,28463108.0,27338220.0,40275000.0,
Non Current Pension And Other Postretirement Benefit Plans,142313000.0,136499529.0,137811788.0,143524579.0,170620000.0,
Tradeand Other Payables Non Current,724264000.0,791632378.0,699297720.0,662293074.0,845951000.0,
Non Current Deferred Revenue,313924000.0,374252727.0,489678885.0,517886055.0,699862000.0,
Non Current Deferred Taxes Liabilities,1268803000.0,684973049.0,659877773.0,542552519.0,660714000.0,
Long Term Debt And Capital Lease Obligation,7722905000.0,3858871267.0,4113820486.0,2595221618.0,825499000.0,
Long Term Capital Lease Obligation,88794000.0,78080923.0,74743739.0,68790277.0,80478000.0,
Long Term Debt,7634111000.0,3780790344.0,4039076747.0,2526431341.0,745021000.0,
Current Liabilities,19033365000.0,19277797870.0,17342909954.0,17332025552.0,19008088000.0,
Other Current Liabilities,,8116375.0,5016.0,7397.0,,8965195.0
Current Debt And Capital Lease Obligation,7905875000.0,9411920347.0,7505524559.0,7108387528.0,7386454000.0,
Current Capital Lease Obligation,30460000.0,31980360.0,28751365.0,23934282.0,28407000.0,
Current Debt,7875415000.0,9379939987.0,7476773194.0,7084453246.0,7358047000.0,
Pensionand Other Post Retirement Benefit Plans Current,,,,,,67548767.0
Current Provisions,92128000.0,81800184.0,78485792.0,47524695.0,65403000.0,
Payables,10189089000.0,8828727115.0,8269137028.0,8489284237.0,9563760000.0,
Other Payable,6918736000.0,7074112790.0,6283988371.0,6501100014.0,6342606000.0,
Total Tax Payable,724568000.0,181772487.0,66547694.0,158759363.0,414304000.0,
Accounts Payable,2545785000.0,1572841838.0,1918600963.0,1829424860.0,2806850000.0,
Total Assets,93937054000.0,84550356593.0,76581442406.0,71365398235.0,85701645000.0,
Total Non Current Assets,74497243000.0,65987475535.0,58298913498.0,52685935297.0,63026784000.0,
Other Non Current Assets,576000.0,118245879.0,118238991.0,118233799.0,,127607682.0
Non Current Prepaid Assets,1647621000.0,1421675128.0,1527130829.0,961048234.0,1004773000.0,
Non Current Deferred Taxes Assets,2324300000.0,2053664422.0,1843244329.0,1852495409.0,2137626000.0,
Investmentin Financial Assets,4028696000.0,4119654130.0,4066809232.0,3614153846.0,2535125000.0,
Held To Maturity Securities,,,,,0.0,0.0
Available For Sale Securities,,,,3930257.0,4383000.0,3763407.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,4028696000.0,4119654130.0,4066809232.0,3610223589.0,2530742000.0,
Long Term Equity Investment,43052722000.0,39518402695.0,34339305827.0,32295555605.0,41310451000.0,
Investments In Other Ventures Under Equity Method,,134050748.0,223597594.0,83964667.0,,
Investmentsin Associatesat Cost,,39384351947.0,34115708233.0,32211590938.0,,
Investment Properties,6072844000.0,3821704896.0,3578412723.0,3294062997.0,4184298000.0,
Goodwill And Other Intangible Assets,1477450000.0,1395439983.0,1287726747.0,1284473750.0,1365921000.0,
Other Intangible Assets,869426000.0,823289340.0,764029273.0,638417304.0,715920000.0,
Goodwill,608024000.0,572150643.0,523697474.0,646056446.0,650001000.0,
Net PPE,15705500000.0,13369117618.0,11396749667.0,9149666828.0,10353325000.0,
Accumulated Depreciation,-7006568000.0,,,,-6676714000.0,
Gross PPE,22712068000.0,13369117618.0,11396749667.0,9149666828.0,17030039000.0,
Construction In Progress,5417517000.0,,,,2733241000.0,
Other Properties,1936070000.0,13369117618.0,11396749667.0,9149666828.0,1889361000.0,
Machinery Furniture Equipment,8113969000.0,,,,7313689000.0,
