,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,363794743.911436,169168.293764,3028808.25,422098.483929,40348744.244073,
Tax Rate For Calcs,0.194054,0.023689,0.25,0.04428,0.030988,
Normalized EBITDA,885650232.0,2705920133.0,743866868.0,-649331950.0,-2941321562.0,
Total Unusual Items,1874709535.0,7141119.0,12115233.0,9532564.0,1302096113.0,
Total Unusual Items Excluding Goodwill,1874709535.0,7141119.0,12115233.0,9532564.0,1302096113.0,
Net Income From Continuing Operation Net Minority Interest,1617088774.0,1427041340.0,201207008.0,-1275481945.0,-2269509358.0,
Reconciled Depreciation,229824756.0,207692172.0,180871926.0,129015146.0,331910829.0,
Reconciled Cost Of Revenue,1765040027.0,1506496019.0,1894135781.0,1642444815.0,2257336525.0,
EBITDA,2760359767.0,2713061252.0,755982101.0,-639799386.0,-1639225449.0,
EBIT,2530535011.0,2505369080.0,575110175.0,-768814532.0,-1971136278.0,
Net Interest Income,-1060762210.0,-765608181.0,35837313.0,-263606870.0,-151091430.0,
Interest Expense,234713700.0,895593711.0,217168859.0,564823988.0,385317418.0,
Interest Income,708597490.0,129985530.0,253006172.0,301217118.0,246911104.0,
Normalized Income,106173982.911436,1420069389.293764,192120583.25,-1284592410.516071,-3531256726.755927,
Net Income From Continuing And Discontinued Operation,1617088774.0,1427041340.0,201207008.0,-1275481945.0,-2269509358.0,
Total Expenses,597081299.0,2605540814.0,2704207879.0,2450249496.0,2667368239.0,
Total Operating Income As Reported,-791270356.0,284340812.0,6481298.0,318946440.0,590943221.0,
Diluted Average Shares,,429321962.0,429512670.0,429400000.0,,430611803.0
Basic Average Shares,,429321962.0,429512670.0,429400000.0,,430611803.0
Diluted EPS,,3.324,0.468,-2.97,,0.328
Basic EPS,,3.324,0.468,-2.97,,0.328
Diluted NI Availto Com Stockholders,1617088774.0,1427041340.0,201207008.0,-1275481945.0,-2269509358.0,
Net Income Common Stockholders,1617088774.0,1427041340.0,201207008.0,-1275481945.0,-2269509358.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,1617088774.0,1427041340.0,201207008.0,-1275481945.0,-2269509358.0,
Minority Interests,-233219400.0,-144599536.0,40051049.0,-896456.0,13923655.0,
Net Income Including Noncontrolling Interests,1850308174.0,1571640876.0,161155959.0,-1274585489.0,-2283433013.0,
Net Income Continuous Operations,1850308174.0,1571640876.0,161155959.0,-1274585489.0,-2283433013.0,
Tax Provision,445513137.0,38134493.0,196785357.0,-59053031.0,-73020683.0,
Pretax Income,2295821311.0,1609775369.0,357941316.0,-1333638520.0,-2356453696.0,
Other Non Operating Income Expenses,-358759851.0,206057436.0,-311128107.0,-584943072.0,-2396384487.0,
Special Income Charges,819773535.0,7141119.0,12115233.0,9532564.0,4223739.0,
Other Special Charges,-861823551.0,251229.0,-7213462.0,-164988.0,,-271940.0
Restructuring And Mergern Acquisition,42050016.0,-7392348.0,-4901771.0,-9367576.0,6487077.0,
Net Non Operating Interest Income Expense,-1060762210.0,-765608181.0,35837313.0,-263606870.0,-151091430.0,
Interest Expense Non Operating,234713700.0,895593711.0,217168859.0,564823988.0,385317418.0,
Interest Income Non Operating,708597490.0,129985530.0,253006172.0,301217118.0,246911104.0,
Operating Income,252754570.0,-320093640.0,-389390485.0,-805770767.0,-443704215.0,
Operating Expense,-1167958728.0,1099044795.0,810072098.0,807804681.0,410031714.0,
Other Operating Expenses,-1262679617.0,586911802.0,520278904.0,553175855.0,-3776529.0,
Research And Development,9099945.0,8159831.0,4139735.0,2509647.0,,0.0
Selling General And Administration,-639860571.0,583079394.0,396004561.0,347844126.0,-99721895.0,
Selling And Marketing Expense,15386991.0,52434302.0,43785118.0,26178609.0,21614760.0,
General And Administrative Expense,-655247562.0,530645092.0,352219443.0,321665517.0,-121336655.0,
Gross Profit,-915204158.0,778951155.0,420681613.0,2033914.0,-33672501.0,
Cost Of Revenue,1765040027.0,1506496019.0,1894135781.0,1642444815.0,2257336525.0,
Total Revenue,849835869.0,2285447174.0,2314817394.0,1644478729.0,2223664024.0,
Operating Revenue,849835869.0,2285447174.0,2314817394.0,1644478729.0,2223664024.0,
