,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,515000000.0,515000000.0,515000000.0,515000000.0,515000000.0,
Ordinary Shares Number,10593000000.0,10511000000.0,10490000000.0,10403000000.0,10383000000.0,
Share Issued,11108000000.0,11026000000.0,11005000000.0,10918000000.0,10898000000.0,
Net Debt,,,,,,11493000000.0
Total Debt,130900000000.0,134692000000.0,132973000000.0,134686000000.0,135611000000.0,
Tangible Book Value,254294000000.0,236070000000.0,213568000000.0,193891000000.0,171399000000.0,
Invested Capital,338593000000.0,314041000000.0,291336000000.0,274295000000.0,260189000000.0,
Working Capital,11436000000.0,14315000000.0,15135000000.0,11024000000.0,7434000000.0,
Net Tangible Assets,254294000000.0,236070000000.0,213568000000.0,193891000000.0,171399000000.0,
Capital Lease Obligations,78277000000.0,79802000000.0,78084000000.0,77052000000.0,77297000000.0,
Common Stock Equity,285970000000.0,259151000000.0,236447000000.0,216661000000.0,201875000000.0,
Total Capitalization,338593000000.0,314041000000.0,291336000000.0,274295000000.0,260189000000.0,
Total Equity Gross Minority Interest,285970000000.0,259151000000.0,236447000000.0,216661000000.0,201875000000.0,
Stockholders Equity,285970000000.0,259151000000.0,236447000000.0,216661000000.0,201875000000.0,
Gains Losses Not Affecting Retained Earnings,-34000000.0,-1918000000.0,-3993000000.0,-3598000000.0,-3040000000.0,
Other Equity Adjustments,-34000000.0,-1918000000.0,-3993000000.0,-3598000000.0,-3040000000.0,
Treasury Stock,7837000000.0,7837000000.0,7837000000.0,7837000000.0,7837000000.0,
Retained Earnings,172866000000.0,152862000000.0,137534000000.0,124049000000.0,113618000000.0,
Additional Paid In Capital,120864000000.0,115934000000.0,110633000000.0,103938000000.0,99025000000.0,
Capital Stock,111000000.0,110000000.0,110000000.0,109000000.0,109000000.0,
Common Stock,111000000.0,110000000.0,110000000.0,109000000.0,109000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,338924000000.0,325475000000.0,318371000000.0,314308000000.0,325979000000.0,
Total Non Current Liabilities Net Minority Interest,159493000000.0,163998000000.0,160199000000.0,161343000000.0,161062000000.0,
Other Non Current Liabilities,28593000000.0,29306000000.0,27226000000.0,26657000000.0,25451000000.0,
Long Term Debt And Capital Lease Obligation,130900000000.0,134692000000.0,132973000000.0,134686000000.0,135611000000.0,
Long Term Capital Lease Obligation,78277000000.0,79802000000.0,78084000000.0,77052000000.0,77297000000.0,
Long Term Debt,52623000000.0,54890000000.0,54889000000.0,57634000000.0,58314000000.0,
Current Liabilities,179431000000.0,161477000000.0,158172000000.0,152965000000.0,164917000000.0,
Current Deferred Liabilities,18103000000.0,16305000000.0,16004000000.0,15927000000.0,15227000000.0,
Current Deferred Revenue,18103000000.0,16305000000.0,16004000000.0,15927000000.0,15227000000.0,
Payables And Accrued Expenses,161328000000.0,145172000000.0,142168000000.0,137038000000.0,149690000000.0,
Current Accrued Expenses,66965000000.0,60602000000.0,60351000000.0,63970000000.0,64709000000.0,
Payables,94363000000.0,84570000000.0,81817000000.0,73068000000.0,84981000000.0,
Accounts Payable,94363000000.0,84570000000.0,81817000000.0,73068000000.0,84981000000.0,
Total Assets,624894000000.0,584626000000.0,554818000000.0,530969000000.0,527854000000.0,
Total Non Current Assets,434027000000.0,408834000000.0,381511000000.0,366980000000.0,355503000000.0,
Other Non Current Assets,73545000000.0,71309000000.0,63340000000.0,60947000000.0,48337000000.0,
Goodwill And Other Intangible Assets,31676000000.0,23081000000.0,22879000000.0,22770000000.0,30476000000.0,
Other Intangible Assets,8602000000.0,,,,7687000000.0,
Goodwill,23074000000.0,23081000000.0,22879000000.0,22770000000.0,22789000000.0,
Net PPE,328806000000.0,314444000000.0,295292000000.0,283263000000.0,276690000000.0,
Accumulated Depreciation,-141390000000.0,,,,-120111000000.0,
Gross PPE,470196000000.0,314444000000.0,295292000000.0,283263000000.0,396801000000.0,
Construction In Progress,46636000000.0,,,,28840000000.0,
Other Properties,300521000000.0,314444000000.0,295292000000.0,283263000000.0,262668000000.0,
Land And Improvements,,,,,105293000000.0,
Properties,123039000000.0,,,,105293000000.0,
Current Assets,190867000000.0,175792000000.0,173307000000.0,163989000000.0,172351000000.0,
Other Current Assets,,,5906000000.0,5568000000.0,,5320000000.0
Inventory,34214000000.0,36103000000.0,34109000000.0,31147000000.0,33318000000.0,
Inventories Adjustments Allowances,-3000000000.0,-2700000000.0,-2600000000.0,-2600000000.0,-3000000000.0,
Other Inventories,37214000000.0,38803000000.0,36709000000.0,33747000000.0,36318000000.0,
Finished Goods,,,,,,35406000000.0
Receivables,55451000000.0,51638000000.0,50106000000.0,47768000000.0,52253000000.0,
Other Receivables,,,3000000000.0,3100000000.0,,2500000000.0
Accounts Receivable,55451000000.0,51638000000.0,50106000000.0,47768000000.0,52253000000.0,
Allowance For Doubtful Accounts Receivable,-2000000000.0,-1900000000.0,-1700000000.0,-1700000000.0,-1700000000.0,
Gross Accounts Receivable,57451000000.0,53538000000.0,51806000000.0,49468000000.0,53953000000.0,
Cash Cash Equivalents And Short Term Investments,101202000000.0,88051000000.0,89092000000.0,85074000000.0,86780000000.0,
Other Short Term Investments,22423000000.0,12960000000.0,17914000000.0,12222000000.0,13393000000.0,
Cash And Cash Equivalents,78779000000.0,75091000000.0,71178000000.0,72852000000.0,73387000000.0,
