,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,68876288.0,68876288.0,68876288.0,68876288.0,68876288.0,
Ordinary Shares Number,606851917.0,606851917.0,606851917.0,606851917.0,606851917.0,
Share Issued,675728205.0,675728205.0,675728205.0,675728205.0,675728205.0,
Net Debt,78315706000.0,85851743000.0,66487584000.0,55443965000.0,49306676000.0,
Total Debt,138043080000.0,129919097000.0,121255155000.0,106764529000.0,101909543000.0,
Tangible Book Value,22310361000.0,30238524000.0,35481401000.0,28314022000.0,26001200000.0,
Invested Capital,196302353000.0,195442758000.0,188787451000.0,161041037000.0,151268358000.0,
Working Capital,8228721000.0,26800057000.0,23591202000.0,34725416000.0,33520838000.0,
Net Tangible Assets,22310361000.0,30238524000.0,35481401000.0,28314022000.0,26001200000.0,
Capital Lease Obligations,8911549000.0,9757761000.0,9510547000.0,4719779000.0,3811089000.0,
Common Stock Equity,67170822000.0,75281422000.0,77042843000.0,58996287000.0,53169904000.0,
Total Capitalization,136477754000.0,140287975000.0,125856652000.0,105039073000.0,94768426000.0,
Total Equity Gross Minority Interest,75063593000.0,92254999000.0,93454190000.0,66651549000.0,59563339000.0,
Minority Interest,7892771000.0,16973577000.0,16411347000.0,7655262000.0,6393435000.0,
Stockholders Equity,67170822000.0,75281422000.0,77042843000.0,58996287000.0,53169904000.0,
Other Equity Interest,22871352000.0,21482059000.0,19667532000.0,18090272000.0,15633510000.0,
Fixed Assets Revaluation Reserve,,,,,16286000.0,35246000.0
Treasury Stock,11522557000.0,10842718000.0,9954795000.0,9182977000.0,7980782000.0,
Retained Earnings,62623844000.0,38195068000.0,40450775000.0,22398932000.0,19123179000.0,
Additional Paid In Capital,,,,,,889000.0
Capital Stock,675728000.0,675728000.0,675728000.0,675728000.0,675728000.0,
Common Stock,675728000.0,675728000.0,675728000.0,675728000.0,675728000.0,
Total Liabilities Net Minority Interest,322662481000.0,312816123000.0,299295593000.0,212892668000.0,198574568000.0,
Total Non Current Liabilities Net Minority Interest,101425032000.0,100492818000.0,81091952000.0,66742780000.0,60773469000.0,
Other Non Current Liabilities,6476788000.0,3991856000.0,4034426000.0,4557041000.0,4116658000.0,
Derivative Product Liabilities,0.0,928638000.0,314461000.0,552685000.0,777409000.0,
Non Current Pension And Other Postretirement Benefit Plans,7422998000.0,8166310000.0,7168218000.0,3382963000.0,3400314000.0,
Non Current Deferred Revenue,4155192000.0,5054658000.0,4520037000.0,3950789000.0,3382887000.0,
Non Current Deferred Taxes Liabilities,4683062000.0,6185304000.0,6198584000.0,3658530000.0,3388075000.0,
Long Term Debt And Capital Lease Obligation,75776290000.0,72009272000.0,55666026000.0,49220623000.0,44461154000.0,
Long Term Capital Lease Obligation,6469358000.0,7002719000.0,6852217000.0,3177837000.0,2862632000.0,
Long Term Debt,69306932000.0,65006553000.0,48813809000.0,46042786000.0,41598522000.0,
Long Term Provisions,2910702000.0,4156780000.0,3190200000.0,1420149000.0,1246972000.0,
Current Liabilities,221237449000.0,212323305000.0,218203641000.0,146149888000.0,137801099000.0,
Other Current Liabilities,2563532000.0,1980295000.0,1809875000.0,1806529000.0,1800593000.0,
Current Debt And Capital Lease Obligation,62266790000.0,57909825000.0,65589129000.0,57543906000.0,57448389000.0,
Current Capital Lease Obligation,2442191000.0,2755042000.0,2658330000.0,1541942000.0,948457000.0,
Current Debt,59824599000.0,55154783000.0,62930799000.0,56001964000.0,56499932000.0,
Pensionand Other Post Retirement Benefit Plans Current,1477122000.0,1616590000.0,917322000.0,260639000.0,368312000.0,
Current Provisions,13573681000.0,12464524000.0,11827102000.0,7556949000.0,6348121000.0,
Payables,118045045000.0,112490698000.0,115411396000.0,64874817000.0,59319610000.0,
Other Payable,16384464000.0,8259668000.0,7131438000.0,3896923000.0,4581687000.0,
Dividends Payable,41586000.0,40744000.0,38104000.0,37974000.0,35681000.0,
Total Tax Payable,5794246000.0,6511455000.0,6829458000.0,3301101000.0,3936791000.0,
Accounts Payable,95824749000.0,97678831000.0,101412396000.0,57638819000.0,50765451000.0,
Total Assets,397726074000.0,405071122000.0,392749783000.0,279544217000.0,258137907000.0,
Total Non Current Assets,168259904000.0,165947760000.0,150954940000.0,98668913000.0,86815970000.0,
Other Non Current Assets,1240529000.0,1400501000.0,1285676000.0,219181000.0,178175000.0,
Non Current Prepaid Assets,660902000.0,714480000.0,551658000.0,478557000.0,270669000.0,
Non Current Deferred Taxes Assets,23029198000.0,23142896000.0,20274864000.0,9654231000.0,8231060000.0,
Financial Assets,34852000.0,,,,,
Investmentin Financial Assets,234939000.0,182480000.0,163730000.0,146109000.0,141740000.0,
Available For Sale Securities,234939000.0,182480000.0,163730000.0,146109000.0,141740000.0,
Long Term Equity Investment,2497349000.0,2352342000.0,2149818000.0,2096673000.0,1456117000.0,
Investments In Other Ventures Under Equity Method,2497349000.0,,,,,
Investmentsin Associatesat Cost,,2352342000.0,2149818000.0,2096673000.0,1456117000.0,1278545000.0
Goodwill And Other Intangible Assets,44860461000.0,45042898000.0,41561442000.0,30682265000.0,27168704000.0,
Other Intangible Assets,36313562000.0,36585915000.0,33458427000.0,22752671000.0,19899402000.0,
Goodwill,8546899000.0,8456983000.0,8103015000.0,7929594000.0,7269302000.0,
Net PPE,95666825000.0,93056826000.0,84932979000.0,55353006000.0,49335383000.0,
Accumulated Depreciation,-87727572000.0,-89547217000.0,-79121646000.0,-73344907000.0,-63001493000.0,
Gross PPE,183394397000.0,182604043000.0,164054625000.0,128697913000.0,112336876000.0,
Construction In Progress,16168806000.0,5869118000.0,4857204000.0,5000917000.0,10950005000.0,
Other Properties,,176734925000.0,159197421000.0,123696996000.0,,53131116000.0
Machinery Furniture Equipment,116836867000.0,,,,75898533000.0,
Buildings And Improvements,43446583000.0,,,,22422921000.0,
Land And Improvements,6942141000.0,,,,3065417000.0,
Properties,0.0,,,,0.0,
Current Assets,229466170000.0,239123362000.0,241794843000.0,180875304000.0,171321937000.0,
Other Current Assets,903431000.0,882776000.0,728803000.0,851209000.0,463447000.0,
Hedging Assets Current,409385000.0,431623000.0,412840000.0,67358000.0,453339000.0,
Current Deferred Assets,,,-1682820000.0,,,
Prepaid Assets,5486270000.0,8786118000.0,7597520000.0,5231605000.0,2539715000.0,
Inventory,71723427000.0,81551013000.0,76225412000.0,51824145000.0,47448681000.0,
Inventories Adjustments Allowances,-1349516000.0,-1263313000.0,-1217720000.0,-683353000.0,-639425000.0,
Finished Goods,38992069000.0,46370949000.0,43817305000.0,30570499000.0,27327130000.0,
Work In Process,2386110000.0,2524251000.0,2431729000.0,1667448000.0,1577797000.0,
Raw Materials,31694764000.0,33919126000.0,31194098000.0,20269551000.0,19183179000.0,
Other Receivables,1295289000.0,1135753000.0,1385927000.0,1019581000.0,527634000.0,
Taxes Receivable,5905571000.0,4892219000.0,5907688000.0,2202367000.0,4576974000.0,
Accounts Receivable,92926972000.0,107134267000.0,104279629000.0,73078254000.0,66520369000.0,
Allowance For Doubtful Accounts Receivable,-4070170000.0,-4442388000.0,-4451122000.0,-3342637000.0,-2016408000.0,
