,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,1932100656.853348,-334902398.124227,-238829500.0,-126831250.0,361851500.0,
Tax Rate For Calcs,0.301269,0.156142,0.25,0.25,0.25,
Normalized EBITDA,14706547000.0,5230968000.0,6611133000.0,6983947000.0,11710656000.0,
Total Unusual Items,6413201000.0,-2144862000.0,-955318000.0,-507325000.0,1447406000.0,
Total Unusual Items Excluding Goodwill,6413201000.0,-2144862000.0,-955318000.0,-507325000.0,1447406000.0,
Net Income From Continuing Operation Net Minority Interest,6695085000.0,-5001552000.0,-432399000.0,395111000.0,5100110000.0,
Reconciled Depreciation,5028310000.0,4886979000.0,4076697000.0,2558011000.0,5289813000.0,
Reconciled Cost Of Revenue,92858457000.0,77564147000.0,73467372000.0,50818300000.0,83159778000.0,
EBITDA,21119748000.0,3086106000.0,5655815000.0,6476622000.0,13158062000.0,
EBIT,16091438000.0,-1800873000.0,1579118000.0,3918611000.0,7868249000.0,
Net Interest Income,-6716975000.0,-6610974000.0,-2686803000.0,-3337159000.0,-3647478000.0,
Interest Expense,10879168000.0,4844706000.0,3129921000.0,2638035000.0,3900746000.0,
Interest Income,1413666000.0,590195000.0,791787000.0,677206000.0,987826000.0,
Normalized Income,2213984656.853348,-3191592398.124227,284089500.0,775604750.0,4014555500.0,
Net Income From Continuing And Discontinued Operation,6695085000.0,-5001552000.0,-432399000.0,395111000.0,5100110000.0,
Total Expenses,126824371000.0,104892673000.0,100852215000.0,69072538000.0,112113795000.0,
Total Operating Income As Reported,5667083000.0,-1927976000.0,109253000.0,2764641000.0,337321000.0,
Diluted Average Shares,,606851917.0,606851917.0,606851917.0,,606851917.0
Basic Average Shares,,606851917.0,606851917.0,606851917.0,,606851917.0
Diluted EPS,,-8.242,-0.713,0.651,,2.051
Basic EPS,,-8.242,-0.713,0.651,,2.051
Diluted NI Availto Com Stockholders,6695085000.0,-5001552000.0,-432399000.0,395111000.0,5100110000.0,
Net Income Common Stockholders,6695085000.0,-5001552000.0,-432399000.0,395111000.0,5100110000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,6695085000.0,-5001552000.0,-432399000.0,395111000.0,5100110000.0,
Minority Interests,3053112000.0,606375000.0,372843000.0,-143311000.0,-307175000.0,
Net Income Including Noncontrolling Interests,3641973000.0,-5607927000.0,-805242000.0,538422000.0,5407285000.0,
Net Income Continuous Operations,3641973000.0,-5607927000.0,-805242000.0,538422000.0,5407285000.0,
Tax Provision,1570297000.0,-1037652000.0,-745561000.0,742154000.0,-1439782000.0,
Pretax Income,5212270000.0,-6645579000.0,-1550803000.0,1280576000.0,3967503000.0,
Other Non Operating Income Expenses,7606901000.0,2431212000.0,1786083000.0,3240861000.0,,6359216000.0
Special Income Charges,7087526000.0,-924528000.0,882121000.0,-16073000.0,-66296000.0,
Other Special Charges,14479000.0,15422000.0,88269000.0,16073000.0,66296000.0,
Write Off,25800000.0,,,,,
Restructuring And Mergern Acquisition,-7127805000.0,909106000.0,-970390000.0,,,0.0
Net Non Operating Interest Income Expense,-6716975000.0,-6610974000.0,-2686803000.0,-3337159000.0,-3647478000.0,
Total Other Finance Cost,-2748527000.0,2356463000.0,348669000.0,1376330000.0,734558000.0,
Interest Expense Non Operating,10879168000.0,4844706000.0,3129921000.0,2638035000.0,3900746000.0,
Interest Income Non Operating,1413666000.0,590195000.0,791787000.0,677206000.0,987826000.0,
Operating Income,361353000.0,498074000.0,732135000.0,3192703000.0,-67358000.0,
Operating Expense,33965914000.0,27328526000.0,27384843000.0,18254238000.0,28954017000.0,
Other Operating Expenses,850228000.0,118698000.0,182541000.0,52128000.0,223559000.0,
Research And Development,1390496000.0,1504508000.0,1129967000.0,612226000.0,1247816000.0,
Selling General And Administration,32136691000.0,25978842000.0,26178361000.0,17681410000.0,27691196000.0,
Selling And Marketing Expense,24541271000.0,20130106000.0,20424792000.0,13387951000.0,21161888000.0,
General And Administrative Expense,7595420000.0,5848736000.0,5753569000.0,4293459000.0,6529308000.0,
Gross Profit,34327267000.0,27826600000.0,28116978000.0,21446941000.0,28886659000.0,
Cost Of Revenue,92858457000.0,77564147000.0,73467372000.0,50818300000.0,83159778000.0,
Total Revenue,127185724000.0,105390747000.0,101584350000.0,72265241000.0,112046437000.0,
Operating Revenue,127185724000.0,105390747000.0,101584350000.0,72265241000.0,112046437000.0,
