,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,,,0.0,0.0,0.0
Ordinary Shares Number,4560000000.0,4560000000.0,4560000000.0,4560000000.0,4560000000.0,
Share Issued,4560000000.0,4560000000.0,4560000000.0,4560000000.0,4560000000.0,
Net Debt,15925058000.0,29788162000.0,24969008000.0,19736869000.0,13327885000.0,
Total Debt,32585647000.0,33384987000.0,26887740000.0,22810589000.0,19973236000.0,
Tangible Book Value,118467562000.0,101791202000.0,93659810000.0,86633368000.0,75163272000.0,
Invested Capital,172861263000.0,157353050000.0,138968112000.0,124633148000.0,107248947000.0,
Working Capital,36357525000.0,31673202000.0,25442196000.0,29151692000.0,22705329000.0,
Net Tangible Assets,118467562000.0,101791202000.0,93659810000.0,86633368000.0,75163272000.0,
Capital Lease Obligations,23325000.0,,,,35322000.0,
Common Stock Equity,140298941000.0,123968063000.0,112080372000.0,101822559000.0,87311033000.0,
Total Capitalization,150025688000.0,127159708000.0,112709501000.0,102708539000.0,88440635000.0,
Total Equity Gross Minority Interest,141359149000.0,125353862000.0,113261318000.0,102888142000.0,88380378000.0,
Minority Interest,1060208000.0,1385799000.0,1180946000.0,1065583000.0,1069345000.0,
Stockholders Equity,140298941000.0,123968063000.0,112080372000.0,101822559000.0,87311033000.0,
Other Equity Interest,24199143000.0,22502337000.0,20286172000.0,18359790000.0,15359232000.0,
Fixed Assets Revaluation Reserve,4594565000.0,3947198000.0,3623958000.0,3342984000.0,2905335000.0,
Retained Earnings,82746364000.0,69576789000.0,61993247000.0,55603684000.0,47104308000.0,
Additional Paid In Capital,21004764000.0,19765486000.0,18146869000.0,16739899000.0,14548374000.0,
Capital Stock,4560000000.0,4560000000.0,4560000000.0,4560000000.0,4560000000.0,
Common Stock,4560000000.0,4560000000.0,4560000000.0,4560000000.0,4560000000.0,
Total Liabilities Net Minority Interest,101438362000.0,86954966000.0,72247671000.0,60280306000.0,62197507000.0,
Total Non Current Liabilities Net Minority Interest,31676969000.0,25918868000.0,13912536000.0,14713473000.0,12018914000.0,
Other Non Current Liabilities,40179000.0,14830000.0,20414000.0,4866000.0,4877000.0,
Non Current Pension And Other Postretirement Benefit Plans,1051359000.0,1210281000.0,1084533000.0,1088269000.0,1063278000.0,
Tradeand Other Payables Non Current,12344000.0,28581000.0,31100000.0,33787000.0,92702000.0,
Non Current Deferred Revenue,11828502000.0,17482281000.0,8156110000.0,9047975000.0,5908723000.0,
Non Current Deferred Taxes Liabilities,,,,,0.0,
Long Term Debt And Capital Lease Obligation,9733703000.0,3191645000.0,629129000.0,885980000.0,1149047000.0,
Long Term Capital Lease Obligation,6956000.0,,,,19445000.0,
Long Term Debt,9726747000.0,3191645000.0,629129000.0,885980000.0,1129602000.0,
Long Term Provisions,9010882000.0,3991250000.0,3991250000.0,3652596000.0,3800287000.0,
Current Liabilities,69761393000.0,61036098000.0,58335135000.0,45566833000.0,50178593000.0,
Other Current Liabilities,28460000.0,20516000.0,24279000.0,63555000.0,4013000.0,
Current Debt And Capital Lease Obligation,22851944000.0,30193342000.0,26258611000.0,21924609000.0,18824189000.0,
Current Capital Lease Obligation,16369000.0,,,,15877000.0,
Current Debt,22835575000.0,30193342000.0,26258611000.0,21924609000.0,18808312000.0,
Pensionand Other Post Retirement Benefit Plans Current,3057915000.0,877431000.0,952714000.0,761511000.0,1597757000.0,
Current Provisions,6912705000.0,4867560000.0,4554200000.0,4060560000.0,4404646000.0,
Payables,23839795000.0,16056780000.0,14886857000.0,13934022000.0,16401166000.0,
Other Payable,4072762000.0,2890538000.0,2411986000.0,2195765000.0,1530827000.0,
Total Tax Payable,6499000.0,,5119000.0,6870000.0,6258000.0,462110000.0
Accounts Payable,19760534000.0,13166242000.0,12469752000.0,11731387000.0,14864081000.0,
Total Assets,242797511000.0,212308828000.0,185508989000.0,163168448000.0,150577885000.0,
Total Non Current Assets,136678593000.0,119599528000.0,101731658000.0,88449923000.0,77693963000.0,
Other Non Current Assets,15883000.0,918607000.0,1026668000.0,1216491000.0,24570000.0,
Non Current Prepaid Assets,3441192000.0,2505248000.0,973696000.0,2348380000.0,2466647000.0,
Non Current Deferred Taxes Assets,8148087000.0,8118054000.0,5528921000.0,2603907000.0,718601000.0,
Investmentin Financial Assets,8089405000.0,8040177000.0,7382458000.0,6810518000.0,5918788000.0,
Available For Sale Securities,7874499000.0,,,,5918788000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,214906000.0,,,,,
Long Term Equity Investment,1332264000.0,1152995000.0,1051119000.0,944676000.0,859834000.0,
Goodwill And Other Intangible Assets,21831379000.0,22176861000.0,18420562000.0,15189191000.0,12147761000.0,
Other Intangible Assets,21831379000.0,22176861000.0,18420562000.0,15189191000.0,12147761000.0,
Net PPE,37884676000.0,33943368000.0,30213972000.0,27479339000.0,23729789000.0,
Accumulated Depreciation,-25227242000.0,-23373549000.0,-20788919000.0,-19311126000.0,-16589133000.0,
Gross PPE,63111918000.0,57316917000.0,51002891000.0,46790465000.0,40318922000.0,
Construction In Progress,7671940000.0,407653000.0,234701000.0,267690000.0,5904098000.0,
Other Properties,3094323000.0,56909264000.0,50768190000.0,46522775000.0,2048177000.0,
Machinery Furniture Equipment,28727931000.0,,,,19278141000.0,
Buildings And Improvements,15667861000.0,,,,7910199000.0,
Land And Improvements,7949863000.0,,,,5178307000.0,
Properties,0.0,,,,0.0,
