,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,57300734.830156,
Tax Rate For Calcs,0.012912,0.122471,0.25,0.25,0.187588,
Normalized EBITDA,11916975000.0,7344358000.0,1273206000.0,858295000.0,1524767000.0,
Total Unusual Items,,,,,305461000.0,234461000.0
Total Unusual Items Excluding Goodwill,,,,,305461000.0,234461000.0
Net Income From Continuing Operation Net Minority Interest,9157027000.0,4283965000.0,2277136000.0,1403761000.0,-2510692000.0,
Reconciled Depreciation,1055698000.0,830845000.0,723193000.0,689798000.0,2720153000.0,
Reconciled Cost Of Revenue,40102605000.0,38213775000.0,12646333000.0,10758391000.0,30929943000.0,
EBITDA,11916975000.0,7344358000.0,1273206000.0,858295000.0,1830228000.0,
EBIT,10861277000.0,6513513000.0,550013000.0,168497000.0,-889925000.0,
Net Interest Income,266159000.0,-1083979000.0,-864683000.0,-511085000.0,-1136351000.0,
Interest Expense,1593590000.0,1547974000.0,942158000.0,701777000.0,2157865000.0,
Interest Income,1859749000.0,463995000.0,77475000.0,190692000.0,1021514000.0,
Normalized Income,9157027000.0,4283965000.0,2277136000.0,1403761000.0,-2758852265.169844,
Net Income From Continuing And Discontinued Operation,9157027000.0,4283965000.0,2277136000.0,1403761000.0,-2510692000.0,
Total Expenses,45326617000.0,43502405000.0,15051194000.0,12158870000.0,35842272000.0,
Total Operating Income As Reported,12947593000.0,22777915000.0,4454780000.0,4482367000.0,10612627000.0,
Diluted Average Shares,,4560000000.0,4560000000.0,4560000000.0,,4560000000.0
Basic Average Shares,,4560000000.0,4560000000.0,4560000000.0,,4560000000.0
Diluted EPS,,0.9395,0.4994,0.3078,,0.562
Basic EPS,,0.9395,0.4994,0.3078,,0.562
Diluted NI Availto Com Stockholders,9157027000.0,4283965000.0,2277136000.0,1403761000.0,-2510692000.0,
Net Income Common Stockholders,9157027000.0,4283965000.0,2277136000.0,1403761000.0,-2510692000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,9157027000.0,4283965000.0,2277136000.0,1403761000.0,-2510692000.0,
Minority Interests,9007000.0,-73437000.0,-25802000.0,164844000.0,-34630000.0,
Net Income Including Noncontrolling Interests,9148020000.0,4357402000.0,2302938000.0,1238917000.0,-2476062000.0,
Net Income Continuous Operations,9148020000.0,4357402000.0,2302938000.0,1238917000.0,-2476062000.0,
Tax Provision,119667000.0,608137000.0,-2695083000.0,-1772197000.0,-571728000.0,
Pretax Income,9267687000.0,4965539000.0,-392145000.0,-533280000.0,-3047790000.0,
Other Non Operating Income Expenses,-3407512000.0,-10880966000.0,-3835744000.0,-3449090000.0,,-1452247000.0
Special Income Charges,,,,,293338000.0,234461000.0
Write Off,,,,,,-234461000.0
Net Non Operating Interest Income Expense,266159000.0,-1083979000.0,-864683000.0,-511085000.0,-1136351000.0,
Interest Expense Non Operating,1593590000.0,1547974000.0,942158000.0,701777000.0,2157865000.0,
Interest Income Non Operating,1859749000.0,463995000.0,77475000.0,190692000.0,1021514000.0,
Operating Income,14163004000.0,9561033000.0,4256049000.0,2980164000.0,5683759000.0,
Operating Expense,5224012000.0,5288630000.0,2404861000.0,1400479000.0,4912329000.0,
Other Operating Expenses,-1554981000.0,1078045000.0,800791000.0,855772000.0,157944000.0,
Research And Development,1711701000.0,1406229000.0,708267000.0,299227000.0,1890985000.0,
Selling General And Administration,-2665154000.0,3805379000.0,1606508000.0,1373248000.0,-632541000.0,
Selling And Marketing Expense,121853000.0,1154774000.0,524348000.0,338396000.0,383724000.0,
General And Administrative Expense,-2787007000.0,2650605000.0,1082160000.0,1034852000.0,-1016265000.0,
Gross Profit,19387016000.0,14849663000.0,6660910000.0,4380643000.0,10596088000.0,
Cost Of Revenue,40102605000.0,38213775000.0,12646333000.0,10758391000.0,30929943000.0,
Total Revenue,59489621000.0,53063438000.0,19307243000.0,15139034000.0,41526031000.0,
Operating Revenue,59489621000.0,53063438000.0,19307243000.0,15139034000.0,41526031000.0,
