,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Preferred Shares Number,409797847.0,,,409797858.0,409797858.0,406711800.0
Ordinary Shares Number,7610862311.0,7688767832.0,7774753442.0,7866868200.0,7895457665.0,
Share Issued,7610862311.0,7688767832.0,7774753442.0,7866868200.0,7895457665.0,
Net Debt,30184000000.0,31627000000.0,1902000000.0,13978000000.0,,
Total Debt,326670000000.0,335367000000.0,330903000000.0,335241000000.0,334302000000.0,
Tangible Book Value,203379000000.0,202937000000.0,198323000000.0,196134000000.0,194228000000.0,
Invested Capital,599070000000.0,607325000000.0,598247000000.0,600396000000.0,597551000000.0,
Net Tangible Assets,226538000000.0,227491000000.0,224871000000.0,224531000000.0,222625000000.0,
Common Stock Equity,272400000000.0,271958000000.0,267344000000.0,265155000000.0,263249000000.0,
Preferred Stock Equity,23159000000.0,24554000000.0,26548000000.0,28397000000.0,28397000000.0,
Total Capitalization,578838000000.0,593439000000.0,584366000000.0,589898000000.0,593850000000.0,
Total Equity Gross Minority Interest,295559000000.0,296512000000.0,293892000000.0,293552000000.0,291646000000.0,
Stockholders Equity,295559000000.0,296512000000.0,293892000000.0,293552000000.0,291646000000.0,
Gains Losses Not Affecting Retained Earnings,-15285000000.0,-14334000000.0,-17629000000.0,-18057000000.0,-17788000000.0,
Other Equity Adjustments,-15285000000.0,-14334000000.0,-17629000000.0,-18057000000.0,-17788000000.0,
Retained Earnings,242349000000.0,237954000000.0,233597000000.0,228902000000.0,224672000000.0,
Capital Stock,68495000000.0,72892000000.0,77924000000.0,82707000000.0,84762000000.0,
Common Stock,45336000000.0,48338000000.0,51376000000.0,54310000000.0,56365000000.0,
Preferred Stock,23159000000.0,24554000000.0,26548000000.0,28397000000.0,28397000000.0,
Total Liabilities Net Minority Interest,2965960000000.0,3027781000000.0,2964104000000.0,2980251000000.0,2888505000000.0,
Derivative Product Liabilities,39353000000.0,43131000000.0,40508000000.0,40401000000.0,43432000000.0,
Long Term Debt And Capital Lease Obligation,283279000000.0,296927000000.0,290474000000.0,296346000000.0,302204000000.0,
Long Term Debt,283279000000.0,296927000000.0,290474000000.0,296346000000.0,302204000000.0,
Long Term Provisions,1096000000.0,1100000000.0,1104000000.0,1158000000.0,1209000000.0,
Current Debt And Capital Lease Obligation,43391000000.0,38440000000.0,40429000000.0,38895000000.0,32098000000.0,
Current Debt,43391000000.0,38440000000.0,40429000000.0,38895000000.0,32098000000.0,
Other Current Borrowings,43391000000.0,38440000000.0,40429000000.0,38895000000.0,32098000000.0,
Payables And Accrued Expenses,,,,,,205139000000.0
Current Accrued Expenses,,,,,,205139000000.0
Total Assets,3261519000000.0,3324293000000.0,3257996000000.0,3273803000000.0,3180151000000.0,
Investments And Advances,1061416000000.0,1053128000000.0,1033146000000.0,1073922000000.0,1017946000000.0,
Held To Maturity Securities,558677000000.0,567553000000.0,577366000000.0,586863000000.0,594555000000.0,
Available For Sale Securities,12175000000.0,9717000000.0,9756000000.0,10046000000.0,10203000000.0,
Trading Securities,144132000000.0,160139000000.0,154729000000.0,163940000000.0,146539000000.0,
Goodwill And Other Intangible Assets,69021000000.0,69021000000.0,69021000000.0,69021000000.0,69021000000.0,
Goodwill,69021000000.0,69021000000.0,69021000000.0,69021000000.0,69021000000.0,
Net PPE,12168000000.0,12033000000.0,11917000000.0,11901000000.0,11855000000.0,
Receivables,97919000000.0,106221000000.0,95815000000.0,100850000000.0,96697000000.0,
Other Receivables,15672000000.0,14954000000.0,14837000000.0,14744000000.0,14816000000.0,
Accounts Receivable,82247000000.0,91267000000.0,80978000000.0,86106000000.0,81881000000.0,
Other Short Term Investments,346432000000.0,315719000000.0,291295000000.0,313073000000.0,266649000000.0,
Cash And Cash Equivalents,296486000000.0,303740000000.0,329001000000.0,321263000000.0,341419000000.0,
Cash Financial,26003000000.0,24847000000.0,25849000000.0,23550000000.0,27892000000.0,
Cash Cash Equivalents And Federal Funds Sold,571195000000.0,641446000000.0,666753000000.0,637356000000.0,622043000000.0,
