,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,56700000.0,0.0,
Tax Rate For Calcs,0.062324,0.058,0.088,0.081,0.21,
Total Unusual Items,,,,700000000.0,,
Total Unusual Items Excluding Goodwill,,,,700000000.0,,
Net Income From Continuing Operation Net Minority Interest,6665000000.0,6896000000.0,6897000000.0,6674000000.0,3144000000.0,
Reconciled Depreciation,559000000.0,549000000.0,543000000.0,538000000.0,527000000.0,
Net Interest Income,14359000000.0,13967000000.0,13702000000.0,14032000000.0,13946000000.0,
Interest Expense,21618000000.0,23524000000.0,23152000000.0,22253000000.0,21683000000.0,
Interest Income,35977000000.0,37491000000.0,36854000000.0,36285000000.0,35629000000.0,
Normalized Income,6665000000.0,6896000000.0,6897000000.0,6030700000.0,3144000000.0,
Net Income From Continuing And Discontinued Operation,6665000000.0,6896000000.0,6897000000.0,6674000000.0,3144000000.0,
Diluted Average Shares,,7902100000.0,7960900000.0,8031400000.0,8062500000.0,8075900000.0
Basic Average Shares,,7818000000.0,7897900000.0,7968200000.0,7990900000.0,8017100000.0
Diluted EPS,,0.81,0.83,0.76,0.35,0.9
Basic EPS,,0.82,0.83,0.77,0.36,0.91
Diluted NI Availto Com Stockholders,6399000000.0,6380000000.0,6582000000.0,6142000000.0,2671000000.0,
Average Dilution Earnings,,0.0,,,,0.0
Net Income Common Stockholders,6399000000.0,6380000000.0,6582000000.0,6142000000.0,2838000000.0,
Preferred Stock Dividends,266000000.0,516000000.0,315000000.0,532000000.0,306000000.0,
Net Income,6665000000.0,6896000000.0,6897000000.0,6674000000.0,3144000000.0,
Net Income Including Noncontrolling Interests,6665000000.0,6896000000.0,6897000000.0,6674000000.0,3144000000.0,
Net Income Continuous Operations,6665000000.0,6896000000.0,6897000000.0,6674000000.0,3144000000.0,
Tax Provision,443000000.0,428000000.0,663000000.0,588000000.0,-20000000.0,
Pretax Income,7108000000.0,7324000000.0,7560000000.0,7262000000.0,3124000000.0,
Special Income Charges,,,,700000000.0,,
Other Special Charges,,,,-700000000.0,,
Gain On Sale Of Security,0.0,0.0,0.0,0.0,0.0,
Selling General And Administration,12335000000.0,12136000000.0,12074000000.0,13778000000.0,11597000000.0,
Selling And Marketing Expense,1413000000.0,1353000000.0,1378000000.0,1306000000.0,1337000000.0,
General And Administrative Expense,10922000000.0,10783000000.0,10696000000.0,12472000000.0,10260000000.0,
Other Gand A,677000000.0,867000000.0,870000000.0,2277000000.0,800000000.0,
Salaries And Wages,10245000000.0,9916000000.0,9826000000.0,10195000000.0,9460000000.0,
Total Revenue,25347000000.0,25345000000.0,25377000000.0,25818000000.0,21959000000.0,
Operating Revenue,25347000000.0,25345000000.0,25377000000.0,25818000000.0,21959000000.0,
Occupancy And Equipment,1824000000.0,1836000000.0,1818000000.0,1811000000.0,1794000000.0,
Professional Expense And Contract Services Expense,744000000.0,723000000.0,654000000.0,548000000.0,550000000.0,
Other Non Interest Expense,1884000000.0,1784000000.0,1763000000.0,1800000000.0,1690000000.0,
