,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-820921998.771738,166788637.391229,174357750.0,117018865.864339,-33059831.264036,
Tax Rate For Calcs,0.351071,0.312923,0.25,0.396349,0.368215,
Normalized EBITDA,16404765000.0,11717916000.0,8563237000.0,10275015000.0,20068450000.0,
Total Unusual Items,-2338335000.0,533003000.0,697431000.0,295242000.0,-89784000.0,
Total Unusual Items Excluding Goodwill,-2338335000.0,533003000.0,697431000.0,295242000.0,-89784000.0,
Net Income From Continuing Operation Net Minority Interest,4732312000.0,4350985000.0,4521409000.0,3877861000.0,7392061000.0,
Reconciled Depreciation,5266872000.0,4729680000.0,3942602000.0,3273422000.0,7143005000.0,
Reconciled Cost Of Revenue,124635965000.0,103621250000.0,90940440000.0,85912467000.0,128625939000.0,
EBITDA,14066430000.0,12250919000.0,9260668000.0,10570257000.0,19978666000.0,
EBIT,8799558000.0,7521239000.0,5318066000.0,7296835000.0,12835661000.0,
Net Interest Income,-1569749000.0,-1188886000.0,-991617000.0,-895668000.0,-1126056000.0,
Interest Expense,1507142000.0,1154992000.0,1013090000.0,872108000.0,1119202000.0,
Interest Income,1770000.0,569000.0,42752000.0,2011000.0,16154000.0,
Normalized Income,6249725001.228262,3984770637.391229,3998335750.0,3699637865.864339,7448785168.735964,
Net Income From Continuing And Discontinued Operation,4732312000.0,4350985000.0,4521409000.0,3877861000.0,7392061000.0,
Total Expenses,149146177000.0,124489851000.0,109018074000.0,102421246000.0,151629668000.0,
Rent Expense Supplemental,220955000.0,164463000.0,67599000.0,173266000.0,118653000.0,
Total Operating Income As Reported,2831743000.0,898211000.0,141326000.0,1200806000.0,-7362744000.0,
Diluted Average Shares,,596842936.0,597279921.0,597000000.0,,596987943.0
Basic Average Shares,,596842936.0,597279921.0,597000000.0,,596987943.0
Diluted EPS,,7.29,7.57,6.5,,12.69
Basic EPS,,7.29,7.57,6.5,,12.69
Diluted NI Availto Com Stockholders,4732312000.0,4350985000.0,4521409000.0,3877861000.0,7392061000.0,
Net Income Common Stockholders,4732312000.0,4350985000.0,4521409000.0,3877861000.0,7392061000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,4732312000.0,4350985000.0,4521409000.0,3877861000.0,7392061000.0,
Minority Interests,53000.0,-23120000.0,-2410000.0,-432000.0,-10220000.0,
Net Income Including Noncontrolling Interests,4732259000.0,4374105000.0,4523819000.0,3878293000.0,7402281000.0,
Net Income Continuous Operations,4732259000.0,4374105000.0,4523819000.0,3878293000.0,7402281000.0,
Tax Provision,2560157000.0,1992142000.0,-218843000.0,2546434000.0,4314178000.0,
Pretax Income,7292416000.0,6366247000.0,4304976000.0,6424727000.0,11716459000.0,
Other Non Operating Income Expenses,4571581000.0,5561410000.0,4386350000.0,5684078000.0,,7898054000.0
Special Income Charges,-118760000.0,-551499000.0,164253000.0,-174241000.0,-832958000.0,
Other Special Charges,68518000.0,470798000.0,4816000.0,84375000.0,663370000.0,
Restructuring And Mergern Acquisition,50242000.0,80701000.0,-169069000.0,89866000.0,169588000.0,
Net Non Operating Interest Income Expense,-1569749000.0,-1188886000.0,-991617000.0,-895668000.0,-1126056000.0,
Total Other Finance Cost,64377000.0,34463000.0,21279000.0,25571000.0,23008000.0,
Interest Expense Non Operating,1507142000.0,1154992000.0,1013090000.0,872108000.0,1119202000.0,
Interest Income Non Operating,1770000.0,569000.0,42752000.0,2011000.0,16154000.0,
Operating Income,2960965000.0,1448336000.0,234767000.0,1347158000.0,-6806085000.0,
Operating Expense,24510212000.0,20868601000.0,18077634000.0,16508779000.0,23003729000.0,
Other Operating Expenses,1091254000.0,887176000.0,808798000.0,579167000.0,1043834000.0,
Depreciation And Amortization In Income Statement,5053727000.0,3951595000.0,3598122000.0,3141108000.0,7122830000.0,
Depreciation Income Statement,5053727000.0,3951595000.0,3598122000.0,3141108000.0,7122830000.0,
Selling General And Administration,3324734000.0,3092018000.0,2455536000.0,2326461000.0,3532557000.0,
Selling And Marketing Expense,1618349000.0,1531330000.0,1358771000.0,1151902000.0,1713479000.0,
General And Administrative Expense,1706385000.0,1560688000.0,1096765000.0,1174559000.0,1819078000.0,
Rent And Landing Fees,220955000.0,164463000.0,67599000.0,173266000.0,118653000.0,
Gross Profit,27471177000.0,22316937000.0,18312401000.0,17855937000.0,16197644000.0,
Cost Of Revenue,124635965000.0,103621250000.0,90940440000.0,85912467000.0,128625939000.0,
Total Revenue,152107142000.0,125938187000.0,109252841000.0,103768404000.0,144823583000.0,
Operating Revenue,152107142000.0,125938187000.0,109252841000.0,103768404000.0,144823583000.0,
