,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-6390026.714159,-31500000.0,-5674621.290724,-22976618.357488,-13266993.143976,,
Tax Rate For Calcs,0.266251,0.21,0.257937,0.258164,0.260137,,
Normalized EBITDA,9415000000.0,8626000000.0,9756000000.0,9830000000.0,9709000000.0,,
Total Unusual Items,-24000000.0,-150000000.0,-22000000.0,-89000000.0,-51000000.0,,
Total Unusual Items Excluding Goodwill,-24000000.0,-150000000.0,-22000000.0,-89000000.0,-51000000.0,,
Net Income From Continuing Operation Net Minority Interest,3375000000.0,4777000000.0,3629000000.0,3929000000.0,3857000000.0,,
Reconciled Depreciation,3849000000.0,3833000000.0,3878000000.0,3540000000.0,3551000000.0,,
Reconciled Cost Of Revenue,8415000000.0,10025000000.0,10216000000.0,7961000000.0,8823000000.0,,
EBITDA,9391000000.0,8476000000.0,9734000000.0,9741000000.0,9658000000.0,,
EBIT,5542000000.0,4643000000.0,5856000000.0,6201000000.0,6107000000.0,,
Net Interest Income,-1050000000.0,-1069000000.0,-1037000000.0,-1026000000.0,-1002000000.0,,
Interest Expense,1050000000.0,1069000000.0,1037000000.0,1026000000.0,1002000000.0,,
Normalized Income,3392609973.285841,4895500000.0,3645325378.709276,3995023381.642512,3894733006.856024,,
Net Income From Continuing And Discontinued Operation,3375000000.0,4777000000.0,3629000000.0,3929000000.0,3857000000.0,,
Total Expenses,24228000000.0,26920000000.0,26211000000.0,23053000000.0,24249000000.0,,
Total Operating Income As Reported,5658000000.0,4993000000.0,5859000000.0,6635000000.0,5810000000.0,,
Diluted Average Shares,3784000000.0,3842000000.0,3880000000.0,3920000000.0,3992000000.0,,
Basic Average Shares,3744297368.0,3787746392.0,3834395175.0,3881564265.0,3976288660.0,,
Diluted EPS,0.89,1.24,0.94,1.0,0.97,,
Basic EPS,0.901371,1.261436,0.946433,1.012221,0.97,,
Diluted NI Availto Com Stockholders,3375000000.0,4777000000.0,3629000000.0,3929000000.0,3857000000.0,,
Net Income Common Stockholders,3375000000.0,4777000000.0,3629000000.0,3929000000.0,3857000000.0,,
Net Income,3375000000.0,4777000000.0,3629000000.0,3929000000.0,3857000000.0,,
Minority Interests,79000000.0,93000000.0,53000000.0,89000000.0,79000000.0,,
Net Income Including Noncontrolling Interests,3296000000.0,4685000000.0,3576000000.0,3839000000.0,3777000000.0,,
Net Income Continuous Operations,3296000000.0,4684000000.0,3576000000.0,3839000000.0,3777000000.0,,
Tax Provision,1196000000.0,-1110000000.0,1243000000.0,1336000000.0,1328000000.0,,
Pretax Income,4492000000.0,3574000000.0,4819000000.0,5175000000.0,5105000000.0,,
Other Income Expense,-116000000.0,-351000000.0,-3000000.0,-434000000.0,298000000.0,,
Other Non Operating Income Expenses,102000000.0,41000000.0,171000000.0,99000000.0,191000000.0,,
Special Income Charges,,,,,,0.0,0.0
Impairment Of Capital Assets,,,,,,0.0,0.0
Earnings From Equity Interest,-194000000.0,-242000000.0,-152000000.0,-444000000.0,158000000.0,,
Gain On Sale Of Security,-24000000.0,-150000000.0,-22000000.0,-89000000.0,-51000000.0,,
Net Non Operating Interest Income Expense,-1050000000.0,-1069000000.0,-1037000000.0,-1026000000.0,-1002000000.0,,
Interest Expense Non Operating,1050000000.0,1069000000.0,1037000000.0,1026000000.0,1002000000.0,,
Operating Income,5659000000.0,4994000000.0,5859000000.0,6635000000.0,5809000000.0,,
Operating Expense,15813000000.0,16894000000.0,15995000000.0,15092000000.0,15426000000.0,,
Other Operating Expenses,9893000000.0,10918000000.0,10128000000.0,9630000000.0,9857000000.0,,
Depreciation Amortization Depletion Income Statement,3849000000.0,3832000000.0,3878000000.0,3540000000.0,3551000000.0,,
Depreciation And Amortization In Income Statement,3849000000.0,3832000000.0,3878000000.0,3540000000.0,3551000000.0,,
Amortization,1618000000.0,1651000000.0,1659000000.0,1387000000.0,1376000000.0,,
Amortization Of Intangibles Income Statement,1618000000.0,1651000000.0,1659000000.0,1387000000.0,1376000000.0,,
Depreciation Income Statement,2231000000.0,2181000000.0,2219000000.0,2153000000.0,2175000000.0,,
Selling General And Administration,2071000000.0,2144000000.0,1989000000.0,1922000000.0,2018000000.0,,
Selling And Marketing Expense,2071000000.0,2144000000.0,1989000000.0,1922000000.0,2018000000.0,,
General And Administrative Expense,,,,9630000000.0,9857000000.0,10943000000.0,9629000000.0
Other Gand A,,,,9630000000.0,9857000000.0,10943000000.0,9629000000.0
Gross Profit,21472000000.0,21888000000.0,21854000000.0,21727000000.0,21235000000.0,,
Cost Of Revenue,8415000000.0,10026000000.0,10216000000.0,7961000000.0,8823000000.0,,
Total Revenue,29887000000.0,31914000000.0,32070000000.0,29688000000.0,30058000000.0,,
Operating Revenue,29887000000.0,31914000000.0,32070000000.0,29688000000.0,30058000000.0,,
