,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31
Tax Effect Of Unusual Items,6020644.095789,9460000.0,-6826855.123675,5280000.0,6845775.592311,,
Tax Rate For Calcs,0.261767,0.22,0.243816,0.264,0.220831,,
Normalized EBITDA,2987000000.0,2848000000.0,3896000000.0,2821000000.0,2761000000.0,,
Total Unusual Items,23000000.0,43000000.0,-28000000.0,20000000.0,31000000.0,,
Total Unusual Items Excluding Goodwill,23000000.0,43000000.0,-28000000.0,20000000.0,31000000.0,,
Net Income From Continuing Operation Net Minority Interest,1788000000.0,1798000000.0,2354000000.0,1681000000.0,1743000000.0,,
Reconciled Depreciation,552000000.0,548000000.0,706000000.0,516000000.0,514000000.0,,
Reconciled Cost Of Revenue,55744000000.0,54109000000.0,69588000000.0,51173000000.0,51140000000.0,,
EBITDA,3010000000.0,2891000000.0,3868000000.0,2841000000.0,2792000000.0,,
EBIT,2458000000.0,2343000000.0,3162000000.0,2325000000.0,2278000000.0,,
Net Interest Income,83000000.0,67000000.0,99000000.0,67000000.0,144000000.0,,
Interest Expense,36000000.0,37000000.0,49000000.0,41000000.0,41000000.0,,
Interest Income,119000000.0,104000000.0,148000000.0,108000000.0,185000000.0,,
Normalized Income,1771020644.095789,1764460000.0,2375173144.876325,1666280000.0,1718845775.592311,,
Net Income From Continuing And Discontinued Operation,1788000000.0,1798000000.0,2354000000.0,1681000000.0,1743000000.0,,
Total Expenses,61407000000.0,59955000000.0,76655000000.0,56318000000.0,56380000000.0,,
Total Operating Income As Reported,2316000000.0,2196000000.0,3042000000.0,2197000000.0,2062000000.0,,
Diluted Average Shares,444886000.0,444891000.0,444977000.0,444828000.0,444754000.0,,
Basic Average Shares,443982000.0,443988000.0,444013000.0,443892000.0,443892000.0,,
Diluted EPS,4.02,4.04,5.29,3.78,3.92,,
Basic EPS,4.03,4.05,5.3,3.79,3.93,,
Diluted NI Availto Com Stockholders,1788000000.0,1798000000.0,2354000000.0,1681000000.0,1743000000.0,,
Net Income Common Stockholders,1788000000.0,1798000000.0,2354000000.0,1681000000.0,1743000000.0,,
Net Income,1788000000.0,1798000000.0,2354000000.0,1681000000.0,1743000000.0,,
Minority Interests,,,,,,,0.0
Net Income Including Noncontrolling Interests,1788000000.0,1798000000.0,2354000000.0,1681000000.0,1743000000.0,,
Net Income Continuous Operations,1788000000.0,1798000000.0,2354000000.0,1681000000.0,1743000000.0,,
Tax Provision,634000000.0,508000000.0,759000000.0,603000000.0,494000000.0,,
Pretax Income,2422000000.0,2306000000.0,3113000000.0,2284000000.0,2237000000.0,,
Other Income Expense,23000000.0,43000000.0,-28000000.0,20000000.0,31000000.0,,
Gain On Sale Of Security,23000000.0,43000000.0,-28000000.0,20000000.0,31000000.0,,
Net Non Operating Interest Income Expense,83000000.0,67000000.0,99000000.0,67000000.0,144000000.0,,
Total Other Finance Cost,,,,,,-3000000.0,-11000000.0
Interest Expense Non Operating,36000000.0,37000000.0,49000000.0,41000000.0,41000000.0,,
Interest Income Non Operating,119000000.0,104000000.0,148000000.0,108000000.0,185000000.0,,
Operating Income,2316000000.0,2196000000.0,3042000000.0,2197000000.0,2062000000.0,,
Operating Expense,5663000000.0,5846000000.0,7067000000.0,5145000000.0,5240000000.0,,
Selling General And Administration,5663000000.0,5846000000.0,7067000000.0,5145000000.0,5240000000.0,,
Gross Profit,7979000000.0,8042000000.0,10109000000.0,7342000000.0,7302000000.0,,
Cost Of Revenue,55744000000.0,54109000000.0,69588000000.0,51173000000.0,51140000000.0,,
Total Revenue,63723000000.0,62151000000.0,79697000000.0,58515000000.0,58442000000.0,,
Operating Revenue,63723000000.0,62151000000.0,79697000000.0,58515000000.0,58442000000.0,,
