,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31
Tax Effect Of Unusual Items,-28450704.225352,-35490000.0,-29920000.0,5220000.0,-25162310.030395,
Tax Rate For Calcs,0.140845,0.13,0.22,0.18,0.120973,
Normalized EBITDA,3197000000.0,3036000000.0,2925000000.0,2567000000.0,2956000000.0,
Total Unusual Items,-202000000.0,-273000000.0,-136000000.0,29000000.0,-208000000.0,
Total Unusual Items Excluding Goodwill,-202000000.0,-273000000.0,-136000000.0,29000000.0,-208000000.0,
Net Income From Continuing Operation Net Minority Interest,1708000000.0,1527000000.0,1429000000.0,1533000000.0,1446000000.0,
Reconciled Depreciation,877000000.0,814000000.0,907000000.0,879000000.0,953000000.0,
Reconciled Cost Of Revenue,2217000000.0,2105000000.0,2159000000.0,2162000000.0,2148000000.0,
EBITDA,2995000000.0,2763000000.0,2789000000.0,2596000000.0,2748000000.0,
EBIT,2118000000.0,1949000000.0,1882000000.0,1717000000.0,1795000000.0,
Normalized Income,1881549295.774648,1764510000.0,1535080000.0,1509220000.0,1628837689.969605,
Net Income From Continuing And Discontinued Operation,1708000000.0,1527000000.0,1429000000.0,1533000000.0,1446000000.0,
Total Expenses,7875000000.0,7495000000.0,7443000000.0,7416000000.0,7492000000.0,
Total Operating Income As Reported,1820000000.0,1893000000.0,1783000000.0,1709000000.0,1622000000.0,
Diluted Average Shares,,965000000.0,973000000.0,985000000.0,983000000.0,981000000.0
Basic Average Shares,,956000000.0,964000000.0,970000000.0,970000000.0,972000000.0
Diluted EPS,,1.58,1.47,1.56,1.47,1.25
Basic EPS,,1.6,1.48,1.58,1.49,1.26
Diluted NI Availto Com Stockholders,1708000000.0,1527000000.0,1429000000.0,1533000000.0,1446000000.0,
Net Income Common Stockholders,1708000000.0,1527000000.0,1429000000.0,1533000000.0,1446000000.0,
Net Income,1708000000.0,1527000000.0,1429000000.0,1533000000.0,1446000000.0,
Net Income Including Noncontrolling Interests,1708000000.0,1527000000.0,1429000000.0,1533000000.0,1446000000.0,
Net Income Continuous Operations,1708000000.0,1527000000.0,1429000000.0,1533000000.0,1446000000.0,
Tax Provision,280000000.0,219000000.0,408000000.0,334000000.0,199000000.0,
Pretax Income,1988000000.0,1746000000.0,1837000000.0,1867000000.0,1645000000.0,
Other Income Expense,-130000000.0,-203000000.0,-45000000.0,150000000.0,-150000000.0,
Other Non Operating Income Expenses,72000000.0,70000000.0,91000000.0,121000000.0,58000000.0,
Special Income Charges,-448000000.0,-298000000.0,-159000000.0,-138000000.0,-284000000.0,
Write Off,150000000.0,242000000.0,60000000.0,130000000.0,111000000.0,
Restructuring And Mergern Acquisition,298000000.0,56000000.0,99000000.0,8000000.0,173000000.0,
Gain On Sale Of Security,246000000.0,25000000.0,23000000.0,167000000.0,76000000.0,
Operating Income,2118000000.0,1949000000.0,1882000000.0,1717000000.0,1795000000.0,
Operating Expense,5658000000.0,5390000000.0,5284000000.0,5254000000.0,5344000000.0,
Research And Development,1420000000.0,1356000000.0,1349000000.0,1368000000.0,1275000000.0,
Selling General And Administration,4238000000.0,4034000000.0,3935000000.0,3886000000.0,4069000000.0,
Selling And Marketing Expense,3471000000.0,3323000000.0,3224000000.0,3239000000.0,3437000000.0,
General And Administrative Expense,767000000.0,711000000.0,711000000.0,647000000.0,632000000.0,
Other Gand A,767000000.0,711000000.0,711000000.0,647000000.0,632000000.0,
Gross Profit,7776000000.0,7339000000.0,7166000000.0,6971000000.0,7139000000.0,
Cost Of Revenue,2217000000.0,2105000000.0,2159000000.0,2162000000.0,2148000000.0,
Total Revenue,9993000000.0,9444000000.0,9325000000.0,9133000000.0,9287000000.0,
Operating Revenue,9993000000.0,9444000000.0,9325000000.0,9133000000.0,9287000000.0,
