,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31
Tax Effect Of Unusual Items,-5724000.0,-124320000.0,-9082637.729549,-85020000.0,-20541000.0
Tax Rate For Calcs,0.159,0.21,0.097663,0.156,0.167
Normalized EBITDA,4088000000.0,4066000000.0,3730000000.0,3998000000.0,3826000000.0
Total Unusual Items,-36000000.0,-592000000.0,-93000000.0,-545000000.0,-123000000.0
Total Unusual Items Excluding Goodwill,-36000000.0,-592000000.0,-93000000.0,-545000000.0,-123000000.0
Net Income From Continuing Operation Net Minority Interest,2428000000.0,2711000000.0,2162000000.0,1886000000.0,2634000000.0
Reconciled Depreciation,761000000.0,789000000.0,823000000.0,861000000.0,422000000.0
Reconciled Cost Of Revenue,4384000000.0,4196000000.0,4306000000.0,3865000000.0,4218000000.0
EBITDA,4052000000.0,3474000000.0,3637000000.0,3453000000.0,3703000000.0
EBIT,3291000000.0,2685000000.0,2814000000.0,2592000000.0,3281000000.0
Net Interest Income,-166000000.0,-132000000.0,-148000000.0,54000000.0,204000000.0
Interest Expense,404000000.0,418000000.0,418000000.0,357000000.0,120000000.0
Interest Income,238000000.0,286000000.0,270000000.0,411000000.0,324000000.0
Normalized Income,2458276000.0,3178680000.0,2245917362.270451,2345980000.0,2736459000.0
Net Income From Continuing And Discontinued Operation,2428000000.0,2711000000.0,2162000000.0,1886000000.0,2634000000.0
Total Expenses,10868000000.0,10818000000.0,10912000000.0,9969000000.0,9683000000.0
Total Operating Income As Reported,3113000000.0,2358000000.0,2618000000.0,2191000000.0,3096000000.0
Diluted Average Shares,4005000000.0,4013000000.0,4035000000.0,4060000000.0,4073000000.0
Basic Average Shares,3981000000.0,3990000000.0,4018000000.0,4042000000.0,4055000000.0
Diluted EPS,0.61,0.68,0.54,0.46,0.65
Basic EPS,0.61,0.68,0.54,0.47,0.65
Diluted NI Availto Com Stockholders,2428000000.0,2711000000.0,2162000000.0,1886000000.0,2634000000.0
Net Income Common Stockholders,2428000000.0,2711000000.0,2162000000.0,1886000000.0,2634000000.0
Net Income,2428000000.0,2711000000.0,2162000000.0,1886000000.0,2634000000.0
Net Income Including Noncontrolling Interests,2428000000.0,2711000000.0,2162000000.0,1886000000.0,2634000000.0
Net Income Continuous Operations,2428000000.0,2711000000.0,2162000000.0,1886000000.0,2634000000.0
Tax Provision,459000000.0,-444000000.0,234000000.0,349000000.0,527000000.0
Pretax Income,2887000000.0,2267000000.0,2396000000.0,2235000000.0,3161000000.0
Other Income Expense,-70000000.0,-624000000.0,-186000000.0,-552000000.0,-151000000.0
Other Non Operating Income Expenses,-34000000.0,-32000000.0,-93000000.0,-7000000.0,-28000000.0
Special Income Charges,-10000000.0,-665000000.0,-112000000.0,-542000000.0,-12000000.0
Restructuring And Mergern Acquisition,10000000.0,665000000.0,112000000.0,542000000.0,12000000.0
Gain On Sale Of Security,-26000000.0,73000000.0,19000000.0,-3000000.0,-111000000.0
Net Non Operating Interest Income Expense,-166000000.0,-132000000.0,-148000000.0,54000000.0,204000000.0
Interest Expense Non Operating,404000000.0,418000000.0,418000000.0,357000000.0,120000000.0
Interest Income Non Operating,238000000.0,286000000.0,270000000.0,411000000.0,324000000.0
Operating Income,3123000000.0,3023000000.0,2730000000.0,2733000000.0,3108000000.0
Operating Expense,5988000000.0,6098000000.0,6051000000.0,5540000000.0,5109000000.0
Depreciation Amortization Depletion Income Statement,265000000.0,265000000.0,268000000.0,297000000.0,66000000.0
Depreciation And Amortization In Income Statement,265000000.0,265000000.0,268000000.0,297000000.0,66000000.0
Amortization,265000000.0,265000000.0,268000000.0,297000000.0,66000000.0
Amortization Of Intangibles Income Statement,265000000.0,265000000.0,268000000.0,297000000.0,66000000.0
Research And Development,2299000000.0,2286000000.0,2179000000.0,1948000000.0,1943000000.0
Selling General And Administration,3424000000.0,3547000000.0,3604000000.0,3295000000.0,3100000000.0
Selling And Marketing Expense,2672000000.0,2752000000.0,2841000000.0,2559000000.0,2458000000.0
General And Administrative Expense,752000000.0,795000000.0,763000000.0,736000000.0,642000000.0
Other Gand A,752000000.0,795000000.0,763000000.0,736000000.0,642000000.0
Gross Profit,9111000000.0,9121000000.0,8781000000.0,8273000000.0,8217000000.0
Cost Of Revenue,4880000000.0,4720000000.0,4861000000.0,4429000000.0,4574000000.0
Total Revenue,13991000000.0,13841000000.0,13642000000.0,12702000000.0,12791000000.0
Operating Revenue,13991000000.0,13841000000.0,13642000000.0,12702000000.0,12791000000.0
