,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,673664306.0,659753255.0,627927467.0,609835547.0,591196776.0,
Ordinary Shares Number,1769012274.0,1782923325.0,1814749113.0,1832841033.0,1851479804.0,
Share Issued,2442676580.0,2442676580.0,2442676580.0,2442676580.0,2442676580.0,
Net Debt,17156000000.0,21142000000.0,19176000000.0,15557000000.0,12024000000.0,
Total Debt,24541000000.0,25841000000.0,23184000000.0,21835000000.0,20836000000.0,
Tangible Book Value,147740000000.0,151480000000.0,154511000000.0,155903000000.0,156235000000.0,
Invested Capital,176255000000.0,182043000000.0,182417000000.0,182460000000.0,181159000000.0,
Working Capital,2353000000.0,2469000000.0,5342000000.0,7568000000.0,8870000000.0,
Net Tangible Assets,147740000000.0,151480000000.0,154511000000.0,155903000000.0,156235000000.0,
Capital Lease Obligations,604000000.0,,,,634000000.0,
Common Stock Equity,152318000000.0,156202000000.0,159233000000.0,160625000000.0,160957000000.0,
Total Capitalization,171907000000.0,176899000000.0,180682000000.0,182178000000.0,180690000000.0,
Total Equity Gross Minority Interest,153157000000.0,157030000000.0,160263000000.0,161656000000.0,161929000000.0,
Minority Interest,839000000.0,828000000.0,1030000000.0,1031000000.0,972000000.0,
Stockholders Equity,152318000000.0,156202000000.0,159233000000.0,160625000000.0,160957000000.0,
Gains Losses Not Affecting Retained Earnings,-3000000000.0,-3065000000.0,-3164000000.0,-3205000000.0,-3200000000.0,
Other Equity Adjustments,-14000000.0,12000000.0,-14000000.0,-27000000.0,5000000.0,
Foreign Currency Translation Adjustments,-259000000.0,-201000000.0,-224000000.0,-212000000.0,-192000000.0,
Minimum Pension Liabilities,-2708000000.0,-2860000000.0,-2906000000.0,-2949000000.0,-3002000000.0,
Unrealized Gain Loss,-19000000.0,-16000000.0,-20000000.0,-17000000.0,-11000000.0,
Treasury Stock,74037000000.0,69646000000.0,64890000000.0,61959000000.0,59065000000.0,
Retained Earnings,205852000000.0,205503000000.0,203960000000.0,202514000000.0,200025000000.0,
Additional Paid In Capital,21671000000.0,21578000000.0,21495000000.0,21443000000.0,21365000000.0,
Capital Stock,1832000000.0,1832000000.0,1832000000.0,1832000000.0,1832000000.0,
Common Stock,1832000000.0,1832000000.0,1832000000.0,1832000000.0,1832000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,103781000000.0,102202000000.0,100381000000.0,99995000000.0,99703000000.0,
Total Non Current Liabilities Net Minority Interest,65223000000.0,66484000000.0,66354000000.0,67055000000.0,67445000000.0,
Other Non Current Liabilities,22094000000.0,21955000000.0,21454000000.0,22448000000.0,24226000000.0,
Employee Benefits,3857000000.0,3933000000.0,3942000000.0,3948000000.0,4082000000.0,
Non Current Deferred Liabilities,19137000000.0,19899000000.0,19509000000.0,19106000000.0,18830000000.0,
