,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.31,0.37,0.31,0.357307,
Normalized EBITDA,11435000000.0,10883000000.0,11334000000.0,12159000000.0,7212000000.0,
Net Income From Continuing Operation Net Minority Interest,3239000000.0,4487000000.0,4434000000.0,5501000000.0,2259000000.0,
Reconciled Depreciation,5177000000.0,4230000000.0,4185000000.0,4119000000.0,3602000000.0,
Reconciled Cost Of Revenue,35121000000.0,34664000000.0,34871000000.0,31832000000.0,34731000000.0,
EBITDA,11435000000.0,10883000000.0,11334000000.0,12159000000.0,7212000000.0,
EBIT,6258000000.0,6653000000.0,7149000000.0,8040000000.0,3610000000.0,
Net Interest Income,-199000000.0,-164000000.0,-113000000.0,-118000000.0,-120000000.0,
Interest Expense,199000000.0,164000000.0,113000000.0,118000000.0,120000000.0,
Normalized Income,3239000000.0,4487000000.0,4434000000.0,5501000000.0,2259000000.0,
Net Income From Continuing And Discontinued Operation,3239000000.0,4487000000.0,4434000000.0,5501000000.0,2259000000.0,
Total Expenses,45918000000.0,43967000000.0,43984000000.0,40628000000.0,43526000000.0,
Diluted Average Shares,,1807030000.0,1833431000.0,1849116000.0,1868101000.0,1877104000.0
Basic Average Shares,,1800336000.0,1825842000.0,1842377000.0,1861474000.0,1870963000.0
Diluted EPS,,2.48,2.43,2.97,1.22,3.48
Basic EPS,,2.49,2.43,2.99,1.23,3.48
Diluted NI Availto Com Stockholders,3239000000.0,4487000000.0,4434000000.0,5501000000.0,2259000000.0,
Net Income Common Stockholders,3239000000.0,4487000000.0,4434000000.0,5501000000.0,2259000000.0,
Net Income,3239000000.0,4487000000.0,4434000000.0,5501000000.0,2259000000.0,
Minority Interests,-20000000.0,-9000000.0,-9000000.0,-50000000.0,16000000.0,
Net Income Including Noncontrolling Interests,3259000000.0,4496000000.0,4443000000.0,5551000000.0,2243000000.0,
Net Income Continuous Operations,3259000000.0,4496000000.0,4443000000.0,5551000000.0,2243000000.0,
Tax Provision,2800000000.0,1993000000.0,2593000000.0,2371000000.0,1247000000.0,
Pretax Income,6059000000.0,6489000000.0,7036000000.0,7922000000.0,3490000000.0,
Other Income Expense,3842000000.0,1694000000.0,1559000000.0,2088000000.0,-1797000000.0,
Other Non Operating Income Expenses,3154000000.0,433000000.0,353000000.0,647000000.0,-2787000000.0,
Earnings From Equity Interest,688000000.0,1261000000.0,1206000000.0,1441000000.0,990000000.0,
Net Non Operating Interest Income Expense,-199000000.0,-164000000.0,-113000000.0,-118000000.0,-120000000.0,
Interest Expense Non Operating,199000000.0,164000000.0,113000000.0,118000000.0,120000000.0,
Operating Income,2416000000.0,4959000000.0,5590000000.0,5952000000.0,5407000000.0,
Operating Expense,10797000000.0,9303000000.0,9113000000.0,8796000000.0,8795000000.0,
Other Operating Expenses,8071000000.0,6849000000.0,6877000000.0,6662000000.0,6764000000.0,
Other Taxes,1141000000.0,1263000000.0,1188000000.0,1124000000.0,1062000000.0,
Selling General And Administration,1585000000.0,1191000000.0,1048000000.0,1010000000.0,969000000.0,
Gross Profit,13213000000.0,14262000000.0,14703000000.0,14748000000.0,14202000000.0,
Cost Of Revenue,35121000000.0,34664000000.0,34871000000.0,31832000000.0,34731000000.0,
Total Revenue,48334000000.0,48926000000.0,49574000000.0,46580000000.0,48933000000.0,
Operating Revenue,48334000000.0,48926000000.0,49574000000.0,46580000000.0,48933000000.0,
