,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,54000000.0,47000000.0,42000000.0,27000000.0,19000000.0,
Ordinary Shares Number,1846000000.0,1808587380.0,1816000000.0,1826000000.0,1834000000.0,
Share Issued,1900000000.0,1855587380.0,1858000000.0,1853000000.0,1853000000.0,
Net Debt,39822000000.0,39813000000.0,41630000000.0,39664000000.0,40498000000.0,
Total Debt,45308000000.0,48743000000.0,47584000000.0,46299000000.0,47690000000.0,
Tangible Book Value,18249000000.0,16631000000.0,15601000000.0,13864000000.0,11016000000.0,
Invested Capital,147241000000.0,146511000000.0,148206000000.0,145551000000.0,148411000000.0,
Working Capital,-11179000000.0,-9358000000.0,-10119000000.0,-8238000000.0,-5062000000.0,
Net Tangible Assets,18249000000.0,16631000000.0,15601000000.0,13864000000.0,11016000000.0,
Capital Lease Obligations,,2928000000.0,,,,3464000000.0
Common Stock Equity,101933000000.0,100696000000.0,100622000000.0,99252000000.0,100721000000.0,
Total Capitalization,140621000000.0,139666000000.0,140146000000.0,138762000000.0,142324000000.0,
Total Equity Gross Minority Interest,106739000000.0,105522000000.0,105303000000.0,103763000000.0,105501000000.0,
Minority Interest,4806000000.0,4826000000.0,4681000000.0,4511000000.0,4780000000.0,
Stockholders Equity,101933000000.0,100696000000.0,100622000000.0,99252000000.0,100721000000.0,
Gains Losses Not Affecting Retained Earnings,-2688000000.0,-3699000000.0,-3454000000.0,-3509000000.0,-3502000000.0,
Other Equity Adjustments,-2688000000.0,-3699000000.0,-3454000000.0,-3509000000.0,-3502000000.0,
Treasury Stock,4715000000.0,3919000000.0,3449000000.0,1916000000.0,907000000.0,
Retained Earnings,50468000000.0,49722000000.0,49273000000.0,46649000000.0,47490000000.0,
Capital Stock,58868000000.0,58592000000.0,58252000000.0,58028000000.0,57640000000.0,
Common Stock,58868000000.0,58592000000.0,58252000000.0,58028000000.0,57640000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,90307000000.0,90697000000.0,92469000000.0,91347000000.0,92273000000.0,
Total Non Current Liabilities Net Minority Interest,55461000000.0,56098000000.0,56857000000.0,58473000000.0,61240000000.0,
Other Non Current Liabilities,10437000000.0,7923000000.0,10705000000.0,12103000000.0,12596000000.0,
Non Current Deferred Liabilities,6336000000.0,6277000000.0,6628000000.0,6860000000.0,7041000000.0,
Non Current Deferred Taxes Liabilities,6336000000.0,6277000000.0,6628000000.0,6860000000.0,7041000000.0,
Long Term Debt And Capital Lease Obligation,38688000000.0,41898000000.0,39524000000.0,39510000000.0,41603000000.0,
Long Term Capital Lease Obligation,,2928000000.0,,,,3464000000.0
Long Term Debt,38688000000.0,38970000000.0,39524000000.0,39510000000.0,41603000000.0,
Current Liabilities,34846000000.0,34599000000.0,35612000000.0,32874000000.0,31033000000.0,
Other Current Liabilities,6591000000.0,6684000000.0,7336000000.0,7287000000.0,6270000000.0,
Current Deferred Liabilities,,,,,,6138000000.0
Current Deferred Revenue,,,,,,6138000000.0
Current Debt And Capital Lease Obligation,6620000000.0,6845000000.0,8060000000.0,6789000000.0,6087000000.0,
Current Debt,6620000000.0,6845000000.0,8060000000.0,6789000000.0,6087000000.0,
Payables And Accrued Expenses,21635000000.0,21070000000.0,20216000000.0,18798000000.0,18676000000.0,
