,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-39754000.0,-324030000.0,-5265000.0,-430920000.0,0.0,
Tax Rate For Calcs,0.278,0.21,0.081,0.21,0.251,
Normalized EBITDA,5566000000.0,4308000000.0,4887000000.0,4452000000.0,4642000000.0,
Total Unusual Items,-143000000.0,-1543000000.0,-65000000.0,-2052000000.0,0.0,
Total Unusual Items Excluding Goodwill,-143000000.0,-1543000000.0,-65000000.0,-2052000000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,2554000000.0,460000000.0,2621000000.0,-20000000.0,1911000000.0,
Reconciled Depreciation,1276000000.0,1285000000.0,1220000000.0,1242000000.0,1243000000.0,
Reconciled Cost Of Revenue,15406000000.0,14230000000.0,14709000000.0,14172000000.0,15587000000.0,
EBITDA,5423000000.0,2765000000.0,4822000000.0,2400000000.0,4642000000.0,
EBIT,4147000000.0,1480000000.0,3602000000.0,1158000000.0,3399000000.0,
Net Interest Income,-367000000.0,-361000000.0,-342000000.0,-311000000.0,-246000000.0,
Interest Expense,487000000.0,532000000.0,509000000.0,501000000.0,528000000.0,
Interest Income,120000000.0,-233000000.0,167000000.0,190000000.0,282000000.0,
Normalized Income,2657246000.0,1678970000.0,2680735000.0,1601080000.0,1911000000.0,
Net Income From Continuing And Discontinued Operation,2554000000.0,460000000.0,2621000000.0,-20000000.0,1911000000.0,
Total Expenses,20612000000.0,19829000000.0,19801000000.0,19204000000.0,20613000000.0,
Diluted Average Shares,1818000000.0,1819000000.0,1829000000.0,1834000000.0,1835000000.0,
Basic Average Shares,1812000000.0,1814000000.0,1821000000.0,1834000000.0,1832000000.0,
Diluted EPS,1.4,0.25,1.43,-0.01,1.04,
Basic EPS,1.41,0.25,1.44,-0.01,1.04,
Diluted NI Availto Com Stockholders,2554000000.0,460000000.0,2621000000.0,-20000000.0,1911000000.0,
Net Income Common Stockholders,2554000000.0,460000000.0,2621000000.0,-20000000.0,1911000000.0,
Net Income,2554000000.0,460000000.0,2621000000.0,-20000000.0,1911000000.0,
Minority Interests,-90000000.0,-104000000.0,-221000000.0,-236000000.0,-240000000.0,
Net Income Including Noncontrolling Interests,2644000000.0,564000000.0,2842000000.0,216000000.0,2151000000.0,
Net Income Discontinuous Operations,,,,,,0.0
Net Income Continuous Operations,2644000000.0,564000000.0,2842000000.0,216000000.0,2151000000.0,
Tax Provision,1016000000.0,384000000.0,251000000.0,441000000.0,720000000.0,
Pretax Income,3660000000.0,948000000.0,3093000000.0,657000000.0,2871000000.0,
Other Income Expense,-51000000.0,-1436000000.0,81000000.0,-1911000000.0,181000000.0,
Other Non Operating Income Expenses,,,,,,-257000000.0
Special Income Charges,-143000000.0,-1543000000.0,-65000000.0,-2052000000.0,0.0,
Other Special Charges,,0.0,65000000.0,,,
Restructuring And Mergern Acquisition,143000000.0,1543000000.0,0.0,2052000000.0,0.0,
Earnings From Equity Interest,92000000.0,107000000.0,146000000.0,141000000.0,181000000.0,
Gain On Sale Of Security,,,,,,0.0
Net Non Operating Interest Income Expense,-367000000.0,-361000000.0,-342000000.0,-311000000.0,-246000000.0,
Interest Expense Non Operating,487000000.0,532000000.0,509000000.0,501000000.0,528000000.0,
Interest Income Non Operating,120000000.0,-233000000.0,167000000.0,190000000.0,282000000.0,
Operating Income,4078000000.0,2745000000.0,3354000000.0,2879000000.0,2936000000.0,
Operating Expense,5206000000.0,5599000000.0,5092000000.0,5032000000.0,5026000000.0,
Depreciation Amortization Depletion Income Statement,1276000000.0,1285000000.0,1220000000.0,1242000000.0,1243000000.0,
Depreciation And Amortization In Income Statement,1276000000.0,1285000000.0,1220000000.0,1242000000.0,1243000000.0,
Selling General And Administration,3930000000.0,4314000000.0,3872000000.0,3790000000.0,3783000000.0,
Gross Profit,9284000000.0,8344000000.0,8446000000.0,7911000000.0,7962000000.0,
Cost Of Revenue,15406000000.0,14230000000.0,14709000000.0,14172000000.0,15587000000.0,
Total Revenue,24690000000.0,22574000000.0,23155000000.0,22083000000.0,23549000000.0,
Operating Revenue,24690000000.0,22574000000.0,23155000000.0,22083000000.0,23549000000.0,
