,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,1017176000.0,102641750.0,1532196.45132,173493218.516065,-41374527.560949,
Tax Rate For Calcs,0.25,0.25,0.016896,0.32394,0.017935,
Normalized EBITDA,168559000.0,2081669000.0,1116903000.0,5678000.0,-5018412000.0,
Total Unusual Items,4068704000.0,410567000.0,90683000.0,535572000.0,-2306883000.0,
Total Unusual Items Excluding Goodwill,4068704000.0,410567000.0,90683000.0,535572000.0,-2306883000.0,
Net Income From Continuing Operation Net Minority Interest,9805274000.0,2251738000.0,958481000.0,81641000.0,-7758668000.0,
Reconciled Depreciation,62396000.0,17229000.0,66169000.0,77680000.0,72822000.0,
Reconciled Cost Of Revenue,12856336000.0,5882742000.0,2824374000.0,1314969000.0,12381711000.0,
EBITDA,4237263000.0,2492236000.0,1207586000.0,541250000.0,-7325295000.0,
EBIT,4174867000.0,2475007000.0,1141417000.0,463570000.0,-7398117000.0,
Net Interest Income,-1987101000.0,691834000.0,588176000.0,588307000.0,2491035000.0,
Interest Expense,1047884000.0,278557000.0,166463000.0,342810000.0,502246000.0,
Interest Income,504393000.0,1002244000.0,808786000.0,1035546000.0,3109956000.0,
Normalized Income,6753746000.0,1943812750.0,869330196.45132,-280437781.483935,-5493159527.560949,
Net Income From Continuing And Discontinued Operation,9805274000.0,2251738000.0,958481000.0,81641000.0,-7758668000.0,
Total Expenses,13618961000.0,6741868000.0,3639935000.0,1808109000.0,13932720000.0,
Total Operating Income As Reported,4382288000.0,2049606000.0,1533126000.0,879043000.0,861573000.0,
Diluted Average Shares,,3804550291.0,3804550291.0,3804550291.0,,3804550291.0
Basic Average Shares,,3804550291.0,3804550291.0,3804550291.0,,3804550291.0
Diluted EPS,,0.5919,0.25193,0.021,,-0.6573
Basic EPS,,0.5919,0.25193,0.021,,-0.6573
Diluted NI Availto Com Stockholders,9805274000.0,2251738000.0,958481000.0,81641000.0,-7758668000.0,
Net Income Common Stockholders,9805274000.0,2251738000.0,958481000.0,81641000.0,-7758668000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,9805274000.0,2251738000.0,958481000.0,81641000.0,-7758668000.0,
Minority Interests,0.0,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,9805274000.0,2251738000.0,958481000.0,81641000.0,-7758668000.0,
Net Income Continuous Operations,9805274000.0,2251738000.0,958481000.0,81641000.0,-7758668000.0,
Tax Provision,-6678291000.0,-55288000.0,16473000.0,39119000.0,-141695000.0,
Pretax Income,3126983000.0,2196450000.0,974954000.0,120760000.0,-7900363000.0,
Other Non Operating Income Expenses,-555519000.0,-476591000.0,-1249410000.0,-1397534000.0,,-6536869000.0
Special Income Charges,2959944000.0,160689000.0,-1299000.0,411342000.0,-2276115000.0,
Other Special Charges,181070000.0,4005000.0,1299000.0,9366000.0,18129000.0,
Write Off,-5413778000.0,-164694000.0,0.0,-420708000.0,14210000.0,
Impairment Of Capital Assets,2272764000.0,0.0,0.0,0.0,2243776000.0,
Net Non Operating Interest Income Expense,-1987101000.0,691834000.0,588176000.0,588307000.0,2491035000.0,
Total Other Finance Cost,1443610000.0,31853000.0,54147000.0,104429000.0,116675000.0,
Interest Expense Non Operating,1047884000.0,278557000.0,166463000.0,342810000.0,502246000.0,
Interest Income Non Operating,504393000.0,1002244000.0,808786000.0,1035546000.0,3109956000.0,
Operating Income,1554612000.0,1884614000.0,1420431000.0,446775000.0,2428712000.0,
Operating Expense,762625000.0,859126000.0,815561000.0,493140000.0,1551009000.0,
Other Operating Expenses,401104000.0,44738000.0,94667000.0,23736000.0,206288000.0,
Depreciation And Amortization In Income Statement,62396000.0,4398000.0,59640000.0,77680000.0,72772000.0,
Depreciation Income Statement,62396000.0,4398000.0,59640000.0,77680000.0,72772000.0,
Selling General And Administration,467702000.0,405889000.0,205624000.0,218126000.0,986763000.0,
Selling And Marketing Expense,209584000.0,22901000.0,67966000.0,58090000.0,182522000.0,
General And Administrative Expense,258118000.0,382988000.0,137658000.0,160036000.0,804241000.0,
Gross Profit,2317237000.0,2743740000.0,2235992000.0,939915000.0,3979721000.0,
Cost Of Revenue,12856336000.0,5882742000.0,2824374000.0,1314969000.0,12381711000.0,
Total Revenue,15173573000.0,8626482000.0,5060366000.0,2254884000.0,16361432000.0,
Operating Revenue,15173573000.0,8626482000.0,5060366000.0,2254884000.0,16361432000.0,
