,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Treasury Shares Number,,,,,0.0
Ordinary Shares Number,1181068970.0,1181068970.0,1181068970.0,1181068970.0,1181068970.0
Share Issued,1181068970.0,1181068970.0,1181068970.0,1181068970.0,1181068970.0
Net Debt,45484467000.0,37358952000.0,38301334000.0,32277252000.0,29092087000.0
Total Debt,54812689000.0,46704711000.0,42070139000.0,35630462000.0,34260546000.0
Tangible Book Value,28130943000.0,26350231000.0,24367115000.0,25448959000.0,23989716000.0
Invested Capital,128386239000.0,116119564000.0,106673308000.0,98707669000.0,91367798000.0
Working Capital,-16189389000.0,-16368916000.0,-6080736000.0,-417397000.0,-7317999000.0
Net Tangible Assets,28130943000.0,26350231000.0,24367115000.0,25448959000.0,23989716000.0
Capital Lease Obligations,882478000.0,793702000.0,656028000.0,667679000.0,667214000.0
Common Stock Equity,74456028000.0,70208555000.0,65259197000.0,63744886000.0,57774466000.0
Total Capitalization,98629617000.0,87150182000.0,83209664000.0,79831500000.0,71349349000.0
Total Equity Gross Minority Interest,74456028000.0,70208555000.0,65259197000.0,63744886000.0,57774466000.0
Stockholders Equity,74456028000.0,70208555000.0,65259197000.0,63744886000.0,57774466000.0
Other Equity Interest,13488262000.0,12622763000.0,11492352000.0,10509752000.0,8979241000.0
Retained Earnings,26665090000.0,25484812000.0,24209152000.0,24094647000.0,23368938000.0
Additional Paid In Capital,29681065000.0,27929865000.0,25689733000.0,24987272000.0,21716049000.0
Capital Stock,1181069000.0,1181069000.0,1181069000.0,1181069000.0,1181069000.0
Common Stock,1181069000.0,1181069000.0,1181069000.0,1181069000.0,1181069000.0
Total Liabilities Net Minority Interest,105296350000.0,96613170000.0,91220646000.0,75814506000.0,74321938000.0
Total Non Current Liabilities Net Minority Interest,37717456000.0,30506598000.0,36771364000.0,32637573000.0,26317945000.0
Non Current Pension And Other Postretirement Benefit Plans,1980474000.0,1935075000.0,1946865000.0,1519667000.0,1349248000.0
Non Current Deferred Revenue,9351000.0,9394000.0,6948284000.0,4824693000.0,3102612000.0
Non Current Deferred Taxes Liabilities,10996715000.0,10338058000.0,9562061000.0,9045891000.0,7915228000.0
Long Term Debt And Capital Lease Obligation,24730916000.0,17440016000.0,18314154000.0,16472355000.0,13950857000.0
Long Term Capital Lease Obligation,557327000.0,498389000.0,363687000.0,385741000.0,375974000.0
Long Term Debt,24173589000.0,16941627000.0,17950467000.0,16086614000.0,13574883000.0
Current Liabilities,67578894000.0,66106572000.0,54449282000.0,43176933000.0,48003993000.0
Other Current Liabilities,1374000.0,2395398000.0,1195743000.0,1450223000.0,12706000.0
Current Debt And Capital Lease Obligation,30081773000.0,29264695000.0,23755985000.0,19158107000.0,20309689000.0
Current Capital Lease Obligation,325151000.0,295313000.0,292341000.0,281938000.0,291240000.0
