,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-44170539.181728,-253063750.0,-173521750.0,-113683000.0,713611000.0,
Tax Rate For Calcs,0.029326,0.25,0.25,0.25,0.25,
Normalized EBITDA,9244168000.0,10796531000.0,6508402000.0,6054115000.0,5077734000.0,
Total Unusual Items,-1506176000.0,-1012255000.0,-694087000.0,-454732000.0,2854444000.0,
Total Unusual Items Excluding Goodwill,-1506176000.0,-1012255000.0,-694087000.0,-454732000.0,2854444000.0,
Net Income From Continuing Operation Net Minority Interest,-679293000.0,-934961000.0,16853000.0,-2758340000.0,-8413559000.0,
Reconciled Depreciation,1297329000.0,1289919000.0,1145891000.0,1013373000.0,2788727000.0,
Reconciled Cost Of Revenue,44166988000.0,42464937000.0,29211978000.0,24908852000.0,60003542000.0,
EBITDA,7737992000.0,9784276000.0,5814315000.0,5599383000.0,7932178000.0,
EBIT,6440663000.0,8494357000.0,4668424000.0,4586010000.0,5143451000.0,
Net Interest Income,-4839959000.0,-1632469000.0,-3640465000.0,-2940823000.0,-3437447000.0,
Interest Expense,7140479000.0,5538057000.0,4988972000.0,3878410000.0,5375335000.0,
Interest Income,2373924000.0,3959382000.0,1428741000.0,1044079000.0,2101792000.0,
Normalized Income,782712460.818272,-175769750.0,537418250.0,-2417291000.0,-10554392000.0,
Net Income From Continuing And Discontinued Operation,-679293000.0,-934961000.0,16853000.0,-2758340000.0,-8413559000.0,
Total Expenses,50021434000.0,45744677000.0,32042443000.0,28965885000.0,67571098000.0,
Rent Expense Supplemental,21931000.0,17556000.0,8848000.0,13932000.0,157211000.0,
Total Operating Income As Reported,,,,5701658000.0,,
Diluted Average Shares,,1183494937.0,1181068970.0,1181068967.0,,1180979630.0
Basic Average Shares,,1183494937.0,1181068970.0,1181068967.0,,1180979630.0
Diluted EPS,,-0.79,0.01,-2.34,,7.02
Basic EPS,,-0.79,0.01,-2.34,,7.02
Diluted NI Availto Com Stockholders,-679293000.0,-934961000.0,16853000.0,-2758340000.0,-8413559000.0,
Net Income Common Stockholders,-679293000.0,-934961000.0,16853000.0,-2758340000.0,-8413559000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-679293000.0,-934961000.0,16853000.0,-2758340000.0,-8413559000.0,
Net Income Including Noncontrolling Interests,-679293000.0,-934961000.0,16853000.0,-2758340000.0,-8413559000.0,
Net Income Continuous Operations,-679293000.0,-934961000.0,16853000.0,-2758340000.0,-8413559000.0,
Tax Provision,-20523000.0,3891261000.0,-337401000.0,3465940000.0,8181675000.0,
Pretax Income,-699816000.0,2956300000.0,-320548000.0,707600000.0,-231884000.0,
Other Non Operating Income Expenses,-1717832000.0,-560395000.0,-704280000.0,-1243946000.0,-2018722000.0,
Special Income Charges,-972194000.0,-620595000.0,-295632000.0,-561547000.0,1513531000.0,
Other Special Charges,427166000.0,83085000.0,93249000.0,171403000.0,-31841000.0,
Write Off,545028000.0,537510000.0,202383000.0,390144000.0,-1481690000.0,
Impairment Of Capital Assets,,,,0.0,,
Net Non Operating Interest Income Expense,-4839959000.0,-1632469000.0,-3640465000.0,-2940823000.0,-3437447000.0,
Total Other Finance Cost,73404000.0,53794000.0,80234000.0,106492000.0,163904000.0,
Interest Expense Non Operating,7140479000.0,5538057000.0,4988972000.0,3878410000.0,5375335000.0,
Interest Income Non Operating,2373924000.0,3959382000.0,1428741000.0,1044079000.0,2101792000.0,
Operating Income,7527274000.0,6361908000.0,4857225000.0,5536632000.0,2866294000.0,
Operating Expense,5854446000.0,3279740000.0,2830465000.0,4057033000.0,7567556000.0,
Other Operating Expenses,1391160000.0,323435000.0,224582000.0,1626459000.0,1837351000.0,
Depreciation And Amortization In Income Statement,1195897000.0,1064343000.0,1052088000.0,979841000.0,2751112000.0,
Depreciation Income Statement,1195897000.0,1064343000.0,1052088000.0,979841000.0,2751112000.0,
Selling General And Administration,840610000.0,543766000.0,546701000.0,506936000.0,1057820000.0,
Selling And Marketing Expense,67760000.0,41116000.0,53692000.0,52794000.0,118855000.0,
General And Administrative Expense,772850000.0,502650000.0,493009000.0,454142000.0,938965000.0,
Rent And Landing Fees,21931000.0,17556000.0,8848000.0,13932000.0,157211000.0,
Gross Profit,13381720000.0,9641648000.0,7687690000.0,9593665000.0,10433850000.0,
Cost Of Revenue,44166988000.0,42464937000.0,29211978000.0,24908852000.0,60003542000.0,
Total Revenue,57548708000.0,52106585000.0,36899668000.0,34502517000.0,70437392000.0,
Operating Revenue,57548708000.0,52106585000.0,36899668000.0,34502517000.0,70437392000.0,
