,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,278124000.0,278124000.0,,278124000.0,248484000.0,215674000.0
Ordinary Shares Number,6721876000.0,6721876000.0,6721876000.0,6721876000.0,6751516000.0,
Share Issued,7000000000.0,7000000000.0,6721876000.0,7000000000.0,7000000000.0,
Net Debt,65115286000.0,72303422000.0,62405063000.0,55773337000.0,43327790000.0,
Total Debt,121288196000.0,120958030000.0,91403383000.0,80644520000.0,67740702000.0,
Tangible Book Value,227604359000.0,216891891000.0,207442809000.0,199152520000.0,178085318000.0,
Invested Capital,357322680000.0,346169495000.0,307144494000.0,288169480000.0,253592247000.0,
Working Capital,106567437000.0,96773227000.0,59711194000.0,50360790000.0,45226453000.0,
Net Tangible Assets,227604359000.0,216891891000.0,207442809000.0,199152520000.0,178085318000.0,
Capital Lease Obligations,912917000.0,816939000.0,566319000.0,440276000.0,339945000.0,
Common Stock Equity,236947401000.0,226028404000.0,216307430000.0,207965236000.0,186191490000.0,
Total Capitalization,320941827000.0,297409992000.0,246094691000.0,222400981000.0,196939436000.0,
Total Equity Gross Minority Interest,244424411000.0,232976387000.0,222816141000.0,214112638000.0,191528882000.0,
Minority Interest,7477010000.0,6947983000.0,6508711000.0,6147402000.0,5337392000.0,
Stockholders Equity,236947401000.0,226028404000.0,216307430000.0,207965236000.0,186191490000.0,
Fixed Assets Revaluation Reserve,,443545000.0,419451000.0,410175000.0,373251000.0,310598000.0
Treasury Stock,1315022000.0,1315022000.0,1315022000.0,1315022000.0,640504000.0,
Retained Earnings,134354978000.0,127934623000.0,122185619000.0,115615899000.0,101404902000.0,
Additional Paid In Capital,106447000.0,263060000.0,263060000.0,263060000.0,263060000.0,
Capital Stock,7000000000.0,3500000000.0,3500000000.0,3500000000.0,3500000000.0,
Common Stock,7000000000.0,3500000000.0,3500000000.0,3500000000.0,3500000000.0,
Total Liabilities Net Minority Interest,180734563000.0,172244745000.0,140217156000.0,135767586000.0,118504367000.0,
Total Non Current Liabilities Net Minority Interest,104445716000.0,89231717000.0,47608425000.0,33943052000.0,29212704000.0,
Other Non Current Liabilities,22654000.0,17175000.0,17003000.0,16891000.0,16779000.0,
Derivative Product Liabilities,0.0,0.0,0.0,0.0,1148000.0,
Non Current Pension And Other Postretirement Benefit Plans,6171382000.0,6603721000.0,6744897000.0,5816514000.0,5582475000.0,
Non Current Deferred Taxes Liabilities,13674548000.0,10696051000.0,10669067000.0,13358612000.0,12632683000.0,
Long Term Debt And Capital Lease Obligation,84577132000.0,71914770000.0,30177458000.0,14751035000.0,10979619000.0,
Long Term Capital Lease Obligation,582706000.0,533182000.0,390197000.0,315290000.0,231673000.0,
Long Term Debt,83994426000.0,71381588000.0,29787261000.0,14435745000.0,10747946000.0,
Current Liabilities,76288847000.0,83013028000.0,92608731000.0,101824534000.0,89291663000.0,
Other Current Liabilities,22255000.0,839145000.0,775707000.0,918191000.0,54508000.0,
Current Debt And Capital Lease Obligation,36711064000.0,49043260000.0,61225925000.0,65893485000.0,56761083000.0,
Current Capital Lease Obligation,330211000.0,283757000.0,176122000.0,124986000.0,108272000.0,
Current Debt,36380853000.0,48759503000.0,61049803000.0,65768499000.0,56652811000.0,
Current Provisions,1087544000.0,966990000.0,896464000.0,888471000.0,698605000.0,
Payables,37306756000.0,30581021000.0,28212308000.0,32836720000.0,30342025000.0,
Other Payable,4982237000.0,4139137000.0,3286325000.0,4601524000.0,1845948000.0,
Dividends Payable,10204000.0,,,,9944000.0,
