,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,985840093.454943,-9189500.0,2890500.0,270744413.805655,320722000.0,
Tax Rate For Calcs,0.184004,0.25,0.25,0.081056,0.25,
Normalized EBITDA,3843845000.0,5760704000.0,7997500000.0,7468179000.0,4914156000.0,
Total Unusual Items,5357714000.0,-36758000.0,11562000.0,3340230000.0,1282888000.0,
Total Unusual Items Excluding Goodwill,5357714000.0,-36758000.0,11562000.0,3340230000.0,1282888000.0,
Net Income From Continuing Operation Net Minority Interest,2693878000.0,800675000.0,4385872000.0,5600923000.0,7900518000.0,
Reconciled Depreciation,2521328000.0,2205162000.0,2122307000.0,1988437000.0,1755089000.0,
Reconciled Cost Of Revenue,52703416000.0,44399886000.0,44233694000.0,42718340000.0,42221475000.0,
EBITDA,9201559000.0,5723946000.0,8009062000.0,10808409000.0,6197044000.0,
EBIT,6680231000.0,3518784000.0,5886755000.0,8819972000.0,4441955000.0,
Net Interest Income,-1441511000.0,-1535216000.0,-1581993000.0,-1860066000.0,-1206210000.0,
Interest Expense,3111431000.0,3149275000.0,2665411000.0,2457304000.0,1776719000.0,
Interest Income,1697259000.0,1653524000.0,1098608000.0,603250000.0,575476000.0,
Normalized Income,-1677995906.545057,828243500.0,4377200500.0,2531437413.805655,6938352000.0,
Net Income From Continuing And Discontinued Operation,2693878000.0,800675000.0,4385872000.0,5600923000.0,7900518000.0,
Total Expenses,55012111000.0,46496229000.0,46140164000.0,44322865000.0,44212722000.0,
Total Operating Income As Reported,5202690000.0,2485837000.0,4556860000.0,8810833000.0,3646480000.0,
Diluted Average Shares,,6998907343.0,7000035113.0,6721779778.0,,7011525424.0
Basic Average Shares,,6998907343.0,7000035113.0,6721779778.0,,7011525424.0
Diluted EPS,,0.1144,0.62655,0.83325,,0.0059
Basic EPS,,0.1144,0.62655,0.83325,,0.0059
Diluted NI Availto Com Stockholders,2693878000.0,800675000.0,4385872000.0,5600923000.0,7900518000.0,
Net Income Common Stockholders,2693878000.0,800675000.0,4385872000.0,5600923000.0,7900518000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,2693878000.0,800675000.0,4385872000.0,5600923000.0,7900518000.0,
Minority Interests,-218249000.0,-91002000.0,-156432000.0,-246015000.0,-255519000.0,
Net Income Including Noncontrolling Interests,2912127000.0,891677000.0,4542304000.0,5846938000.0,8156037000.0,
Net Income Continuous Operations,2912127000.0,891677000.0,4542304000.0,5846938000.0,8156037000.0,
Tax Provision,656673000.0,-522168000.0,-1320960000.0,515730000.0,-5490801000.0,
Pretax Income,3568800000.0,369509000.0,3221344000.0,6362668000.0,2665236000.0,
Other Non Operating Income Expenses,99324000.0,-134220000.0,-159360000.0,-49272000.0,,6731000.0
Special Income Charges,5086638000.0,65408000.0,74887000.0,3312354000.0,1017836000.0,
Other Special Charges,-4952612000.0,-65408000.0,-74887000.0,-3312354000.0,-904940000.0,
Impairment Of Capital Assets,,,,,-112896000.0,3559000.0
Net Non Operating Interest Income Expense,-1441511000.0,-1535216000.0,-1581993000.0,-1860066000.0,-1206210000.0,
Total Other Finance Cost,27339000.0,39465000.0,15190000.0,6012000.0,4967000.0,
Interest Expense Non Operating,3111431000.0,3149275000.0,2665411000.0,2457304000.0,1776719000.0,
Interest Income Non Operating,1697259000.0,1653524000.0,1098608000.0,603250000.0,575476000.0,
Operating Income,101066000.0,2232480000.0,4330257000.0,5424768000.0,2676744000.0,
Operating Expense,2308695000.0,2096343000.0,1906470000.0,1604525000.0,1991247000.0,
Other Operating Expenses,279411000.0,262153000.0,165862000.0,255048000.0,215476000.0,
Depreciation And Amortization In Income Statement,226912000.0,223888000.0,215697000.0,197468000.0,173594000.0,
Depreciation Income Statement,226912000.0,223888000.0,215697000.0,197468000.0,173594000.0,
Research And Development,116265000.0,77618000.0,77078000.0,64630000.0,64365000.0,
Selling General And Administration,1070549000.0,887694000.0,841042000.0,651814000.0,517137000.0,
Selling And Marketing Expense,298846000.0,252029000.0,235606000.0,206151000.0,176277000.0,
General And Administrative Expense,771703000.0,635665000.0,605436000.0,445663000.0,340860000.0,
Gross Profit,2409761000.0,4328823000.0,6236727000.0,7029293000.0,4667991000.0,
Cost Of Revenue,52703416000.0,44399886000.0,44233694000.0,42718340000.0,42221475000.0,
Total Revenue,55113177000.0,48728709000.0,50470421000.0,49747633000.0,46889466000.0,
Operating Revenue,55113177000.0,48728709000.0,50470421000.0,49747633000.0,46889466000.0,
