,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Ordinary Shares Number,350910000.0,350910000.0,350910000.0,350910000.0,350910000.0,
Share Issued,350910000.0,350910000.0,350910000.0,350910000.0,350910000.0,
Net Debt,99752528000.0,97859451000.0,94579264000.0,62023511000.0,59666166000.0,
Total Debt,123756671000.0,129332867000.0,113562153000.0,89196014000.0,75755033000.0,
Tangible Book Value,93385018000.0,79868139000.0,68806444000.0,71706130000.0,54229431000.0,
Invested Capital,237306130000.0,229374339000.0,199766980000.0,177956833000.0,147898213000.0,
Working Capital,30567178000.0,26784738000.0,20667110000.0,18500719000.0,8835356000.0,
Net Tangible Assets,93385018000.0,79868139000.0,68806444000.0,71706130000.0,54229431000.0,
Capital Lease Obligations,1674029000.0,1336562000.0,1128019000.0,1153335000.0,864365000.0,
Common Stock Equity,115223488000.0,101378034000.0,87332846000.0,89914154000.0,73007545000.0,
Total Capitalization,192782621000.0,174869956000.0,153522024000.0,138449938000.0,114108586000.0,
Total Equity Gross Minority Interest,115223488000.0,101378034000.0,87332846000.0,89914154000.0,73007545000.0,
Stockholders Equity,115223488000.0,101378034000.0,87332846000.0,89914154000.0,73007545000.0,
Other Equity Interest,8559919000.0,8034140000.0,7347525000.0,6750647000.0,5820922000.0,
Retained Earnings,132203965000.0,117259136000.0,99796167000.0,102743567000.0,81494241000.0,
Additional Paid In Capital,8000.0,8000.0,8000.0,8000.0,8000.0,
Capital Stock,350910000.0,350910000.0,350910000.0,350910000.0,350910000.0,
Common Stock,350910000.0,350910000.0,350910000.0,350910000.0,350910000.0,
Total Liabilities Net Minority Interest,211546676000.0,213556321000.0,191106118000.0,175291156000.0,143999484000.0,
Total Non Current Liabilities Net Minority Interest,88145534000.0,84598143000.0,75174560000.0,57844572000.0,49865578000.0,
Other Non Current Liabilities,,,,89615000.0,,5439000.0
Derivative Product Liabilities,165508000.0,922866000.0,138940000.0,,163193000.0,
Non Current Pension And Other Postretirement Benefit Plans,2269748000.0,2447066000.0,3071216000.0,2342173000.0,1843046000.0,
Non Current Deferred Revenue,3443888000.0,3581378000.0,2035634000.0,3184112000.0,3759095000.0,
Non Current Deferred Taxes Liabilities,1311878000.0,1314986000.0,1170835000.0,1269021000.0,934123000.0,
Long Term Debt And Capital Lease Obligation,78899094000.0,74473042000.0,67142229000.0,49376509000.0,41791179000.0,
Long Term Capital Lease Obligation,1339961000.0,981120000.0,953051000.0,840725000.0,690138000.0,
Long Term Debt,77559133000.0,73491922000.0,66189178000.0,48535784000.0,41101041000.0,
Long Term Provisions,2055418000.0,1858805000.0,1615706000.0,1583142000.0,1374942000.0,
Current Liabilities,123401142000.0,128958178000.0,115931558000.0,117446584000.0,94133906000.0,
Current Debt And Capital Lease Obligation,44857577000.0,54859825000.0,46419924000.0,39819505000.0,33963854000.0,
Current Capital Lease Obligation,334068000.0,355442000.0,174968000.0,312610000.0,174227000.0,
Current Debt,44523509000.0,54504383000.0,46244956000.0,39506895000.0,33789627000.0,
Pensionand Other Post Retirement Benefit Plans Current,,3854142000.0,3851578000.0,3359477000.0,45264000.0,2321140000.0
Current Provisions,2471882000.0,1667808000.0,1504939000.0,1417745000.0,1273769000.0,
Payables,71848232000.0,64149328000.0,59965061000.0,70130419000.0,58079160000.0,
Other Payable,3800000000.0,1764065000.0,1626319000.0,2782890000.0,4368773000.0,
Total Tax Payable,1899375000.0,391018000.0,97337000.0,88681000.0,1145346000.0,
Accounts Payable,66148857000.0,61994245000.0,58241405000.0,67258848000.0,52565041000.0,
Total Assets,326770164000.0,314934355000.0,278438964000.0,265205310000.0,217007029000.0,
Total Non Current Assets,172801844000.0,159191439000.0,141840296000.0,129258007000.0,114037767000.0,
Non Current Prepaid Assets,11564250000.0,16651953000.0,15233945000.0,17396548000.0,13417238000.0,
Non Current Deferred Taxes Assets,21589248000.0,17803424000.0,17075255000.0,14751250000.0,13013365000.0,
Financial Assets,358351000.0,306088000.0,333288000.0,436087000.0,355823000.0,
Investmentin Financial Assets,558853000.0,413820000.0,567424000.0,327597000.0,299125000.0,
Available For Sale Securities,340601000.0,309670000.0,463274000.0,327597000.0,299125000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,218252000.0,104150000.0,104150000.0,,,
Long Term Equity Investment,395509000.0,250762000.0,230227000.0,154225000.0,125437000.0,
Goodwill And Other Intangible Assets,21838470000.0,21509895000.0,18526402000.0,18208024000.0,18778114000.0,
Other Intangible Assets,20914993000.0,20554253000.0,17643618000.0,17332171000.0,17959055000.0,
Goodwill,923477000.0,955642000.0,882784000.0,875853000.0,819059000.0,
Net PPE,99356118000.0,88390622000.0,77483180000.0,67296244000.0,58173067000.0,
Accumulated Depreciation,-96896171000.0,-90336373000.0,-82554729000.0,-78442878000.0,-64816960000.0,
Gross PPE,196252289000.0,178726995000.0,160037909000.0,145739122000.0,122990027000.0,
Construction In Progress,5661695000.0,,,,11083207000.0,
Other Properties,56586013000.0,178726995000.0,160037909000.0,145739122000.0,35525356000.0,
Machinery Furniture Equipment,87955721000.0,,,,52926999000.0,
Buildings And Improvements,39033828000.0,,,,19169520000.0,
Land And Improvements,7015032000.0,,,,4284945000.0,
Properties,0.0,,,,0.0,
Current Assets,153968320000.0,155742916000.0,136598668000.0,135947303000.0,102969262000.0,
Other Current Assets,461696000.0,10005333000.0,7066219000.0,10311540000.0,540126000.0,
Hedging Assets Current,0.0,0.0,0.0,11747000.0,30350000.0,
