,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-446585000.0,-41719173.647756,-182006000.0,-148438250.0,-272061000.0,
Tax Rate For Calcs,0.25,0.145336,0.25,0.25,0.25,
Normalized EBITDA,18678529000.0,16704773000.0,10290378000.0,15052488000.0,31798565000.0,
Total Unusual Items,-1786340000.0,-287053000.0,-728024000.0,-593753000.0,-1088244000.0,
Total Unusual Items Excluding Goodwill,-1786340000.0,-287053000.0,-728024000.0,-593753000.0,-1088244000.0,
Net Income From Continuing Operation Net Minority Interest,13197975000.0,8562179000.0,5975514000.0,8973032000.0,23961822000.0,
Reconciled Depreciation,3239375000.0,3043736000.0,2321727000.0,2107606000.0,3980178000.0,
Reconciled Cost Of Revenue,175989118000.0,128301141000.0,96466132000.0,110971708000.0,165338560000.0,
EBITDA,16892189000.0,16417720000.0,9562354000.0,14458735000.0,30710321000.0,
EBIT,13652814000.0,13373984000.0,7240627000.0,12351129000.0,26730143000.0,
Net Interest Income,-2021552000.0,-1968008000.0,-1821173000.0,-1342535000.0,-2503741000.0,
Interest Expense,3586311000.0,3355801000.0,2424350000.0,2461916000.0,2822355000.0,
Interest Income,1730035000.0,1163060000.0,414082000.0,831085000.0,1203433000.0,
Normalized Income,14537730000.0,8807512826.352243,6521532000.0,9418346750.0,24778005000.0,
Net Income From Continuing And Discontinued Operation,13197975000.0,8562179000.0,5975514000.0,8973032000.0,23961822000.0,
Total Expenses,182977257000.0,134535165000.0,102162812000.0,116326389000.0,173433514000.0,
Total Operating Income As Reported,6041907000.0,8054584000.0,4032460000.0,8889154000.0,14956174000.0,
Diluted Average Shares,,350910000.0,350910000.0,350910000.0,,350910000.0
Basic Average Shares,,350910000.0,350910000.0,350910000.0,,350910000.0
Diluted EPS,,24.4,17.03,25.57,,57.32
Basic EPS,,24.4,17.03,25.57,,57.32
Diluted NI Availto Com Stockholders,13197975000.0,8562179000.0,5975514000.0,8973032000.0,23961822000.0,
Net Income Common Stockholders,13197975000.0,8562179000.0,5975514000.0,8973032000.0,23961822000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,13197975000.0,8562179000.0,5975514000.0,8973032000.0,23961822000.0,
Net Income Including Noncontrolling Interests,13197975000.0,8562179000.0,5975514000.0,8973032000.0,23961822000.0,
Net Income Continuous Operations,13197975000.0,8562179000.0,5975514000.0,8973032000.0,23961822000.0,
Tax Provision,-3131472000.0,1456004000.0,-1159237000.0,916181000.0,-54034000.0,
Pretax Income,10066503000.0,10018183000.0,4816277000.0,9889213000.0,23907788000.0,
Other Non Operating Income Expenses,5890550000.0,5362178000.0,5796534000.0,4470397000.0,15608599000.0,
Net Non Operating Interest Income Expense,-2021552000.0,-1968008000.0,-1821173000.0,-1342535000.0,-2503741000.0,
Total Other Finance Cost,165276000.0,-224733000.0,-189095000.0,-288296000.0,884819000.0,
Interest Expense Non Operating,3586311000.0,3355801000.0,2424350000.0,2461916000.0,2822355000.0,
Interest Income Non Operating,1730035000.0,1163060000.0,414082000.0,831085000.0,1203433000.0,
Operating Income,7351544000.0,7193555000.0,4615717000.0,7861444000.0,12511189000.0,
Operating Expense,6988139000.0,6234024000.0,5696680000.0,5354681000.0,8094954000.0,
Other Operating Expenses,1005462000.0,126983000.0,531935000.0,236802000.0,599531000.0,
Research And Development,1604032000.0,1224601000.0,1605367000.0,1349032000.0,2146563000.0,
Selling General And Administration,-2877676000.0,5132874000.0,3790747000.0,3881382000.0,1272514000.0,
Selling And Marketing Expense,1408755000.0,2846721000.0,2034719000.0,1930002000.0,2169783000.0,
General And Administrative Expense,-4286431000.0,2286153000.0,1756028000.0,1951380000.0,-897269000.0,
Gross Profit,14339683000.0,13427579000.0,10312397000.0,13216125000.0,20606143000.0,
Cost Of Revenue,175989118000.0,128301141000.0,96466132000.0,110971708000.0,165338560000.0,
Total Revenue,190328801000.0,141728720000.0,106778529000.0,124187833000.0,185944703000.0,
Operating Revenue,190328801000.0,141728720000.0,106778529000.0,124187833000.0,185944703000.0,
