,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Ordinary Shares Number,4200000000.0,4200000000.0,4200000000.0,4200000000.0,4200000000.0,
Share Issued,4200000000.0,4200000000.0,4200000000.0,4200000000.0,4200000000.0,
Total Debt,223968733000.0,244925469000.0,243737797000.0,207426442000.0,150114904000.0,
Tangible Book Value,325423987000.0,299008274000.0,275986451000.0,252329323000.0,242152942000.0,
Invested Capital,550807890000.0,544747122000.0,520249903000.0,460033058000.0,392543069000.0,
Net Tangible Assets,325423987000.0,299008274000.0,275986451000.0,252329323000.0,242152942000.0,
Common Stock Equity,329788449000.0,302642259000.0,279205258000.0,255185515000.0,244701191000.0,
Total Capitalization,550807890000.0,544747122000.0,520249903000.0,460033058000.0,392543069000.0,
Total Equity Gross Minority Interest,331408618000.0,304001664000.0,280312097000.0,256050076000.0,245621518000.0,
Minority Interest,1620169000.0,1359405000.0,1106839000.0,864561000.0,920327000.0,
Stockholders Equity,329788449000.0,302642259000.0,279205258000.0,255185515000.0,244701191000.0,
Retained Earnings,91279430000.0,66271669000.0,44155427000.0,22290266000.0,86374997000.0,
Additional Paid In Capital,11880000.0,11880000.0,11880000.0,11880000.0,11880000.0,
Capital Stock,4200000000.0,4200000000.0,4200000000.0,4200000000.0,4200000000.0,
Common Stock,4200000000.0,4200000000.0,4200000000.0,4200000000.0,4200000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,2671170761000.0,2573833675000.0,2337113091000.0,2206424739000.0,1956091577000.0,
Derivative Product Liabilities,15123947000.0,13941259000.0,16113972000.0,14055571000.0,11569225000.0,
Long Term Debt And Capital Lease Obligation,223968733000.0,244925469000.0,243737797000.0,207426442000.0,150114904000.0,
Payables,170743365000.0,145368128000.0,116372204000.0,114532620000.0,90193058000.0,
Other Payable,41269461000.0,38163603000.0,18362567000.0,15581821000.0,13234170000.0,
Total Tax Payable,18779668000.0,9110954000.0,16224889000.0,19965452000.0,11700581000.0,
Accounts Payable,110694236000.0,98093571000.0,81784748000.0,78985347000.0,65258307000.0,
Total Assets,3002579379000.0,2877835339000.0,2617425188000.0,2462474815000.0,2201713095000.0,
Investments And Advances,314455248000.0,434505320000.0,260925903000.0,403628452000.0,177018772000.0,
Investmentin Financial Assets,305443180000.0,425757745000.0,252602284000.0,396498882000.0,170638981000.0,
Available For Sale Securities,279986488000.0,402521309000.0,227862627000.0,367828147000.0,148599214000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,9663714000.0,7399919000.0,6192629000.0,12536039000.0,7268728000.0,
Long Term Equity Investment,9012068000.0,8747575000.0,8323619000.0,7129570000.0,6379791000.0,
Investmentsin Joint Venturesat Cost,0.0,,,0.0,0.0,0.0
Investmentsin Associatesat Cost,171905000.0,161539000.0,149284000.0,139537000.0,130500000.0,
Investmentsin Subsidiariesat Cost,8840163000.0,8586036000.0,8174335000.0,6990033000.0,6249291000.0,
Investment Properties,2416949000.0,2170186000.0,2234070000.0,1590712000.0,1590712000.0,
Goodwill And Other Intangible Assets,4364462000.0,3633985000.0,3218807000.0,2856192000.0,2548249000.0,
Other Intangible Assets,4364462000.0,3633985000.0,3218807000.0,2856192000.0,2548249000.0,
Net PPE,36678845000.0,28122557000.0,27815245000.0,22671503000.0,21952980000.0,
Accumulated Depreciation,-10328623000.0,,,,-7446980000.0,
Gross PPE,47007468000.0,,,,29399960000.0,
Other Properties,20270406000.0,,,,13185343000.0,
Properties,26737062000.0,,,,16214617000.0,
Prepaid Assets,41714370000.0,39688782000.0,36683270000.0,,23197855000.0,
Receivables,57810685000.0,49018632000.0,33655246000.0,11838715000.0,31734757000.0,
Taxes Receivable,159784000.0,410373000.0,96506000.0,136195000.0,127590000.0,
Cash And Cash Equivalents,591842159000.0,666042713000.0,584493293000.0,535496173000.0,474342726000.0,
Cash Equivalents,-597339000.0,-755419000.0,-761415000.0,-1634198000.0,-1938327000.0,
Cash Financial,41311588000.0,238811793000.0,204926801000.0,163947507000.0,39061331000.0,
Cash Cash Equivalents And Federal Funds Sold,672839445000.0,666042713000.0,690983582000.0,548834606000.0,578051733000.0,
