,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-147073242.72866,0.0,0.0,-566085.680577,-2553689.566244,
Tax Rate For Calcs,0.287143,0.265793,0.258428,0.204733,0.138097,
Total Unusual Items,-512195000.0,0.0,0.0,-2765000.0,-18492000.0,
Total Unusual Items Excluding Goodwill,-512195000.0,0.0,0.0,-2765000.0,-18492000.0,
Net Income From Continuing Operation Net Minority Interest,24971467000.0,22116242000.0,21865161000.0,22290266000.0,29157507000.0,
Reconciled Depreciation,1076399000.0,,,785292000.0,700641000.0,
Net Interest Income,36483164000.0,31825847000.0,32789736000.0,24939752000.0,26268388000.0,
Interest Expense,125632907000.0,115616534000.0,93691489000.0,79559222000.0,62321869000.0,
Interest Income,162116071000.0,147442381000.0,126481225000.0,104498974000.0,88590257000.0,
Normalized Income,25336588757.27134,22116242000.0,21865161000.0,22292464914.319424,29173445310.433758,
Net Income From Continuing And Discontinued Operation,24971467000.0,22116242000.0,21865161000.0,22290266000.0,29157507000.0,
Diluted Average Shares,,4199818078.0,4199992509.0,4200000000.0,,4199993958.0
Basic Average Shares,,4199818078.0,4199992509.0,4200000000.0,,4199993958.0
Diluted EPS,,5.266,5.206,5.307,,5.627
Basic EPS,,5.266,5.206,5.307,,5.627
Diluted NI Availto Com Stockholders,24971467000.0,22116242000.0,21865161000.0,22290266000.0,29157507000.0,
Net Income Common Stockholders,24971467000.0,22116242000.0,21865161000.0,22290266000.0,29157507000.0,
Net Income,24971467000.0,22116242000.0,21865161000.0,22290266000.0,29157507000.0,
Minority Interests,-257056000.0,-244311000.0,-245066000.0,-189317000.0,-165715000.0,
Net Income Including Noncontrolling Interests,25228523000.0,22360553000.0,22110227000.0,22479583000.0,29323222000.0,
Net Income Discontinuous Operations,0.0,0.0,,0.0,0.0,0.0
Net Income Continuous Operations,25228523000.0,22360553000.0,22110227000.0,22479583000.0,29323222000.0,
Tax Provision,10162201000.0,8094825000.0,7705138000.0,5787115000.0,4698265000.0,
Pretax Income,35390724000.0,30455378000.0,29815365000.0,28266698000.0,34021487000.0,
Special Income Charges,-512195000.0,0.0,0.0,-2765000.0,-18492000.0,
Other Special Charges,481893000.0,,,1956000.0,10831000.0,
Write Off,8753000.0,,,0.0,35000.0,
Impairment Of Capital Assets,21549000.0,,,809000.0,7626000.0,
Restructuring And Mergern Acquisition,0.0,0.0,0.0,0.0,0.0,
Operating Expense,33661787000.0,27736459000.0,23412056000.0,21816684000.0,17331249000.0,
Other Operating Expenses,15922564000.0,17022752000.0,14490484000.0,11513490000.0,8375436000.0,
Depreciation And Amortization In Income Statement,1076399000.0,,,785292000.0,700641000.0,
Amortization,259018000.0,,,163068000.0,183150000.0,
Depreciation Income Statement,817381000.0,,,622224000.0,517491000.0,
Selling General And Administration,1641968000.0,,,529975000.0,543684000.0,
Selling And Marketing Expense,1641968000.0,,,529975000.0,543684000.0,
Insurance And Claims,2180507000.0,,,,1297800000.0,
Rent And Landing Fees,192073000.0,,,137437000.0,110331000.0,
Total Revenue,87436596000.0,68921972000.0,65503833000.0,65305971000.0,63778323000.0,
Operating Revenue,87436596000.0,68921972000.0,65503833000.0,65305971000.0,63778323000.0,
