,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Treasury Shares Number,,,,,0.0
Ordinary Shares Number,7184778000.0,7184778000.0,7184778000.0,7184778000.0,7184778000.0
Share Issued,7184778000.0,7184778000.0,7184778000.0,7184778000.0,7184778000.0
Total Debt,388724432000.0,282284251000.0,225850019000.0,219272316000.0,114228648000.0
Tangible Book Value,163107805000.0,153803539000.0,151305012000.0,143358468000.0,138742353000.0
Invested Capital,551059679000.0,435179648000.0,376488059000.0,361998462000.0,252778961000.0
Net Tangible Assets,163107805000.0,153803539000.0,151305012000.0,143358468000.0,138742353000.0
Common Stock Equity,166558967000.0,156801277000.0,153918634000.0,145727103000.0,140843994000.0
Total Capitalization,551059679000.0,435179648000.0,376488059000.0,361998462000.0,252778961000.0
Total Equity Gross Minority Interest,169936117000.0,159959857000.0,157009784000.0,148181281000.0,142914943000.0
Minority Interest,3377150000.0,3158580000.0,3091150000.0,2454178000.0,2070949000.0
Stockholders Equity,166558967000.0,156801277000.0,153918634000.0,145727103000.0,140843994000.0
Retained Earnings,31457382000.0,25262180000.0,21939846000.0,27869277000.0,22463067000.0
Additional Paid In Capital,44505199000.0,44505199000.0,44505199000.0,44505199000.0,44505199000.0
Capital Stock,7184778000.0,7184778000.0,7184778000.0,7184778000.0,7184778000.0
Common Stock,7184778000.0,7184778000.0,7184778000.0,7184778000.0,7184778000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2973922633000.0,2849147364000.0,2570966179000.0,2374716146000.0,2154095608000.0
Derivative Product Liabilities,2493751000.0,1515818000.0,3356721000.0,2711610000.0,895257000.0
Long Term Debt And Capital Lease Obligation,388724432000.0,282284251000.0,225850019000.0,219272316000.0,114228648000.0
Payables,9688032000.0,8403188000.0,8427393000.0,5233449000.0,5183775000.0
Total Tax Payable,9688032000.0,8403188000.0,8427393000.0,5233449000.0,5183775000.0
Total Assets,3143858750000.0,3009107221000.0,2727975963000.0,2522897427000.0,2297010551000.0
Investments And Advances,310257399000.0,342149008000.0,290632301000.0,671458156000.0,601583882000.0
Investmentin Financial Assets,306852200000.0,338698396000.0,287514512000.0,668383153000.0,598152495000.0
Available For Sale Securities,302469088000.0,334090228000.0,282523631000.0,626709390000.0,554788383000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1496282000.0,1701976000.0,2850763000.0,39256321000.0,39575733000.0
Long Term Equity Investment,3405199000.0,3450612000.0,3117789000.0,3075003000.0,3431387000.0
Investmentsin Joint Venturesat Cost,0.0,0.0,0.0,0.0,0.0
Investmentsin Associatesat Cost,3405199000.0,3450612000.0,3117789000.0,3075003000.0,2833279000.0
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,598108000.0
Investment Properties,25350087000.0,20856209000.0,20656877000.0,15837580000.0,15087803000.0
Goodwill And Other Intangible Assets,3451162000.0,2997738000.0,2613622000.0,2368635000.0,2101641000.0
Other Intangible Assets,3451162000.0,2997738000.0,2613622000.0,2368635000.0,2101641000.0
Goodwill,0.0,0.0,0.0,0.0,0.0
Net PPE,49092047000.0,40707625000.0,38593111000.0,33383788000.0,31184968000.0
Accumulated Depreciation,-9593531000.0,,,,-6178092000.0
Gross PPE,58685578000.0,,,,37363060000.0
Other Properties,11353716000.0,,,,8134916000.0
Machinery Furniture Equipment,4940358000.0,,,,3379002000.0
Buildings And Improvements,42391504000.0,,,,25849142000.0
Receivables,9989739000.0,8816014000.0,7425354000.0,6188744000.0,6322492000.0
Taxes Receivable,7140000.0,11142000.0,9136000.0,0.0,0.0
Cash And Cash Equivalents,668900708000.0,617899346000.0,523213380000.0,385113267000.0,307720044000.0
Cash Equivalents,1238359000.0,3082805000.0,-154520000.0,1915469000.0,2773460000.0
Cash Financial,18408156000.0,18285946000.0,19261889000.0,12604294000.0,14757456000.0
Cash Cash Equivalents And Federal Funds Sold,959429758000.0,807321964000.0,658289747000.0,385113267000.0,307720044000.0
