,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,801462579.147162,0.0,0.0,1069320000.0,-40448250.0,
Tax Rate For Calcs,0.289531,0.25,0.134842,0.25,0.25,
Total Unusual Items,2768137000.0,0.0,0.0,4277280000.0,-161793000.0,
Total Unusual Items Excluding Goodwill,2768137000.0,0.0,0.0,4277280000.0,-161793000.0,
Net Income From Continuing Operation Net Minority Interest,6981492000.0,3476248000.0,6071275000.0,5508806000.0,6398385000.0,
Reconciled Depreciation,1458496000.0,,,651431000.0,767298000.0,
Net Interest Income,10213905000.0,7946256000.0,10391151000.0,14509952000.0,12514388000.0,
Interest Expense,182368212000.0,174144302000.0,153818098000.0,124618872000.0,106576577000.0,
Interest Income,192582117000.0,182090558000.0,164209249000.0,139128824000.0,119090965000.0,
Normalized Income,5014817579.147162,3476248000.0,6071275000.0,2300846000.0,6519729750.0,
Net Income From Continuing And Discontinued Operation,6981492000.0,3476248000.0,6071275000.0,5508806000.0,6398385000.0,
Diluted Average Shares,,7184779935.0,7184779277.0,7184777491.0,,7184780012.0
Basic Average Shares,,7184779935.0,7184779277.0,7184777491.0,,7184780012.0
Diluted EPS,,0.483835,0.845019,0.766733,,0.573509
Basic EPS,,0.483835,0.845019,0.766733,,0.573509
Diluted NI Availto Com Stockholders,6981492000.0,3476248000.0,6071275000.0,5508806000.0,6398385000.0,
Net Income Common Stockholders,6981492000.0,3476248000.0,6071275000.0,5508806000.0,6398385000.0,
Net Income,6981492000.0,3476248000.0,6071275000.0,5508806000.0,6398385000.0,
Minority Interests,-505208000.0,53486000.0,-636848000.0,-100655000.0,-872599000.0,
Net Income Including Noncontrolling Interests,7486700000.0,3422762000.0,6708123000.0,5609461000.0,7270984000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,7486700000.0,3422762000.0,6708123000.0,5609461000.0,7270984000.0,
Tax Provision,3050993000.0,2539389000.0,1045517000.0,-10822598000.0,-3324144000.0,
Pretax Income,10537693000.0,5962151000.0,7753640000.0,-5213137000.0,3946840000.0,
Special Income Charges,2768137000.0,0.0,0.0,4277280000.0,-161793000.0,
Other Special Charges,-2822451000.0,,,-4277280000.0,-251107000.0,
Write Off,0.0,,,0.0,0.0,
Impairment Of Capital Assets,54314000.0,,,0.0,25577000.0,
Restructuring And Mergern Acquisition,0.0,0.0,0.0,0.0,387323000.0,
Operating Expense,17372730000.0,15174798000.0,14959169000.0,16979991000.0,12021721000.0,
Other Operating Expenses,7918704000.0,6770850000.0,7869416000.0,6310547000.0,5154757000.0,
Depreciation And Amortization In Income Statement,1458496000.0,,,651431000.0,767298000.0,
Amortization,293511000.0,,,145364000.0,317866000.0,
Depreciation Income Statement,1164985000.0,,,506067000.0,449432000.0,
Selling General And Administration,862255000.0,,,479732000.0,540864000.0,
Selling And Marketing Expense,862255000.0,,,479732000.0,540864000.0,
Rent And Landing Fees,383526000.0,,,350625000.0,323920000.0,
Total Revenue,28108330000.0,24641081000.0,19994946000.0,13525135000.0,16508063000.0,
Operating Revenue,28108330000.0,24641081000.0,19994946000.0,13525135000.0,16508063000.0,
