,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.228968,0.244,0.245,0.226,0.239891,
Normalized EBITDA,5534000000.0,6443000000.0,7538000000.0,5973000000.0,5030000000.0,
Net Income From Continuing Operation Net Minority Interest,2997000000.0,3648000000.0,4561000000.0,3600000000.0,2801000000.0,
Reconciled Depreciation,1009000000.0,995000000.0,920000000.0,837000000.0,832000000.0,
Reconciled Cost Of Revenue,26475000000.0,26592000000.0,28577000000.0,23835000000.0,23132000000.0,
EBITDA,5534000000.0,6443000000.0,7538000000.0,5973000000.0,5030000000.0,
EBIT,4525000000.0,5448000000.0,6618000000.0,5136000000.0,4198000000.0,
Net Interest Income,-608000000.0,-595000000.0,-489000000.0,-428000000.0,-458000000.0,
Interest Expense,638000000.0,625000000.0,573000000.0,485000000.0,513000000.0,
Interest Income,30000000.0,30000000.0,84000000.0,57000000.0,55000000.0,
Normalized Income,2997000000.0,3648000000.0,4561000000.0,3600000000.0,2801000000.0,
Net Income From Continuing And Discontinued Operation,2997000000.0,3648000000.0,4561000000.0,3600000000.0,2801000000.0,
Total Expenses,35209000000.0,34799000000.0,36641000000.0,31339000000.0,30643000000.0,
Total Operating Income As Reported,4495000000.0,5418000000.0,6534000000.0,5079000000.0,4143000000.0,
Diluted Average Shares,,993000000.0,992000000.0,992000000.0,994000000.0,999000000.0
Basic Average Shares,,991000000.0,990000000.0,989000000.0,991000000.0,996000000.0
Diluted EPS,,3.67,4.6,3.63,2.82,3.81
Basic EPS,,3.68,4.61,3.64,2.83,3.83
Diluted NI Availto Com Stockholders,2997000000.0,3648000000.0,4561000000.0,3600000000.0,2801000000.0,
Net Income Common Stockholders,2997000000.0,3648000000.0,4561000000.0,3600000000.0,2801000000.0,
Net Income,2997000000.0,3648000000.0,4561000000.0,3600000000.0,2801000000.0,
Net Income Including Noncontrolling Interests,2997000000.0,3648000000.0,4561000000.0,3600000000.0,2801000000.0,
Net Income Continuous Operations,2997000000.0,3648000000.0,4561000000.0,3600000000.0,2801000000.0,
Tax Provision,890000000.0,1175000000.0,1484000000.0,1051000000.0,884000000.0,
Pretax Income,3887000000.0,4823000000.0,6045000000.0,4651000000.0,3685000000.0,
Net Non Operating Interest Income Expense,-608000000.0,-595000000.0,-489000000.0,-428000000.0,-458000000.0,
Interest Expense Non Operating,638000000.0,625000000.0,573000000.0,485000000.0,513000000.0,
Interest Income Non Operating,30000000.0,30000000.0,84000000.0,57000000.0,55000000.0,
Operating Income,4495000000.0,5418000000.0,6534000000.0,5079000000.0,4143000000.0,
Operating Expense,8539000000.0,8007000000.0,7882000000.0,7354000000.0,7365000000.0,
Depreciation Amortization Depletion Income Statement,814000000.0,795000000.0,738000000.0,687000000.0,686000000.0,
Depreciation And Amortization In Income Statement,814000000.0,795000000.0,738000000.0,687000000.0,686000000.0,
Selling General And Administration,7725000000.0,7212000000.0,7144000000.0,6667000000.0,6679000000.0,
Gross Profit,13034000000.0,13425000000.0,14416000000.0,12433000000.0,11508000000.0,
Cost Of Revenue,26670000000.0,26792000000.0,28759000000.0,23985000000.0,23278000000.0,
Total Revenue,39704000000.0,40217000000.0,43175000000.0,36418000000.0,34786000000.0,
Operating Revenue,39704000000.0,40217000000.0,43175000000.0,36418000000.0,34786000000.0,
