,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,76923472.474289,-72240000.0,-3500000.0,-93870000.0,-13240223.463687,
Tax Rate For Calcs,0.11464,0.21,0.175,0.21,0.126097,
Normalized EBITDA,4172000000.0,1239000000.0,3821000000.0,3084000000.0,5421000000.0,
Total Unusual Items,671000000.0,-344000000.0,-20000000.0,-447000000.0,-105000000.0,
Total Unusual Items Excluding Goodwill,671000000.0,-344000000.0,-20000000.0,-447000000.0,-105000000.0,
Net Income From Continuing Operation Net Minority Interest,2927000000.0,-317000000.0,1830000000.0,1575000000.0,3285000000.0,
Reconciled Depreciation,1113000000.0,1268000000.0,1155000000.0,1131000000.0,1152000000.0,
Reconciled Cost Of Revenue,6291000000.0,5570000000.0,5933000000.0,5845000000.0,6223000000.0,
EBITDA,4843000000.0,895000000.0,3801000000.0,2637000000.0,5316000000.0,
EBIT,3730000000.0,-373000000.0,2646000000.0,1506000000.0,4164000000.0,
Net Interest Income,-274000000.0,-259000000.0,-210000000.0,-222000000.0,-262000000.0,
Interest Expense,424000000.0,429000000.0,427000000.0,432000000.0,405000000.0,
Interest Income,150000000.0,170000000.0,217000000.0,210000000.0,143000000.0,
Normalized Income,2332923472.474289,-45240000.0,1846500000.0,1928130000.0,3376759776.536313,
Net Income From Continuing And Discontinued Operation,2914000000.0,-330000000.0,1834000000.0,1605000000.0,3288000000.0,
Total Expenses,13652000000.0,12791000000.0,13336000000.0,12898000000.0,13386000000.0,
Diluted Average Shares,,923577526.0,934397595.0,933400000.0,927300000.0,923673300.0
Basic Average Shares,,923577526.0,920287541.0,917200000.0,914700000.0,912790387.0
Diluted EPS,,-0.36,1.96,1.72,3.55,1.84
Basic EPS,,-0.36,1.99,1.75,3.59,1.87
Diluted NI Availto Com Stockholders,2914000000.0,-330000000.0,1834000000.0,1605000000.0,3288000000.0,
Net Income Common Stockholders,2914000000.0,-330000000.0,1834000000.0,1605000000.0,3288000000.0,
Net Income,2914000000.0,-330000000.0,1834000000.0,1605000000.0,3288000000.0,
Net Income Including Noncontrolling Interests,2914000000.0,-330000000.0,1834000000.0,1605000000.0,3288000000.0,
Net Income Discontinuous Operations,-13000000.0,-13000000.0,4000000.0,30000000.0,3000000.0,
Net Income Continuous Operations,2927000000.0,-317000000.0,1830000000.0,1575000000.0,3285000000.0,
Tax Provision,379000000.0,-485000000.0,389000000.0,-502000000.0,474000000.0,
Pretax Income,3306000000.0,-802000000.0,2219000000.0,1074000000.0,3759000000.0,
Other Income Expense,-320000000.0,-2719000000.0,-4000000.0,-269000000.0,26000000.0,
Other Non Operating Income Expenses,-991000000.0,-2375000000.0,16000000.0,178000000.0,131000000.0,
Special Income Charges,597000000.0,-306000000.0,-20000000.0,-375000000.0,-25000000.0,
Gain On Sale Of Ppe,,,,0.0,3000000.0,0.0
Restructuring And Mergern Acquisition,-5000000.0,306000000.0,20000000.0,375000000.0,28000000.0,
Gain On Sale Of Security,74000000.0,-38000000.0,,-72000000.0,-80000000.0,-51000000.0
Net Non Operating Interest Income Expense,-274000000.0,-259000000.0,-210000000.0,-222000000.0,-262000000.0,
Interest Expense Non Operating,424000000.0,429000000.0,427000000.0,432000000.0,405000000.0,
Interest Income Non Operating,150000000.0,170000000.0,217000000.0,210000000.0,143000000.0,
Operating Income,3901000000.0,2177000000.0,2434000000.0,1563000000.0,3995000000.0,
Operating Expense,6538000000.0,6243000000.0,6516000000.0,6179000000.0,6272000000.0,
Other Operating Expenses,-301000000.0,-238000000.0,-241000000.0,-216000000.0,-238000000.0,
Provision For Doubtful Accounts,-4000000.0,4000000.0,2000000.0,-23000000.0,3000000.0,
Depreciation Amortization Depletion Income Statement,290000000.0,290000000.0,268000000.0,257000000.0,261000000.0,
Depreciation And Amortization In Income Statement,290000000.0,290000000.0,268000000.0,257000000.0,261000000.0,
Amortization,290000000.0,290000000.0,268000000.0,257000000.0,261000000.0,
Amortization Of Intangibles Income Statement,290000000.0,290000000.0,268000000.0,257000000.0,261000000.0,
Research And Development,1967000000.0,1876000000.0,1840000000.0,1796000000.0,1748000000.0,
Selling General And Administration,4586000000.0,4311000000.0,4647000000.0,4365000000.0,4498000000.0,
Selling And Marketing Expense,261000000.0,279000000.0,354000000.0,279000000.0,248000000.0,
General And Administrative Expense,4325000000.0,4032000000.0,4293000000.0,4086000000.0,4250000000.0,
Other Gand A,4146000000.0,3865000000.0,4121000000.0,3915000000.0,4099000000.0,
Salaries And Wages,179000000.0,167000000.0,172000000.0,171000000.0,151000000.0,
Gross Profit,10439000000.0,8420000000.0,8950000000.0,7742000000.0,10267000000.0,
Cost Of Revenue,7114000000.0,6548000000.0,6820000000.0,6719000000.0,7114000000.0,
Total Revenue,17553000000.0,14967000000.0,15769000000.0,14461000000.0,17380000000.0,
Operating Revenue,17553000000.0,14967000000.0,15769000000.0,14461000000.0,17380000000.0,
