,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,,,,0.0,
Ordinary Shares Number,4330000000.0,4309000000.0,4276000000.0,4256872276.0,4228000000.0,
Share Issued,4330000000.0,4309000000.0,4276000000.0,4256872276.0,4228000000.0,
Net Debt,41762000000.0,41451000000.0,41742000000.0,45527000000.0,42187000000.0,
Total Debt,50011000000.0,50236000000.0,53029000000.0,52450000000.0,49266000000.0,
Tangible Book Value,70886000000.0,70877000000.0,83404000000.0,73858000000.0,73410000000.0,
Invested Capital,149281000000.0,149768000000.0,168258000000.0,158423000000.0,154856000000.0,
Working Capital,11658000000.0,10978000000.0,18802000000.0,15395000000.0,15216000000.0,
Net Tangible Assets,70886000000.0,70877000000.0,83404000000.0,73858000000.0,73410000000.0,
Common Stock Equity,99270000000.0,99532000000.0,115229000000.0,105973000000.0,105590000000.0,
Total Capitalization,145552000000.0,146003000000.0,163563000000.0,153842000000.0,152568000000.0,
Total Equity Gross Minority Interest,105032000000.0,104864000000.0,120434000000.0,110756000000.0,109965000000.0,
Minority Interest,5762000000.0,5332000000.0,5205000000.0,4783000000.0,4375000000.0,
Stockholders Equity,99270000000.0,99532000000.0,115229000000.0,105973000000.0,105590000000.0,
Gains Losses Not Affecting Retained Earnings,-711000000.0,-185000000.0,-696000000.0,-542000000.0,-215000000.0,
Other Equity Adjustments,-711000000.0,-185000000.0,-696000000.0,-542000000.0,-215000000.0,
Retained Earnings,49032000000.0,49052000000.0,66162000000.0,68224000000.0,69156000000.0,
Capital Stock,50949000000.0,50665000000.0,49763000000.0,38291000000.0,36649000000.0,
Common Stock,50949000000.0,50665000000.0,49763000000.0,38291000000.0,36649000000.0,
Preferred Stock,0.0,,,,0.0,
Total Liabilities Net Minority Interest,91453000000.0,88678000000.0,85771000000.0,81977000000.0,81607000000.0,
Total Non Current Liabilities Net Minority Interest,55787000000.0,53519000000.0,53744000000.0,54764000000.0,53554000000.0,
Other Non Current Liabilities,9505000000.0,7048000000.0,5410000000.0,6895000000.0,6576000000.0,
Long Term Debt And Capital Lease Obligation,46282000000.0,46471000000.0,48334000000.0,47869000000.0,46978000000.0,
Long Term Debt,46282000000.0,46471000000.0,48334000000.0,47869000000.0,46978000000.0,
Current Liabilities,35666000000.0,35159000000.0,32027000000.0,27213000000.0,28053000000.0,
Other Current Liabilities,,,,,-12000000.0,
Current Deferred Liabilities,,3200000000.0,3000000000.0,2900000000.0,2900000000.0,2600000000.0
