,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,,0.0,,,
Ordinary Shares Number,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,
Share Issued,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,
Net Debt,13949936000.0,21600769000.0,19595641000.0,18813379000.0,12297008000.0,
Total Debt,33036026000.0,32107024000.0,35596441000.0,28740237000.0,23989233000.0,
Tangible Book Value,114768137000.0,105175549000.0,100322928000.0,96073262000.0,84546005000.0,
Invested Capital,149324040000.0,138443504000.0,137037937000.0,125976480000.0,109868006000.0,
Working Capital,39169684000.0,32668308000.0,28481854000.0,24189957000.0,19794151000.0,
Net Tangible Assets,114768137000.0,105175549000.0,100322928000.0,96073262000.0,84546005000.0,
Capital Lease Obligations,308559000.0,255030000.0,226652000.0,177383000.0,123945000.0,
Common Stock Equity,116596573000.0,106591510000.0,101668148000.0,97413626000.0,86002718000.0,
Total Capitalization,136328673000.0,124756816000.0,114241441000.0,102179635000.0,89520404000.0,
Total Equity Gross Minority Interest,116596573000.0,106591510000.0,101668148000.0,97413626000.0,86002718000.0,
Stockholders Equity,116596573000.0,106591510000.0,101668148000.0,97413626000.0,86002718000.0,
Other Equity Interest,164000.0,164000.0,164000.0,164000.0,164000.0,
Retained Earnings,49115460000.0,41856755000.0,39549206000.0,36226255000.0,30268266000.0,
Capital Stock,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,
Common Stock,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,
Total Liabilities Net Minority Interest,60630688000.0,54851306000.0,56759223000.0,54814474000.0,49568501000.0,
Total Non Current Liabilities Net Minority Interest,30662714000.0,26092398000.0,20671153000.0,14057701000.0,11867180000.0,
Non Current Pension And Other Postretirement Benefit Plans,2655639000.0,2758960000.0,2634021000.0,2220936000.0,2086239000.0,
Non Current Deferred Taxes Liabilities,8041404000.0,4968186000.0,5282290000.0,6922567000.0,6164262000.0,
Long Term Debt And Capital Lease Obligation,19965671000.0,18365252000.0,12754842000.0,4914198000.0,3616679000.0,
Long Term Capital Lease Obligation,233571000.0,199946000.0,181549000.0,148189000.0,98993000.0,
Long Term Debt,19732100000.0,18165306000.0,12573293000.0,4766009000.0,3517686000.0,
Current Liabilities,29967974000.0,28758908000.0,36088070000.0,40756773000.0,37701321000.0,
