,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,405409951.625017,15645750.0,20370000.0,666046202.816587,180064000.0,
Tax Rate For Calcs,0.074689,0.25,0.25,0.200407,0.25,
Normalized EBITDA,3102530000.0,2470211000.0,4112967000.0,3715661000.0,4126924000.0,
Total Unusual Items,5427983000.0,62583000.0,81480000.0,3323472000.0,720256000.0,
Total Unusual Items Excluding Goodwill,5427983000.0,62583000.0,81480000.0,3323472000.0,720256000.0,
Net Income From Continuing Operation Net Minority Interest,6113253000.0,1028053000.0,2788644000.0,4324058000.0,6181900000.0,
Reconciled Depreciation,1142986000.0,1006418000.0,974503000.0,875654000.0,1304261000.0,
Reconciled Cost Of Revenue,28057883000.0,24463730000.0,25727825000.0,22670542000.0,34694000000.0,
EBITDA,8530513000.0,2532794000.0,4194447000.0,7039133000.0,4847180000.0,
EBIT,7387527000.0,1526376000.0,3219944000.0,6163479000.0,3542919000.0,
Net Interest Income,-280937000.0,-269564000.0,-139744000.0,-136774000.0,-293419000.0,
Interest Expense,780827000.0,766997000.0,874185000.0,755657000.0,868932000.0,
Interest Income,504339000.0,502667000.0,739252000.0,623030000.0,581157000.0,
Normalized Income,1090679951.625017,981115750.0,2727534000.0,1666632202.816587,5641708000.0,
Net Income From Continuing And Discontinued Operation,6113253000.0,1028053000.0,2788644000.0,4324058000.0,6181900000.0,
Total Expenses,28897232000.0,25243056000.0,26444758000.0,23231661000.0,35437035000.0,
Total Operating Income As Reported,6822022000.0,1081737000.0,1912919000.0,5762979000.0,3171915000.0,
Diluted Average Shares,,2900008463.0,2900004160.0,2899911475.0,,2900006553.0
Basic Average Shares,,2900008463.0,2900004160.0,2899911475.0,,2900006553.0
Diluted EPS,,0.3545,0.9616,1.4911,,0.3052
Basic EPS,,0.3545,0.9616,1.4911,,0.3052
Diluted NI Availto Com Stockholders,6113253000.0,1028053000.0,2788644000.0,4324058000.0,6181900000.0,
Net Income Common Stockholders,6113253000.0,1028053000.0,2788644000.0,4324058000.0,6181900000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,6113253000.0,1028053000.0,2788644000.0,4324058000.0,6181900000.0,
Net Income Including Noncontrolling Interests,6113253000.0,1028053000.0,2788644000.0,4324058000.0,6181900000.0,
Net Income Continuous Operations,6113253000.0,1028053000.0,2788644000.0,4324058000.0,6181900000.0,
Tax Provision,493447000.0,-268674000.0,-442885000.0,1083764000.0,-3507913000.0,
Pretax Income,6606700000.0,759379000.0,2345759000.0,5407822000.0,2673987000.0,
Other Non Operating Income Expenses,4006000.0,7523000.0,7345000.0,8274000.0,5526000.0,
Special Income Charges,5399030000.0,77515000.0,82763000.0,3320682000.0,708647000.0,
Other Special Charges,-5184661000.0,-77515000.0,-82763000.0,-3320682000.0,-679766000.0,
Impairment Of Capital Assets,,,,,-28881000.0,49545000.0
Net Non Operating Interest Income Expense,-280937000.0,-269564000.0,-139744000.0,-136774000.0,-293419000.0,
Total Other Finance Cost,4449000.0,5234000.0,4811000.0,4147000.0,5644000.0,
Interest Expense Non Operating,780827000.0,766997000.0,874185000.0,755657000.0,868932000.0,
Interest Income Non Operating,504339000.0,502667000.0,739252000.0,623030000.0,581157000.0,
Operating Income,1617363000.0,903507000.0,1649092000.0,2449846000.0,2626856000.0,
Operating Expense,839349000.0,779326000.0,716933000.0,561119000.0,743035000.0,
Other Operating Expenses,102924000.0,67480000.0,65209000.0,69319000.0,69655000.0,
Depreciation And Amortization In Income Statement,34936000.0,50877000.0,49749000.0,42768000.0,58644000.0,
Depreciation Income Statement,34936000.0,50877000.0,49749000.0,42768000.0,58644000.0,
Research And Development,362000.0,1245000.0,64000.0,816000.0,639000.0,
Selling General And Administration,622249000.0,530301000.0,510889000.0,414021000.0,499862000.0,
Selling And Marketing Expense,217396000.0,192396000.0,178214000.0,149503000.0,195359000.0,
General And Administrative Expense,404853000.0,337905000.0,332675000.0,264518000.0,304503000.0,
Gross Profit,2456712000.0,1682833000.0,2366025000.0,3010965000.0,3369891000.0,
Cost Of Revenue,28057883000.0,24463730000.0,25727825000.0,22670542000.0,34694000000.0,
Total Revenue,30514595000.0,26146563000.0,28093850000.0,25681507000.0,38063891000.0,
Operating Revenue,30514595000.0,26146563000.0,28093850000.0,25681507000.0,38063891000.0,
