,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,,,,,0.0
Ordinary Shares Number,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,
Share Issued,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,
Net Debt,,,3979474000.0,4742729000.0,4875606000.0,3885370000.0
Total Debt,1479245000.0,3227496000.0,6615750000.0,11790014000.0,8713466000.0,
Tangible Book Value,26403219000.0,23071189000.0,19963797000.0,18320288000.0,22688224000.0,
Invested Capital,27967911000.0,26154648000.0,26413169000.0,30100907000.0,31509707000.0,
Working Capital,26236329000.0,23868906000.0,20604037000.0,18645499000.0,23223026000.0,
Net Tangible Assets,26403219000.0,23071189000.0,19963797000.0,18320288000.0,22688224000.0,
Capital Lease Obligations,120604000.0,485122000.0,482295000.0,312878000.0,265249000.0,
Common Stock Equity,26609270000.0,23412274000.0,20279714000.0,18623771000.0,23061490000.0,
Total Capitalization,26622658000.0,23423403000.0,20290843000.0,18664040000.0,23088856000.0,
Total Equity Gross Minority Interest,28850946000.0,25171188000.0,21873502000.0,19952740000.0,24906560000.0,
Minority Interest,2241676000.0,1758914000.0,1593788000.0,1328969000.0,1845070000.0,
Stockholders Equity,26609270000.0,23412274000.0,20279714000.0,18623771000.0,23061490000.0,
Other Equity Interest,6493034000.0,6021409000.0,5405513000.0,4870091000.0,6493034000.0,
Fixed Assets Revaluation Reserve,223180000.0,,193307000.0,164785000.0,244119000.0,305898000.0
Retained Earnings,13196493000.0,10708801000.0,8632640000.0,9150561000.0,11124571000.0,
Additional Paid In Capital,40549000.0,38156000.0,35032000.0,32316000.0,40549000.0,
Capital Stock,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,
Common Stock,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,
Total Liabilities Net Minority Interest,41807847000.0,39790665000.0,37309717000.0,33805482000.0,35723594000.0,
Total Non Current Liabilities Net Minority Interest,528450000.0,975828000.0,881605000.0,426320000.0,436481000.0,
Other Non Current Liabilities,,363357000.0,363357000.0,93357000.0,,94765000.0
Non Current Pension And Other Postretirement Benefit Plans,43556000.0,45325000.0,41601000.0,35829000.0,35819000.0,
Tradeand Other Payables Non Current,368607000.0,378000.0,25174000.0,27000.0,135035000.0,
Non Current Deferred Revenue,0.0,,,,0.0,
Non Current Deferred Taxes Liabilities,31932000.0,235289000.0,124445000.0,20902000.0,47200000.0,
Long Term Debt And Capital Lease Obligation,84355000.0,331479000.0,327028000.0,276205000.0,218427000.0,
Long Term Capital Lease Obligation,70967000.0,320350000.0,315899000.0,235936000.0,191061000.0,
Long Term Debt,13388000.0,11129000.0,11129000.0,40269000.0,27366000.0,
Current Liabilities,41279397000.0,38814837000.0,36428112000.0,33379162000.0,35287113000.0,
Other Current Liabilities,88567000.0,1109506000.0,200372000.0,402458000.0,37255000.0,
Current Debt And Capital Lease Obligation,1394890000.0,2896017000.0,6288722000.0,11513809000.0,8495039000.0,
Current Capital Lease Obligation,49637000.0,164772000.0,166396000.0,76942000.0,74188000.0,
Current Debt,1345253000.0,2731245000.0,6122326000.0,11436867000.0,8420851000.0,
Pensionand Other Post Retirement Benefit Plans Current,277882000.0,158655000.0,227801000.0,67064000.0,346393000.0,
Current Provisions,18968000.0,16749000.0,17812000.0,211936000.0,307304000.0,
Payables,39329546000.0,34384595000.0,29537772000.0,20910023000.0,25651517000.0,
Other Payable,90970000.0,368558000.0,221686000.0,224688000.0,97599000.0,
Total Tax Payable,1662705000.0,1079380000.0,950118000.0,1800227000.0,1685808000.0,
Accounts Payable,37575871000.0,32936657000.0,28365968000.0,18885108000.0,23868110000.0,
Total Assets,70658793000.0,64961853000.0,59183219000.0,53758222000.0,60630154000.0,
Total Non Current Assets,3143067000.0,2278110000.0,2151070000.0,1733561000.0,2120015000.0,
Other Non Current Assets,-1000.0,,,,,
Non Current Prepaid Assets,1684000.0,2886000.0,2709000.0,4055000.0,2725000.0,
Non Current Deferred Taxes Assets,58495000.0,39986000.0,40326000.0,55624000.0,146867000.0,
