,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.25,0.25,0.292828,0.25,0.25,
Normalized EBITDA,4026321000.0,2466495000.0,3012579000.0,1285585000.0,90523000.0,
Net Income From Continuing Operation Net Minority Interest,1922676000.0,1326621000.0,1784347000.0,265382000.0,-1624736000.0,
Reconciled Depreciation,-95334000.0,86223000.0,149532000.0,30207000.0,251147000.0,
Reconciled Cost Of Revenue,261027978000.0,221453873000.0,192066437000.0,226895860000.0,203651451000.0,
EBITDA,4026321000.0,2466495000.0,3012579000.0,1285585000.0,90523000.0,
EBIT,4026321000.0,2380272000.0,2863047000.0,1255378000.0,-160624000.0,
Net Interest Income,-102731000.0,111878000.0,78355000.0,64166000.0,-393271000.0,
Interest Expense,-61940000.0,33794000.0,85112000.0,102445000.0,20065000.0,
Interest Income,-165537000.0,145672000.0,163467000.0,166611000.0,-375442000.0,
Normalized Income,1922676000.0,1326621000.0,1784347000.0,265382000.0,-1624736000.0,
Net Income From Continuing And Discontinued Operation,1922676000.0,1326621000.0,1784347000.0,265382000.0,-1624736000.0,
Total Expenses,261965377000.0,222442890000.0,193063539000.0,228052916000.0,204955605000.0,
Total Operating Income As Reported,5202284000.0,4354127000.0,4507949000.0,3458471000.0,4738137000.0,
Diluted Average Shares,,1500023745.0,1499955447.0,1500000000.0,,1500172279.0
Basic Average Shares,,1500023745.0,1499955447.0,1500000000.0,,1500172279.0
Diluted EPS,,0.8844,1.1896,0.1769,,0.3831
Basic EPS,,0.8844,1.1896,0.1769,,0.3831
Diluted NI Availto Com Stockholders,1922676000.0,1326621000.0,1784347000.0,265382000.0,-1624736000.0,
Net Income Common Stockholders,1922676000.0,1326621000.0,1784347000.0,265382000.0,-1624736000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,1922676000.0,1326621000.0,1784347000.0,265382000.0,-1624736000.0,
Minority Interests,-31843000.0,-18497000.0,-180132000.0,80548000.0,10503000.0,
Net Income Including Noncontrolling Interests,1954519000.0,1345118000.0,1964479000.0,184834000.0,-1635239000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,1954519000.0,1345118000.0,1964479000.0,184834000.0,-1635239000.0,
Tax Provision,2133742000.0,1001360000.0,813456000.0,968099000.0,1454550000.0,
Pretax Income,4088261000.0,2346478000.0,2777935000.0,1152933000.0,-180689000.0,
Other Non Operating Income Expenses,-1318493000.0,-2108813000.0,-1901916000.0,-2373503000.0,,-3620158000.0
Net Non Operating Interest Income Expense,-102731000.0,111878000.0,78355000.0,64166000.0,-393271000.0,
Interest Expense Non Operating,-61940000.0,33794000.0,85112000.0,102445000.0,20065000.0,
Interest Income Non Operating,-165537000.0,145672000.0,163467000.0,166611000.0,-375442000.0,
Operating Income,5530177000.0,4354127000.0,4507949000.0,3458471000.0,4958060000.0,
Operating Expense,937399000.0,989017000.0,997102000.0,1157056000.0,1304154000.0,
Other Operating Expenses,-122551000.0,610000.0,,246304000.0,-285474000.0,97094000.0
Research And Development,1247000.0,271000.0,1872000.0,0.0,-825000.0,
Selling General And Administration,-2048695000.0,1026020000.0,1305073000.0,1135153000.0,-1134061000.0,
Selling And Marketing Expense,-238728000.0,153042000.0,455427000.0,285657000.0,-96736000.0,
General And Administrative Expense,-1809967000.0,872978000.0,849646000.0,849496000.0,-1037325000.0,
Gross Profit,6467576000.0,5343144000.0,5505051000.0,4615527000.0,6262214000.0,
Cost Of Revenue,261027978000.0,221453873000.0,192066437000.0,226895860000.0,203651451000.0,
Total Revenue,267495554000.0,226797017000.0,197571488000.0,231511387000.0,209913665000.0,
Operating Revenue,267495554000.0,226797017000.0,197571488000.0,231511387000.0,209913665000.0,
