,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,1328419000.0,-6921533.316182,-490234871.180348,-273629436.325678,-366310177.705977,,
Tax Rate For Calcs,0.193,0.117314,0.19293,0.18476,0.123586,,
Normalized EBITDA,8724000000.0,5979000000.0,7918000000.0,9281000000.0,8648000000.0,,
Total Unusual Items,6883000000.0,-59000000.0,-2541000000.0,-1481000000.0,-2964000000.0,,
Total Unusual Items Excluding Goodwill,6883000000.0,-59000000.0,-2541000000.0,-1481000000.0,-2964000000.0,,
Net Income From Continuing Operation Net Minority Interest,10999000000.0,3431000000.0,2694000000.0,4686000000.0,3255000000.0,,
Reconciled Depreciation,1772000000.0,1896000000.0,1846000000.0,1782000000.0,1815000000.0,,
Reconciled Cost Of Revenue,7357000000.0,7128000000.0,6963000000.0,6869000000.0,6511000000.0,,
EBITDA,15607000000.0,5920000000.0,5377000000.0,7800000000.0,5684000000.0,,
EBIT,13835000000.0,4024000000.0,3531000000.0,6018000000.0,3869000000.0,,
Net Interest Income,128000000.0,144000000.0,99000000.0,125000000.0,209000000.0,,
Interest Expense,204000000.0,137000000.0,193000000.0,270000000.0,155000000.0,,
Interest Income,332000000.0,281000000.0,292000000.0,395000000.0,364000000.0,,
Normalized Income,5444419000.0,3483078466.683818,4744765128.819652,5893370563.674322,5852689822.294023,,
Net Income From Continuing And Discontinued Operation,10999000000.0,3431000000.0,2694000000.0,4686000000.0,3255000000.0,,
Total Expenses,15594000000.0,18679000000.0,17193000000.0,15790000000.0,15110000000.0,,
Diluted Average Shares,2423800000.0,2427100000.0,2427900000.0,2422000000.0,2430100000.0,,
Basic Average Shares,2405625000.0,2406922000.0,2407200000.0,2406800000.0,2408200000.0,,
Diluted EPS,4.54,1.41,1.11,1.93,1.34,,
Basic EPS,4.572201,1.425472,1.12,1.95,1.35,,
Diluted NI Availto Com Stockholders,10999000000.0,3431000000.0,2694000000.0,4686000000.0,3255000000.0,,
Net Income Common Stockholders,10999000000.0,3431000000.0,2694000000.0,4686000000.0,3255000000.0,,
Net Income,10999000000.0,3431000000.0,2694000000.0,4686000000.0,3255000000.0,,
Net Income Including Noncontrolling Interests,10999000000.0,3431000000.0,2694000000.0,4686000000.0,3255000000.0,,
Net Income Discontinuous Operations,,0.0,0.0,0.0,0.0,-83000000.0,
Net Income Continuous Operations,10999000000.0,3431000000.0,2694000000.0,4686000000.0,3255000000.0,,
Tax Provision,2632000000.0,456000000.0,644000000.0,1062000000.0,459000000.0,,
Pretax Income,13631000000.0,3887000000.0,3338000000.0,5748000000.0,3714000000.0,,
Other Income Expense,7204000000.0,-59000000.0,-2041000000.0,-1081000000.0,-2768000000.0,,
Other Non Operating Income Expenses,321000000.0,0.0,500000000.0,400000000.0,196000000.0,,
Special Income Charges,6883000000.0,-159000000.0,-2541000000.0,-1081000000.0,-2964000000.0,,
Other Special Charges,-7000000000.0,0.0,2400000000.0,500000000.0,2700000000.0,,
Write Off,,,0.0,194000000.0,,,206000000.0
Impairment Of Capital Assets,,,,,0.0,58000000.0,206000000.0
Restructuring And Mergern Acquisition,117000000.0,142000000.0,141000000.0,387000000.0,264000000.0,,
Gain On Sale Of Security,,100000000.0,,-400000000.0,,500000000.0,-1000000000.0
Net Non Operating Interest Income Expense,128000000.0,144000000.0,99000000.0,125000000.0,209000000.0,,
Interest Expense Non Operating,204000000.0,137000000.0,193000000.0,270000000.0,155000000.0,,
Interest Income Non Operating,332000000.0,281000000.0,292000000.0,395000000.0,364000000.0,,
Operating Income,6299000000.0,3841000000.0,5278000000.0,6657000000.0,6273000000.0,,
Operating Expense,8237000000.0,11551000000.0,10230000000.0,8921000000.0,8599000000.0,,
Research And Development,3225000000.0,5298000000.0,4952000000.0,3440000000.0,3542000000.0,,
Selling General And Administration,5012000000.0,6253000000.0,5278000000.0,5481000000.0,5057000000.0,,
General And Administrative Expense,5012000000.0,6253000000.0,5278000000.0,5481000000.0,5057000000.0,,
Other Gand A,5112000000.0,6453000000.0,5478000000.0,5681000000.0,5257000000.0,,
Salaries And Wages,-100000000.0,-200000000.0,-200000000.0,-200000000.0,-200000000.0,,
Gross Profit,14536000000.0,15392000000.0,15508000000.0,15578000000.0,14872000000.0,,
Cost Of Revenue,7357000000.0,7128000000.0,6963000000.0,6869000000.0,6511000000.0,,
Total Revenue,21893000000.0,22520000000.0,22471000000.0,22447000000.0,21383000000.0,,
Operating Revenue,21893000000.0,22520000000.0,22471000000.0,22447000000.0,21383000000.0,,
