,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,1307313494.0,1289593473.0,1259769168.0,1233266016.0,1228275301.0,
Preferred Shares Number,,391850000.0,391850000.0,391850000.0,391850000.0,391850000.0
Ordinary Shares Number,2797620401.0,2815340422.0,2845164727.0,2871667879.0,2876658594.0,
Share Issued,4104933895.0,4104933895.0,4104933895.0,4104933895.0,4104933895.0,
Net Debt,,26535000000.0,,,,
Total Debt,454311000000.0,460795000000.0,441336000000.0,442140000000.0,436537000000.0,
Tangible Book Value,260148000000.0,259731000000.0,252127000000.0,242363000000.0,236093000000.0,
Invested Capital,779019000000.0,784981000000.0,757988000000.0,748877000000.0,737011000000.0,
Net Tangible Assets,280198000000.0,281381000000.0,276027000000.0,272263000000.0,263497000000.0,
Common Stock Equity,324708000000.0,324186000000.0,316652000000.0,306737000000.0,300474000000.0,
Preferred Stock Equity,20050000000.0,21650000000.0,23900000000.0,29900000000.0,27404000000.0,
Total Capitalization,734594000000.0,755993000000.0,734580000000.0,732509000000.0,719703000000.0,
Total Equity Gross Minority Interest,344758000000.0,345836000000.0,340552000000.0,336637000000.0,327878000000.0,
Stockholders Equity,344758000000.0,345836000000.0,340552000000.0,336637000000.0,327878000000.0,
Gains Losses Not Affecting Retained Earnings,-12456000000.0,-6784000000.0,-11338000000.0,-11639000000.0,-10443000000.0,
Other Equity Adjustments,-12456000000.0,-6784000000.0,-11338000000.0,-11639000000.0,-10443000000.0,
Treasury Stock,134018000000.0,129739000000.0,123367000000.0,118046000000.0,116217000000.0,
Retained Earnings,376166000000.0,365966000000.0,356924000000.0,342414000000.0,332901000000.0,
Additional Paid In Capital,90911000000.0,90638000000.0,90328000000.0,89903000000.0,90128000000.0,
Capital Stock,24155000000.0,25755000000.0,28005000000.0,34005000000.0,31509000000.0,
Common Stock,4105000000.0,4105000000.0,4105000000.0,4105000000.0,4105000000.0,
Preferred Stock,20050000000.0,21650000000.0,23900000000.0,29900000000.0,27404000000.0,
Total Liabilities Net Minority Interest,3658056000000.0,3864212000000.0,3802451000000.0,3754090000000.0,3547515000000.0,
Long Term Debt And Capital Lease Obligation,389836000000.0,410157000000.0,394028000000.0,395872000000.0,391825000000.0,
Long Term Debt,389836000000.0,410157000000.0,394028000000.0,395872000000.0,391825000000.0,
Current Debt And Capital Lease Obligation,64475000000.0,50638000000.0,47308000000.0,46268000000.0,44712000000.0,
Current Debt,64475000000.0,50638000000.0,47308000000.0,46268000000.0,44712000000.0,
Other Current Borrowings,64475000000.0,50638000000.0,47308000000.0,46268000000.0,44712000000.0,
Payables And Accrued Expenses,305933000000.0,38665000000.0,34818000000.0,36003000000.0,317954000000.0,
Payables,305933000000.0,38665000000.0,34818000000.0,36003000000.0,317954000000.0,
Other Payable,152780000000.0,38665000000.0,34818000000.0,36003000000.0,155994000000.0,
Accounts Payable,153153000000.0,,,301469000000.0,161960000000.0,292070000000.0
Total Assets,4002814000000.0,4210048000000.0,4143003000000.0,4090727000000.0,3875393000000.0,
Investments And Advances,1172872000000.0,1247480000000.0,1138198000000.0,1134086000000.0,973946000000.0,
Held To Maturity Securities,274468000000.0,299954000000.0,323746000000.0,334527000000.0,369848000000.0,
Trading Securities,501714000000.0,624062000000.0,557346000000.0,574213000000.0,411613000000.0,
Goodwill And Other Intangible Assets,64560000000.0,64455000000.0,64525000000.0,64374000000.0,64381000000.0,
Other Intangible Assets,11995000000.0,11744000000.0,11905000000.0,11738000000.0,11747000000.0,
Goodwill,52565000000.0,52711000000.0,52620000000.0,52636000000.0,52634000000.0,
Net PPE,32223000000.0,31525000000.0,30582000000.0,30279000000.0,30157000000.0,
Gross PPE,32223000000.0,,,,30157000000.0,
Other Properties,15349000000.0,,,,15295000000.0,
Properties,16874000000.0,,,,14862000000.0,
Receivables,101223000000.0,122565000000.0,135692000000.0,129823000000.0,107363000000.0,
Accounts Receivable,101223000000.0,122565000000.0,135692000000.0,129823000000.0,107363000000.0,
Other Short Term Investments,396690000000.0,323464000000.0,257106000000.0,225346000000.0,192485000000.0,
Cash And Cash Equivalents,469317000000.0,434260000000.0,530819000000.0,562116000000.0,624151000000.0,
Cash Financial,23372000000.0,22896000000.0,27265000000.0,22750000000.0,29066000000.0,
Cash Cash Equivalents And Federal Funds Sold,764318000000.0,825081000000.0,923582000000.0,892675000000.0,900303000000.0,
