,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-140695899856.1151,-96240000.0,-44748000.0,-197792000.0,-593435546.530108,
Tax Rate For Calcs,0.193957,0.24,0.226,0.224,0.178262,
Total Unusual Items,-725398000000.0,-401000000.0,-198000000.0,-883000000.0,-3329000000.0,
Total Unusual Items Excluding Goodwill,-725398000000.0,-401000000.0,-198000000.0,-883000000.0,-3329000000.0,
Net Income From Continuing Operation Net Minority Interest,14005000000.0,12898000000.0,18149000000.0,13419000000.0,9307000000.0,
Reconciled Depreciation,1965000000.0,1967000000.0,2002000000.0,2004000000.0,3337000000.0,
Net Interest Income,23350000000.0,23405000000.0,22746000000.0,23082000000.0,24051000000.0,
Interest Expense,24216000000.0,27011000000.0,25767000000.0,24356000000.0,23333000000.0,
Interest Income,47566000000.0,50416000000.0,48513000000.0,47438000000.0,47384000000.0,
Normalized Income,598707100143.8849,13202760000.0,18302252000.0,14104208000.0,12042564453.469893,
Net Income From Continuing And Discontinued Operation,14005000000.0,12898000000.0,18149000000.0,13419000000.0,9307000000.0,
Diluted Average Shares,,2865900000.0,2894900000.0,2912800000.0,2919100000.0,2932100000.0
Basic Average Shares,,2860600000.0,2889800000.0,2908300000.0,2914400000.0,2927500000.0
Diluted EPS,,4.37,6.12,4.44,3.04,4.33
Basic EPS,,4.38,6.13,4.45,3.04,4.33
Diluted NI Availto Com Stockholders,13669000000.0,12537000000.0,17718000000.0,12942000000.0,8871000000.0,
Net Income Common Stockholders,13669000000.0,12537000000.0,17718000000.0,12942000000.0,8871000000.0,
Otherunder Preferred Stock Dividend,77000000.0,75000000.0,114000000.0,80000000.0,50000000.0,
Preferred Stock Dividends,259000000.0,286000000.0,317000000.0,397000000.0,386000000.0,
Net Income,14005000000.0,12898000000.0,18149000000.0,13419000000.0,9307000000.0,
Net Income Including Noncontrolling Interests,14005000000.0,12898000000.0,18149000000.0,13419000000.0,9307000000.0,
Net Income Continuous Operations,14005000000.0,12898000000.0,18149000000.0,13419000000.0,9307000000.0,
Tax Provision,3370000000.0,4080000000.0,5286000000.0,3874000000.0,2019000000.0,
Pretax Income,17375000000.0,16978000000.0,23435000000.0,17293000000.0,11326000000.0,
Special Income Charges,-725398000000.0,-401000000.0,-198000000.0,-883000000.0,-3329000000.0,
Other Special Charges,725236000000.0,259000000.0,317000000.0,653000000.0,3075000000.0,
Restructuring And Mergern Acquisition,162000000.0,142000000.0,-119000000.0,230000000.0,254000000.0,
Gain On Sale Of Security,-69000000.0,-14000000.0,7420000000.0,-392000000.0,-754000000.0,
Selling General And Administration,13804000000.0,14075000000.0,14174000000.0,14526000000.0,13145000000.0,
Selling And Marketing Expense,1335000000.0,1258000000.0,1221000000.0,1160000000.0,1298000000.0,
General And Administrative Expense,12469000000.0,12817000000.0,12953000000.0,13366000000.0,11847000000.0,
Insurance And Claims,,,,248000000.0,,
Salaries And Wages,12469000000.0,12817000000.0,12953000000.0,13118000000.0,11847000000.0,
Total Revenue,42791000000.0,42656000000.0,50058000000.0,41908000000.0,38600000000.0,
Operating Revenue,42791000000.0,42656000000.0,50058000000.0,41908000000.0,38600000000.0,
Occupancy And Equipment,3825000000.0,3705000000.0,3695000000.0,3632000000.0,3617000000.0,
Professional Expense And Contract Services Expense,3007000000.0,2780000000.0,2722000000.0,2548000000.0,2606000000.0,
Other Non Interest Expense,-723272000000.0,1604000000.0,2805000000.0,1168000000.0,1826000000.0,
