,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,890475.0,890475.0,890475.0,890475.0,890475.0,
Ordinary Shares Number,2535007575.0,2535007575.0,2535007575.0,2535007575.0,2535007575.0,
Share Issued,2535898050.0,2535898050.0,2535898050.0,2535898050.0,2535898050.0,
Net Debt,560343000000.0,478030000000.0,453183000000.0,415304000000.0,312951000000.0,
Total Debt,879324000000.0,819972000000.0,757003000000.0,695588000000.0,608823000000.0,
Tangible Book Value,376462000000.0,366418000000.0,347025000000.0,349645000000.0,308127000000.0,
Invested Capital,1396150000000.0,1317545000000.0,1216212000000.0,1148211000000.0,1007085000000.0,
Working Capital,-265969000000.0,-201194000000.0,-205398000000.0,-176899000000.0,-153435000000.0,
Net Tangible Assets,376462000000.0,366418000000.0,347025000000.0,349645000000.0,308127000000.0,
Capital Lease Obligations,11809000000.0,12162000000.0,15848000000.0,7645000000.0,6467000000.0,
Common Stock Equity,528635000000.0,509735000000.0,475057000000.0,460268000000.0,404729000000.0,
Total Capitalization,869813000000.0,848160000000.0,766230000000.0,727886000000.0,645655000000.0,
Total Equity Gross Minority Interest,858664000000.0,841797000000.0,794901000000.0,754952000000.0,674272000000.0,
Minority Interest,330029000000.0,332062000000.0,319844000000.0,294684000000.0,269543000000.0,
Stockholders Equity,528635000000.0,509735000000.0,475057000000.0,460268000000.0,404729000000.0,
Other Equity Interest,68921000000.0,64706000000.0,59199000000.0,54413000000.0,46957000000.0,
Treasury Stock,90000000.0,84000000.0,77000000.0,71000000.0,62000000.0,
Retained Earnings,471780000000.0,441600000000.0,408987000000.0,393376000000.0,340741000000.0,
Additional Paid In Capital,331000000.0,311000000.0,285000000.0,263000000.0,229000000.0,
Capital Stock,2536000000.0,2536000000.0,2536000000.0,2536000000.0,2536000000.0,
Common Stock,2536000000.0,2536000000.0,2536000000.0,2536000000.0,2536000000.0,
Total Liabilities Net Minority Interest,3049488000000.0,3009264000000.0,2791988000000.0,2490453000000.0,2184693000000.0,
Total Non Current Liabilities Net Minority Interest,444835000000.0,444722000000.0,388901000000.0,355806000000.0,318880000000.0,
Other Non Current Liabilities,5930000000.0,4339000000.0,4617000000.0,5249000000.0,4740000000.0,
Derivative Product Liabilities,6929000000.0,8713000000.0,9677000000.0,10922000000.0,9701000000.0,
Non Current Pension And Other Postretirement Benefit Plans,29113000000.0,28407000000.0,27587000000.0,22287000000.0,21472000000.0,
Tradeand Other Payables Non Current,,,12136000000.0,11104000000.0,10118000000.0,
Non Current Deferred Revenue,7288000000.0,7341000000.0,6509000000.0,6162000000.0,5186000000.0,
Non Current Deferred Taxes Liabilities,24195000000.0,24977000000.0,19009000000.0,19972000000.0,15179000000.0,
Long Term Debt And Capital Lease Obligation,352987000000.0,350587000000.0,302950000000.0,275263000000.0,247393000000.0,
Long Term Capital Lease Obligation,11809000000.0,12162000000.0,11777000000.0,7645000000.0,6467000000.0,
Long Term Debt,341178000000.0,338425000000.0,291173000000.0,267618000000.0,240926000000.0,
Long Term Provisions,5095000000.0,6385000000.0,6416000000.0,4847000000.0,5091000000.0,
Current Liabilities,2604653000000.0,2564542000000.0,2403087000000.0,2134647000000.0,1865813000000.0,
Other Current Liabilities,74341000000.0,78684000000.0,61018000000.0,46073000000.0,46269000000.0,
Current Debt And Capital Lease Obligation,526337000000.0,469385000000.0,454053000000.0,420325000000.0,361430000000.0,
Current Capital Lease Obligation,,,4071000000.0,,,
Current Debt,526337000000.0,469385000000.0,449982000000.0,420325000000.0,361430000000.0,
Current Provisions,19322000000.0,19615000000.0,18148000000.0,12996000000.0,10915000000.0,
Payables,416992000000.0,407772000000.0,1834595000000.0,1626948000000.0,298276000000.0,
Other Payable,124863000000.0,107527000000.0,1541605000000.0,1395120000000.0,76294000000.0,
Dividends Payable,,10777000000.0,,,,6832000000.0
Total Tax Payable,41552000000.0,44616000000.0,36404000000.0,37388000000.0,35333000000.0,
Accounts Payable,250577000000.0,244852000000.0,256586000000.0,194440000000.0,186649000000.0,
Total Assets,3908152000000.0,3851061000000.0,3586889000000.0,3245405000000.0,2858965000000.0,
Total Non Current Assets,1569468000000.0,1487713000000.0,1389200000000.0,1287657000000.0,1146587000000.0,
Other Non Current Assets,19499000000.0,18786000000.0,16559000000.0,12505000000.0,10301000000.0,
Non Current Prepaid Assets,13710000000.0,12831000000.0,10456000000.0,10088000000.0,6022000000.0,
Non Current Deferred Taxes Assets,30398000000.0,32284000000.0,32025000000.0,23795000000.0,20304000000.0,
Financial Assets,9937000000.0,9997000000.0,12219000000.0,14385000000.0,13685000000.0,
Investmentin Financial Assets,478033000000.0,455227000000.0,442840000000.0,430198000000.0,388151000000.0,
Available For Sale Securities,474585000000.0,449571000000.0,432890000000.0,421994000000.0,383523000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,3448000000.0,5656000000.0,9950000000.0,8204000000.0,4628000000.0,
Long Term Equity Investment,99618000000.0,91768000000.0,80670000000.0,76930000000.0,69044000000.0,
Investment Properties,2764000000.0,3597000000.0,3321000000.0,2837000000.0,2483000000.0,
Goodwill And Other Intangible Assets,152173000000.0,143317000000.0,128032000000.0,110623000000.0,96602000000.0,
Other Intangible Assets,82513000000.0,78806000000.0,68512000000.0,55258000000.0,48103000000.0,
Goodwill,69660000000.0,64511000000.0,59520000000.0,55365000000.0,48499000000.0,
Net PPE,425860000000.0,397661000000.0,362945000000.0,313863000000.0,275854000000.0,
Accumulated Depreciation,-315384000000.0,-299406000000.0,-266334000000.0,-244280000000.0,-208670000000.0,
Gross PPE,741244000000.0,697067000000.0,629279000000.0,558143000000.0,484524000000.0,
Construction In Progress,31483000000.0,,,,19206000000.0,
Machinery Furniture Equipment,494763000000.0,,,,332436000000.0,
Buildings And Improvements,114045000000.0,,,,68968000000.0,
Land And Improvements,100953000000.0,,,,63914000000.0,
Properties,0.0,,,,0.0,
Current Assets,2338684000000.0,2363348000000.0,2197689000000.0,1957748000000.0,1712378000000.0,
Other Current Assets,34003000000.0,40766000000.0,26751000000.0,19819000000.0,17641000000.0,
Hedging Assets Current,8797000000.0,15227000000.0,8204000000.0,15455000000.0,10467000000.0,
Assets Held For Sale Current,0.0,0.0,0.0,283000000.0,5652000000.0,
Restricted Cash,202014000000.0,36948000000.0,36436000000.0,35297000000.0,117785000000.0,
Prepaid Assets,121220000000.0,124376000000.0,114919000000.0,97152000000.0,78770000000.0,
Inventory,166226000000.0,179501000000.0,173200000000.0,145366000000.0,115828000000.0,
Inventories Adjustments Allowances,-2476000000.0,-1969000000.0,-1734000000.0,-1139000000.0,-1136000000.0,
Other Inventories,544000000.0,560000000.0,493000000.0,2387000000.0,365000000.0,
Finished Goods,102377000000.0,111962000000.0,111274000000.0,100060000000.0,72304000000.0,
Work In Process,16941000000.0,19156000000.0,17178000000.0,15102000000.0,12213000000.0,
Raw Materials,48840000000.0,49792000000.0,45989000000.0,28956000000.0,32082000000.0,
Other Receivables,1014454000000.0,978856000000.0,947650000000.0,845962000000.0,700713000000.0,
Taxes Receivable,19289000000.0,25283000000.0,18147000000.0,21544000000.0,21929000000.0,
Accounts Receivable,182259000000.0,190600000000.0,191737000000.0,150748000000.0,143442000000.0,
Cash Cash Equivalents And Short Term Investments,575011000000.0,749617000000.0,656526000000.0,609293000000.0,486291000000.0,
Other Short Term Investments,267839000000.0,419837000000.0,368554000000.0,336654000000.0,196886000000.0,
Cash And Cash Equivalents,307172000000.0,329780000000.0,287972000000.0,272639000000.0,289405000000.0,
Cash Equivalents,211018000000.0,207218000000.0,186495000000.0,178153000000.0,199000000000.0,
Cash Financial,96154000000.0,122562000000.0,101477000000.0,94486000000.0,90405000000.0,
