,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,1286750000.0,-606750000.0,-889500000.0,-740500000.0,349500000.0,
Tax Rate For Calcs,0.25,0.25,0.25,0.25,0.25,
Normalized EBITDA,47279000000.0,28475000000.0,37654000000.0,25931000000.0,36615000000.0,
Total Unusual Items,5147000000.0,-2427000000.0,-3558000000.0,-2962000000.0,1398000000.0,
Total Unusual Items Excluding Goodwill,5147000000.0,-2427000000.0,-3558000000.0,-2962000000.0,1398000000.0,
Net Income From Continuing Operation Net Minority Interest,3211000000.0,-3682000000.0,164000000.0,1354000000.0,-1445000000.0,
Reconciled Depreciation,21053000000.0,15012000000.0,13617000000.0,8586000000.0,22148000000.0,
Reconciled Cost Of Revenue,570218000000.0,488078000000.0,448096000000.0,375794000000.0,577233000000.0,
EBITDA,52426000000.0,26048000000.0,34096000000.0,22969000000.0,38013000000.0,
EBIT,31373000000.0,11036000000.0,20479000000.0,14383000000.0,15865000000.0,
Net Interest Income,-8954000000.0,-7047000000.0,-4134000000.0,-486000000.0,2883000000.0,
Interest Expense,19053000000.0,14165000000.0,11914000000.0,7444000000.0,7256000000.0,
Interest Income,10584000000.0,9902000000.0,7605000000.0,7750000000.0,10168000000.0,
Normalized Income,-649250000.0,-1861750000.0,2832500000.0,3575500000.0,-2493500000.0,
Net Income From Continuing And Discontinued Operation,3211000000.0,-3682000000.0,164000000.0,1354000000.0,-1445000000.0,
Total Expenses,643107000000.0,548479000000.0,500197000000.0,422242000000.0,662627000000.0,
Total Operating Income As Reported,20410000000.0,12188000000.0,,26574000000.0,65766000000.0,110545000000.0
Diluted Average Shares,,2535007575.0,2535007575.0,2535007575.0,,2535007575.0
Basic Average Shares,,2535007575.0,2535007575.0,2535007575.0,,2535007575.0
Diluted EPS,,-1.45,0.065,0.534,,5.32
Basic EPS,,-1.45,0.065,0.534,,5.32
Diluted NI Availto Com Stockholders,3211000000.0,-3682000000.0,164000000.0,1354000000.0,-1445000000.0,
Net Income Common Stockholders,3211000000.0,-3682000000.0,164000000.0,1354000000.0,-1445000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,3211000000.0,-3682000000.0,164000000.0,1354000000.0,-1445000000.0,
Minority Interests,39000000.0,3164000000.0,449000000.0,2457000000.0,-1945000000.0,
Net Income Including Noncontrolling Interests,3172000000.0,-6846000000.0,-285000000.0,-1103000000.0,500000000.0,
Net Income Continuous Operations,3172000000.0,-6846000000.0,-285000000.0,-1103000000.0,500000000.0,
Tax Provision,9148000000.0,3717000000.0,8850000000.0,8042000000.0,8109000000.0,
Pretax Income,12320000000.0,-3129000000.0,8565000000.0,6939000000.0,8609000000.0,
Other Non Operating Income Expenses,365000000.0,-7917000000.0,-8135000000.0,-18212000000.0,-46421000000.0,
Special Income Charges,6465000000.0,238000000.0,673000000.0,-2456000000.0,822000000.0,
Other Special Charges,-1524000000.0,28000000.0,297000000.0,-1203000000.0,-819000000.0,
Write Off,,,,3659000000.0,,
Restructuring And Mergern Acquisition,-5265000000.0,-266000000.0,-970000000.0,,,0.0
Net Non Operating Interest Income Expense,-8954000000.0,-7047000000.0,-4134000000.0,-486000000.0,2883000000.0,
Total Other Finance Cost,485000000.0,2784000000.0,-175000000.0,792000000.0,29000000.0,
Interest Expense Non Operating,19053000000.0,14165000000.0,11914000000.0,7444000000.0,7256000000.0,
Interest Income Non Operating,10584000000.0,9902000000.0,7605000000.0,7750000000.0,10168000000.0,
Operating Income,14285000000.0,12254000000.0,21256000000.0,28173000000.0,55702000000.0,
Operating Expense,72889000000.0,60401000000.0,52101000000.0,46448000000.0,85394000000.0,
Other Operating Expenses,5821000000.0,4785000000.0,-965000000.0,644000000.0,5197000000.0,
Research And Development,1930000000.0,2044000000.0,1554000000.0,1033000000.0,2109000000.0,
Selling General And Administration,71454000000.0,57038000000.0,55997000000.0,45171000000.0,75554000000.0,
Selling And Marketing Expense,32171000000.0,25636000000.0,27346000000.0,19276000000.0,31107000000.0,
General And Administrative Expense,39283000000.0,31402000000.0,28651000000.0,25895000000.0,44447000000.0,
Gross Profit,87174000000.0,72655000000.0,73357000000.0,74621000000.0,141096000000.0,
Cost Of Revenue,570218000000.0,488078000000.0,448096000000.0,375794000000.0,577233000000.0,
Total Revenue,657392000000.0,560733000000.0,521453000000.0,450415000000.0,718329000000.0,
Operating Revenue,657392000000.0,560733000000.0,521453000000.0,450415000000.0,718329000000.0,
