,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Ordinary Shares Number,3202500000.0,3202500000.0,3202500000.0,3202500000.0,3202500000.0,
Share Issued,3202500000.0,3202500000.0,3202500000.0,3202500000.0,3202500000.0,
Net Debt,,,,,123245000.0,202041000.0
Total Debt,6249000.0,7830000.0,9301000.0,12789000.0,397695000.0,
Tangible Book Value,29533285000.0,27648861000.0,24710902000.0,22955479000.0,20512111000.0,
Invested Capital,29571780000.0,27828815000.0,24890759000.0,23132595000.0,21002898000.0,
Working Capital,12534490000.0,12260933000.0,10637635000.0,10278272000.0,9611072000.0,
Net Tangible Assets,29533285000.0,27648861000.0,24710902000.0,22955479000.0,20512111000.0,
Capital Lease Obligations,6249000.0,7830000.0,9301000.0,12789000.0,14360000.0,
Common Stock Equity,29571780000.0,27828815000.0,24890759000.0,23132595000.0,20619563000.0,
Total Capitalization,29571780000.0,27828815000.0,24890759000.0,23132595000.0,20619563000.0,
Total Equity Gross Minority Interest,29571780000.0,27828815000.0,24890759000.0,23132595000.0,20619563000.0,
Stockholders Equity,29571780000.0,27828815000.0,24890759000.0,23132595000.0,20619563000.0,
Other Equity Interest,6086535000.0,5538476000.0,4822668000.0,4200458000.0,3231295000.0,
Treasury Stock,2776900000.0,2587317000.0,2315961000.0,2033080000.0,1446378000.0,
Retained Earnings,17422317000.0,16368592000.0,14375541000.0,13400643000.0,12125720000.0,
Capital Stock,3202500000.0,3202500000.0,3202500000.0,3202500000.0,3202500000.0,
Common Stock,3202500000.0,3202500000.0,3202500000.0,3202500000.0,3202500000.0,
Total Liabilities Net Minority Interest,2839686000.0,2643926000.0,2900518000.0,3267321000.0,2469035000.0,
Total Non Current Liabilities Net Minority Interest,1083518000.0,1074990000.0,1037589000.0,883196000.0,634483000.0,
Non Current Pension And Other Postretirement Benefit Plans,206736000.0,195573000.0,195573000.0,212983000.0,138885000.0,
Tradeand Other Payables Non Current,193419000.0,187196000.0,180256000.0,,161652000.0,150332000.0
Non Current Deferred Taxes Liabilities,,,,,0.0,
Long Term Debt And Capital Lease Obligation,1339000.0,2808000.0,2809000.0,8855000.0,6266000.0,
Long Term Capital Lease Obligation,1339000.0,2808000.0,2809000.0,8855000.0,6266000.0,
Long Term Provisions,682024000.0,689413000.0,658951000.0,661358000.0,327680000.0,
Current Liabilities,1756168000.0,1568936000.0,1862929000.0,2384125000.0,1834552000.0,
Other Current Liabilities,45846000.0,22991000.0,20239000.0,8263000.0,17060000.0,
Current Debt And Capital Lease Obligation,4910000.0,5022000.0,6492000.0,3934000.0,391429000.0,
Current Capital Lease Obligation,4910000.0,5022000.0,6492000.0,3934000.0,8094000.0,
Current Debt,0.0,0.0,0.0,,383335000.0,373498000.0
Pensionand Other Post Retirement Benefit Plans Current,43877000.0,44164000.0,44164000.0,44922000.0,26331000.0,
Current Provisions,1156580000.0,1041392000.0,900162000.0,1117959000.0,830095000.0,
Payables,504747000.0,454569000.0,890971000.0,1208839000.0,569430000.0,
Other Payable,262572000.0,186972000.0,694815000.0,465702000.0,72857000.0,
Total Tax Payable,43089000.0,0.0,0.0,375142000.0,197493000.0,
