,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,301624750.0,407457957.946306,114757500.0,135017250.0,287270763.729034,
Tax Rate For Calcs,0.25,0.278992,0.25,0.25,0.161412,
Normalized EBITDA,-677565000.0,-860137000.0,-912137000.0,179473000.0,-6128733000.0,
Total Unusual Items,1344024000.0,1460466000.0,459030000.0,540069000.0,1779738000.0,
Total Unusual Items Excluding Goodwill,1206499000.0,1460466000.0,459030000.0,540069000.0,1779738000.0,
Net Income From Continuing Operation Net Minority Interest,87178000.0,775603000.0,-39409000.0,-182823000.0,-4110272000.0,
Reconciled Depreciation,220881000.0,214459000.0,461701000.0,356810000.0,536929000.0,
Reconciled Cost Of Revenue,879190000.0,970373000.0,1438612000.0,1976140000.0,1862052000.0,
EBITDA,666459000.0,600329000.0,-453107000.0,719542000.0,-4348995000.0,
EBIT,445578000.0,385870000.0,-914808000.0,362732000.0,-4885924000.0,
Net Interest Income,403620000.0,261754000.0,258222000.0,208094000.0,204806000.0,
Interest Expense,656000.0,,0.0,4201000.0,15495000.0,17969000.0
Interest Income,404276000.0,261754000.0,258222000.0,212295000.0,220301000.0,
Normalized Income,-817696250.0,-277405042.053694,-383681500.0,-587874750.0,-5602739236.270966,
Net Income From Continuing And Discontinued Operation,87178000.0,775603000.0,-39409000.0,-182823000.0,-4110272000.0,
Total Expenses,1959723000.0,1472213000.0,2036070000.0,2617884000.0,2512411000.0,
Rent Expense Supplemental,94352000.0,1893000.0,,,,1457000.0
Total Operating Income As Reported,-720302000.0,384713000.0,-33165000.0,311589000.0,-208949000.0,
Diluted Average Shares,,3201778176.0,3201970842.0,3202096627.0,,3202000000.0
Basic Average Shares,,3201778176.0,3201970842.0,3202096627.0,,3202000000.0
Diluted EPS,,0.24,-0.012,-0.057,,-0.67
Basic EPS,,0.24,-0.012,-0.057,,-0.67
Diluted NI Availto Com Stockholders,87178000.0,775603000.0,-39409000.0,-182823000.0,-4110272000.0,
Net Income Common Stockholders,87178000.0,775603000.0,-39409000.0,-182823000.0,-4110272000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,87178000.0,775603000.0,-39409000.0,-182823000.0,-4110272000.0,
Net Income Including Noncontrolling Interests,87178000.0,775603000.0,-39409000.0,-182823000.0,-4110272000.0,
Net Income Continuous Operations,87178000.0,775603000.0,-39409000.0,-182823000.0,-4110272000.0,
Tax Provision,357744000.0,300117000.0,-875399000.0,541354000.0,-791147000.0,
Pretax Income,444922000.0,1075720000.0,-914808000.0,358531000.0,-4901419000.0,
Other Non Operating Income Expenses,-418414000.0,-1021624000.0,-1691762000.0,-1141020000.0,,-3987386000.0
Special Income Charges,-142368000.0,24255000.0,-110170000.0,2467000.0,-513823000.0,
Other Special Charges,-16844000.0,-24255000.0,110170000.0,-2467000.0,514019000.0,
Write Off,0.0,0.0,0.0,0.0,-196000.0,
Net Non Operating Interest Income Expense,403620000.0,261754000.0,258222000.0,208094000.0,204806000.0,
Interest Expense Non Operating,656000.0,,0.0,4201000.0,15495000.0,17969000.0
Interest Income Non Operating,404276000.0,261754000.0,258222000.0,212295000.0,220301000.0,
Operating Income,-814493000.0,385870000.0,51396000.0,311589000.0,493659000.0,
Operating Expense,1080533000.0,501840000.0,597458000.0,641744000.0,650359000.0,
Other Operating Expenses,366996000.0,56050000.0,161533000.0,161292000.0,-61157000.0,
Research And Development,376575000.0,155322000.0,171509000.0,284297000.0,235329000.0,
Selling General And Administration,370652000.0,314970000.0,315268000.0,236100000.0,517730000.0,
Selling And Marketing Expense,44951000.0,42202000.0,80989000.0,2841000.0,10126000.0,
General And Administrative Expense,325701000.0,272768000.0,234279000.0,233259000.0,507604000.0,
Rent And Landing Fees,1231000.0,1893000.0,,,,1457000.0
Gross Profit,266040000.0,887710000.0,648854000.0,953333000.0,1144018000.0,
Cost Of Revenue,879190000.0,970373000.0,1438612000.0,1976140000.0,1862052000.0,
Total Revenue,1145230000.0,1858083000.0,2087466000.0,2929473000.0,3006070000.0,
Operating Revenue,1145230000.0,1858083000.0,2087466000.0,2929473000.0,3006070000.0,
