,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,2738000000.0,2730000000.0,2731000000.0,2732000000.0,2732000000.0,
Ordinary Shares Number,4302000000.0,4310000000.0,4308955307.0,4308000000.0,4308000000.0,
Share Issued,7040000000.0,7040000000.0,7039955307.0,7040000000.0,7040000000.0,
Net Debt,33694000000.0,32326000000.0,30109000000.0,32107000000.0,32698000000.0,
Total Debt,44522000000.0,46264000000.0,43817000000.0,42550000000.0,42064000000.0,
Tangible Book Value,-6584000000.0,-6227000000.0,-6452000000.0,-5805000000.0,-6766000000.0,
Invested Capital,69378000000.0,72782000000.0,69670000000.0,68979000000.0,68005000000.0,
Working Capital,748000000.0,1719000000.0,2336000000.0,1106000000.0,3161000000.0,
Net Tangible Assets,-6584000000.0,-6227000000.0,-6452000000.0,-5805000000.0,-6766000000.0,
Common Stock Equity,24856000000.0,26518000000.0,25853000000.0,26429000000.0,25941000000.0,
Total Capitalization,67231000000.0,69512000000.0,63938000000.0,61533000000.0,61488000000.0,
Total Equity Gross Minority Interest,26372000000.0,28154000000.0,27411000000.0,27946000000.0,27480000000.0,
Minority Interest,1516000000.0,1636000000.0,1558000000.0,1517000000.0,1539000000.0,
Stockholders Equity,24856000000.0,26518000000.0,25853000000.0,26429000000.0,25941000000.0,
Gains Losses Not Affecting Retained Earnings,-16843000000.0,-15536000000.0,-15458000000.0,-14504000000.0,-14275000000.0,
Other Equity Adjustments,116000000.0,-205000000.0,13000000.0,-105000000.0,-154000000.0,
Foreign Currency Translation Adjustments,-15610000000.0,-13930000000.0,-14077000000.0,-13005000000.0,-12726000000.0,
Minimum Pension Liabilities,-1285000000.0,-1381000000.0,-1371000000.0,-1398000000.0,-1394000000.0,
Unrealized Gain Loss,-64000000.0,-20000000.0,-23000000.0,4000000.0,-1000000.0,
Treasury Stock,55916000000.0,55362000000.0,55106000000.0,55016000000.0,54535000000.0,
Retained Earnings,76054000000.0,75946000000.0,75189000000.0,74868000000.0,73782000000.0,
Additional Paid In Capital,19801000000.0,19710000000.0,19468000000.0,19321000000.0,19209000000.0,
Capital Stock,1760000000.0,1760000000.0,1760000000.0,1760000000.0,1760000000.0,
Common Stock,1760000000.0,1760000000.0,1760000000.0,1760000000.0,1760000000.0,
Total Liabilities Net Minority Interest,74177000000.0,78112000000.0,73791000000.0,71446000000.0,70223000000.0,
Total Non Current Liabilities Net Minority Interest,48928000000.0,49543000000.0,44528000000.0,43090000000.0,46652000000.0,
Other Non Current Liabilities,4084000000.0,4257000000.0,4077000000.0,5465000000.0,8466000000.0,
Non Current Deferred Liabilities,2469000000.0,2292000000.0,2366000000.0,2521000000.0,2639000000.0,
Non Current Deferred Taxes Liabilities,2469000000.0,2292000000.0,2366000000.0,2521000000.0,2639000000.0,
Long Term Debt And Capital Lease Obligation,42375000000.0,42994000000.0,38085000000.0,35104000000.0,35547000000.0,
Long Term Debt,42375000000.0,42994000000.0,38085000000.0,35104000000.0,35547000000.0,
Current Liabilities,25249000000.0,28569000000.0,29263000000.0,28356000000.0,23571000000.0,
Current Debt And Capital Lease Obligation,2147000000.0,3270000000.0,5732000000.0,7446000000.0,6517000000.0,
Current Debt,2147000000.0,3270000000.0,5732000000.0,7446000000.0,6517000000.0,
Other Current Borrowings,648000000.0,,,,1960000000.0,
Line Of Credit,360000000.0,,,,348000000.0,
Commercial Paper,1139000000.0,,,,4209000000.0,
Pensionand Other Post Retirement Benefit Plans Current,1391000000.0,,,,1394000000.0,
Payables And Accrued Expenses,21711000000.0,25299000000.0,23531000000.0,20910000000.0,15660000000.0,
Current Accrued Expenses,14856000000.0,,,,8501000000.0,
Payables,6855000000.0,25299000000.0,23531000000.0,20910000000.0,7159000000.0,
Total Tax Payable,1387000000.0,1479000000.0,1622000000.0,1485000000.0,1569000000.0,
Income Tax Payable,1387000000.0,1479000000.0,1622000000.0,1485000000.0,1569000000.0,
Accounts Payable,5468000000.0,23820000000.0,21909000000.0,19425000000.0,5590000000.0,
Total Assets,100549000000.0,106266000000.0,101202000000.0,99392000000.0,97703000000.0,
Total Non Current Assets,74552000000.0,75978000000.0,69603000000.0,69930000000.0,70971000000.0,
