,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-42477904.490378,-75046000.0,-274482000.0,3186000.0,3197421.434327,
Tax Rate For Calcs,0.211333,0.157,0.207,0.177,0.199839,
Normalized EBITDA,3714000000.0,4551000000.0,5041000000.0,4498000000.0,3150000000.0,
Total Unusual Items,-201000000.0,-478000000.0,-1326000000.0,18000000.0,16000000.0,
Total Unusual Items Excluding Goodwill,-201000000.0,-478000000.0,-1326000000.0,18000000.0,16000000.0,
Net Income From Continuing Operation Net Minority Interest,2195000000.0,2848000000.0,2411000000.0,3177000000.0,1973000000.0,
Reconciled Depreciation,276000000.0,268000000.0,269000000.0,262000000.0,271000000.0,
Reconciled Cost Of Revenue,4613000000.0,4400000000.0,4546000000.0,3977000000.0,4367000000.0,
EBITDA,3513000000.0,4073000000.0,3715000000.0,4516000000.0,3166000000.0,
EBIT,3237000000.0,3805000000.0,3446000000.0,4254000000.0,2895000000.0,
Net Interest Income,-227000000.0,-162000000.0,-143000000.0,-136000000.0,-146000000.0,
Interest Expense,431000000.0,425000000.0,418000000.0,382000000.0,413000000.0,
Interest Income,204000000.0,263000000.0,275000000.0,246000000.0,267000000.0,
Normalized Income,2353522095.509622,3250954000.0,3462518000.0,3162186000.0,1960197421.434327,
Net Income From Continuing And Discontinued Operation,2195000000.0,2848000000.0,2411000000.0,3177000000.0,1973000000.0,
Total Expenses,8679000000.0,8338000000.0,8392000000.0,7626000000.0,8492000000.0,
Total Operating Income As Reported,2709000000.0,2510000000.0,2632000000.0,2141000000.0,2273000000.0,
Diluted Average Shares,,4323000000.0,4319000000.0,4322000000.0,4330000000.0,4339000000.0
Basic Average Shares,,4311000000.0,4309000000.0,4310000000.0,4317000000.0,4324000000.0
Diluted EPS,,0.66,0.56,0.74,0.46,0.71
Basic EPS,,0.66,0.56,0.74,0.46,0.71
Diluted NI Availto Com Stockholders,2195000000.0,2848000000.0,2411000000.0,3177000000.0,1973000000.0,
Net Income Common Stockholders,2195000000.0,2848000000.0,2411000000.0,3177000000.0,1973000000.0,
Net Income,2195000000.0,2848000000.0,2411000000.0,3177000000.0,1973000000.0,
Minority Interests,-18000000.0,-2000000.0,10000000.0,-8000000.0,-13000000.0,
Net Income Including Noncontrolling Interests,2213000000.0,2850000000.0,2401000000.0,3185000000.0,1986000000.0,
Net Income Continuous Operations,2213000000.0,2850000000.0,2401000000.0,3185000000.0,1986000000.0,
Tax Provision,593000000.0,530000000.0,627000000.0,687000000.0,496000000.0,
Pretax Income,2806000000.0,3380000000.0,3028000000.0,3872000000.0,2482000000.0,
Other Income Expense,168000000.0,26000000.0,-800000000.0,334000000.0,271000000.0,
Other Non Operating Income Expenses,31000000.0,-37000000.0,-11000000.0,-38000000.0,-106000000.0,
Special Income Charges,-177000000.0,-648000000.0,-1360000000.0,-117000000.0,-48000000.0,
Gain On Sale Of Business,-871000000.0,322000000.0,,516000000.0,-345000000.0,
Other Special Charges,42000000.0,-36000000.0,-11000000.0,-14000000.0,-12000000.0,
Write Off,0.0,,34000000.0,760000000.0,,
Impairment Of Capital Assets,39000000.0,87000000.0,,760000000.0,,
Restructuring And Mergern Acquisition,-775000000.0,919000000.0,1337000000.0,-113000000.0,-324000000.0,
Earnings From Equity Interest,338000000.0,541000000.0,537000000.0,354000000.0,361000000.0,
Gain On Sale Of Security,-24000000.0,170000000.0,34000000.0,135000000.0,64000000.0,
Net Non Operating Interest Income Expense,-227000000.0,-162000000.0,-143000000.0,-136000000.0,-146000000.0,
Interest Expense Non Operating,431000000.0,425000000.0,418000000.0,382000000.0,413000000.0,
Interest Income Non Operating,204000000.0,263000000.0,275000000.0,246000000.0,267000000.0,
Operating Income,2865000000.0,3516000000.0,3971000000.0,3674000000.0,2357000000.0,
Operating Expense,4066000000.0,3674000000.0,3580000000.0,3391000000.0,3858000000.0,
Other Operating Expenses,2097000000.0,1624000000.0,1496000000.0,1537000000.0,2008000000.0,
Depreciation Amortization Depletion Income Statement,,4000000.0,3000000.0,4000000.0,4000000.0,4000000.0
Depreciation And Amortization In Income Statement,,4000000.0,3000000.0,4000000.0,4000000.0,4000000.0
Amortization,,4000000.0,3000000.0,4000000.0,4000000.0,4000000.0
Amortization Of Intangibles Income Statement,,4000000.0,3000000.0,4000000.0,4000000.0,4000000.0
Selling General And Administration,1980000000.0,2046000000.0,2081000000.0,1850000000.0,1846000000.0,
Selling And Marketing Expense,1901000000.0,1979000000.0,2009000000.0,1782000000.0,1769000000.0,
General And Administrative Expense,79000000.0,67000000.0,72000000.0,68000000.0,77000000.0,
Salaries And Wages,79000000.0,67000000.0,72000000.0,68000000.0,77000000.0,
Gross Profit,6931000000.0,7190000000.0,7551000000.0,7065000000.0,6215000000.0,
Cost Of Revenue,4613000000.0,4664000000.0,4812000000.0,4235000000.0,4634000000.0,
Total Revenue,11544000000.0,11854000000.0,12363000000.0,11300000000.0,10849000000.0,
Operating Revenue,11544000000.0,11854000000.0,12363000000.0,11300000000.0,10849000000.0,
