,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-22575173.477255,-27768000.0,-9688000.0,-8162000.0,-32396868.413129,
Tax Rate For Calcs,0.141095,0.156,0.173,0.154,0.15959,
Normalized EBITDA,4466000000.0,4428000000.0,4373000000.0,3977000000.0,3877000000.0,
Total Unusual Items,-160000000.0,-178000000.0,-56000000.0,-53000000.0,-203000000.0,
Total Unusual Items Excluding Goodwill,-160000000.0,-178000000.0,-56000000.0,-53000000.0,-203000000.0,
Net Income From Continuing Operation Net Minority Interest,3342000000.0,3263000000.0,3258000000.0,3011000000.0,2791000000.0,
Reconciled Depreciation,231000000.0,225000000.0,225000000.0,216000000.0,205000000.0,
Reconciled Cost Of Revenue,1653000000.0,1899000000.0,1607000000.0,1514000000.0,1528000000.0,
EBITDA,4306000000.0,4250000000.0,4317000000.0,3924000000.0,3674000000.0,
EBIT,4075000000.0,4025000000.0,4092000000.0,3708000000.0,3469000000.0,
Net Interest Income,-184000000.0,-159000000.0,-153000000.0,-150000000.0,-148000000.0,
Interest Expense,184000000.0,159000000.0,153000000.0,150000000.0,148000000.0,
Normalized Income,3479424826.522745,3413232000.0,3304312000.0,3055838000.0,2961603131.586871,
Net Income From Continuing And Discontinued Operation,3342000000.0,3263000000.0,3258000000.0,3011000000.0,2791000000.0,
Total Expenses,3255000000.0,3173000000.0,2822000000.0,2590000000.0,2850000000.0,
Total Operating Income As Reported,3938000000.0,4004000000.0,4036000000.0,3604000000.0,3372000000.0,
Diluted Average Shares,,925000000.0,930000000.0,935000000.0,939000000.0,943000000.0
Basic Average Shares,,923000000.0,929000000.0,933000000.0,936000000.0,941000000.0
Diluted EPS,,3.53,3.5,3.22,2.97,3.39
Basic EPS,,3.54,3.51,3.23,2.98,3.4
Diluted NI Availto Com Stockholders,3342000000.0,3263000000.0,3258000000.0,3011000000.0,2791000000.0,
Net Income Common Stockholders,3342000000.0,3263000000.0,3258000000.0,3011000000.0,2791000000.0,
Net Income,3342000000.0,3263000000.0,3258000000.0,3011000000.0,2791000000.0,
Net Income Including Noncontrolling Interests,3342000000.0,3263000000.0,3258000000.0,3011000000.0,2791000000.0,
Net Income Continuous Operations,3342000000.0,3263000000.0,3258000000.0,3011000000.0,2791000000.0,
Tax Provision,549000000.0,603000000.0,681000000.0,547000000.0,530000000.0,
Pretax Income,3891000000.0,3866000000.0,3939000000.0,3558000000.0,3321000000.0,
Other Income Expense,-159000000.0,-171000000.0,-47000000.0,-50000000.0,-229000000.0,
Other Non Operating Income Expenses,1000000.0,7000000.0,9000000.0,3000000.0,-26000000.0,
Special Income Charges,-280000000.0,-176000000.0,-98000000.0,-126000000.0,-308000000.0,
Other Special Charges,280000000.0,176000000.0,98000000.0,126000000.0,308000000.0,
Gain On Sale Of Security,120000000.0,-2000000.0,42000000.0,73000000.0,105000000.0,
Net Non Operating Interest Income Expense,-184000000.0,-159000000.0,-153000000.0,-150000000.0,-148000000.0,
Interest Expense Non Operating,184000000.0,159000000.0,153000000.0,150000000.0,148000000.0,
Operating Income,4234000000.0,4196000000.0,4139000000.0,3758000000.0,3698000000.0,
Operating Expense,1602000000.0,1274000000.0,1215000000.0,1076000000.0,1322000000.0,
Depreciation Amortization Depletion Income Statement,231000000.0,225000000.0,225000000.0,216000000.0,205000000.0,
Depreciation And Amortization In Income Statement,231000000.0,225000000.0,225000000.0,216000000.0,205000000.0,
Selling General And Administration,1371000000.0,1049000000.0,990000000.0,860000000.0,1117000000.0,
Selling And Marketing Expense,295000000.0,220000000.0,184000000.0,116000000.0,264000000.0,
General And Administrative Expense,1076000000.0,829000000.0,806000000.0,744000000.0,853000000.0,
Other Gand A,1076000000.0,829000000.0,806000000.0,744000000.0,853000000.0,
Gross Profit,5836000000.0,5470000000.0,5354000000.0,4834000000.0,5020000000.0,
Cost Of Revenue,1653000000.0,1899000000.0,1607000000.0,1514000000.0,1528000000.0,
Total Revenue,7489000000.0,7369000000.0,6961000000.0,6348000000.0,6548000000.0,
Operating Revenue,7489000000.0,7369000000.0,6961000000.0,6348000000.0,6548000000.0,
