,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Treasury Shares Number,945400000.0,944000000.0,943300000.0,939900000.0,937900000.0
Ordinary Shares Number,715200000.0,716619686.0,717343247.0,720681656.0,722700000.0
Share Issued,1660600000.0,1660619686.0,1660643247.0,1660581656.0,1660600000.0
Net Debt,37339000000.0,38365000000.0,37732000000.0,36530000000.0,34766000000.0
Total Debt,51948000000.0,53411000000.0,51999000000.0,50881000000.0,53091000000.0
Tangible Book Value,-6941000000.0,-8397000000.0,-7872000000.0,-7860000000.0,-7746000000.0
Invested Capital,34628000000.0,34409000000.0,33700000000.0,32536000000.0,34639000000.0
Working Capital,738000000.0,-1396000000.0,295000000.0,-829000000.0,1127000000.0
Net Tangible Assets,-6941000000.0,-8397000000.0,-7872000000.0,-7860000000.0,-7746000000.0
Capital Lease Obligations,13524000000.0,13825000000.0,13475000000.0,13513000000.0,13746000000.0
Common Stock Equity,-3796000000.0,-5177000000.0,-4824000000.0,-4832000000.0,-4706000000.0
Total Capitalization,34628000000.0,33813000000.0,33700000000.0,31932000000.0,32447000000.0
Total Equity Gross Minority Interest,-3797000000.0,-5177000000.0,-4824000000.0,-4833000000.0,-4707000000.0
Stockholders Equity,-3796000000.0,-5177000000.0,-4824000000.0,-4832000000.0,-4706000000.0
Gains Losses Not Affecting Retained Earnings,-2553000000.0,-2337000000.0,-2463000000.0,-2533000000.0,-2456000000.0
Other Equity Adjustments,-2553000000.0,-2337000000.0,-2463000000.0,-2533000000.0,-2456000000.0
Treasury Stock,77375000000.0,76870000000.0,76459000000.0,75520000000.0,74640000000.0
Retained Earnings,66834000000.0,64819000000.0,65026000000.0,64203000000.0,63480000000.0
Additional Paid In Capital,9281000000.0,9194000000.0,9055000000.0,9001000000.0,8893000000.0
Capital Stock,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0
Common Stock,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,58979000000.0,61349000000.0,58625000000.0,58346000000.0,60854000000.0
Total Non Current Liabilities Net Minority Interest,55118000000.0,55041000000.0,54715000000.0,53460000000.0,53995000000.0
Other Non Current Liabilities,770000000.0,854000000.0,885000000.0,927000000.0,950000000.0
Tradeand Other Payables Non Current,344000000.0,74000000.0,85000000.0,361000000.0,363000000.0
Non Current Deferred Liabilities,2692000000.0,1966000000.0,2401000000.0,2580000000.0,2471000000.0
Non Current Deferred Revenue,778000000.0,800000000.0,791000000.0,784000000.0,790000000.0
Non Current Deferred Taxes Liabilities,1914000000.0,1166000000.0,1610000000.0,1796000000.0,1681000000.0
Long Term Debt And Capital Lease Obligation,51312000000.0,52147000000.0,51344000000.0,49592000000.0,50211000000.0
Long Term Capital Lease Obligation,12888000000.0,13157000000.0,12820000000.0,12828000000.0,13058000000.0
Long Term Debt,38424000000.0,38990000000.0,38524000000.0,36764000000.0,37153000000.0
Current Liabilities,3861000000.0,6308000000.0,3910000000.0,4886000000.0,6859000000.0
Other Current Liabilities,,,,1000000.0,
Current Debt And Capital Lease Obligation,636000000.0,1264000000.0,655000000.0,1289000000.0,2880000000.0
Current Capital Lease Obligation,636000000.0,668000000.0,655000000.0,685000000.0,688000000.0
Current Debt,,596000000.0,,604000000.0,2192000000.0
Other Current Borrowings,,596000000.0,,604000000.0,2192000000.0
Payables And Accrued Expenses,3225000000.0,5044000000.0,3255000000.0,3596000000.0,3979000000.0
Current Accrued Expenses,1611000000.0,1786000000.0,1563000000.0,1508000000.0,1903000000.0
Interest Payable,482000000.0,433000000.0,421000000.0,372000000.0,469000000.0
Payables,1614000000.0,3258000000.0,1692000000.0,2088000000.0,2076000000.0
Dividends Payable,,1265000000.0,,,
Total Tax Payable,585000000.0,1049000000.0,743000000.0,1152000000.0,973000000.0
Income Tax Payable,361000000.0,786000000.0,464000000.0,873000000.0,705000000.0
Accounts Payable,1029000000.0,944000000.0,949000000.0,936000000.0,1103000000.0
