,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-3079196.217494,-20907000.0,-32395000.0,-6567000.0,-11734393.638171,
Tax Rate For Calcs,0.20528,0.207,0.209,0.199,0.189264,
Normalized EBITDA,3486000000.0,3857000000.0,3585000000.0,3324000000.0,3434700000.0,
Total Unusual Items,-15000000.0,-101000000.0,-155000000.0,-33000000.0,-62000000.0,
Total Unusual Items Excluding Goodwill,-15000000.0,-101000000.0,-155000000.0,-33000000.0,-62000000.0,
Net Income From Continuing Operation Net Minority Interest,2016000000.0,2255000000.0,2022000000.0,1929000000.0,2039000000.0,
Reconciled Depreciation,553000000.0,532000000.0,502000000.0,510000000.0,497500000.0,
Reconciled Cost Of Revenue,2292000000.0,2577000000.0,2371000000.0,2319000000.0,2345000000.0,
EBITDA,3471000000.0,3756000000.0,3430000000.0,3291000000.0,3372700000.0,
EBIT,2918000000.0,3224000000.0,2928000000.0,2781000000.0,2875200000.0,
Net Interest Income,-362000000.0,-363000000.0,-353000000.0,-325000000.0,-296300000.0,
Interest Expense,380000000.0,381000000.0,373000000.0,372000000.0,360200000.0,
Interest Income,18000000.0,18000000.0,20000000.0,47000000.0,63900000.0,
Normalized Income,2027920803.782506,2335093000.0,2144605000.0,1955433000.0,2089265606.361829,
Net Income From Continuing And Discontinued Operation,2016000000.0,2255000000.0,2022000000.0,1929000000.0,2039000000.0,
Total Expenses,3509000000.0,3645000000.0,3463000000.0,3451000000.0,3573400000.0,
Rent Expense Supplemental,3015000000.0,646000000.0,629000000.0,627000000.0,2932000000.0,
Total Operating Income As Reported,2868000000.0,3188000000.0,2920000000.0,2736000000.0,2801900000.0,
Diluted Average Shares,719700000.0,720000000.0,722000000.0,725900000.0,727800000.0,
Basic Average Shares,715200000.0,716619686.0,717343247.0,720681656.0,722700000.0,
Diluted EPS,2.8,3.13,2.8,2.66,2.8,
Basic EPS,2.82019,3.146718,2.818734,2.676633,2.821364,
Diluted NI Availto Com Stockholders,2016000000.0,2255000000.0,2022000000.0,1929000000.0,2039000000.0,
Net Income Common Stockholders,2016000000.0,2255000000.0,2022000000.0,1929000000.0,2039000000.0,
Net Income,2016000000.0,2255000000.0,2022000000.0,1929000000.0,2039000000.0,
Net Income Including Noncontrolling Interests,2017000000.0,2255000000.0,2022000000.0,1930000000.0,2039000000.0,
Net Income Continuous Operations,2017000000.0,2255000000.0,2022000000.0,1930000000.0,2039000000.0,
Tax Provision,521000000.0,588000000.0,533000000.0,479000000.0,476000000.0,
Pretax Income,2538000000.0,2843000000.0,2555000000.0,2409000000.0,2515000000.0,
Other Income Expense,20000000.0,-22000000.0,-120000000.0,15000000.0,-21800000.0,
Other Non Operating Income Expenses,21000000.0,27000000.0,-10000000.0,3000000.0,9000000.0,
Special Income Charges,-25000000.0,-91000000.0,-153000000.0,-28000000.0,-62100000.0,
Gain On Sale Of Ppe,-163000000.0,-2000000.0,-3000000.0,-2000000.0,19000000.0,
Gain On Sale Of Business,72000000.0,9000000.0,4000000.0,9000000.0,56900000.0,
Write Off,,98000000.0,154000000.0,35000000.0,138000000.0,26000000.0
Earnings From Equity Interest,14000000.0,52000000.0,45000000.0,45000000.0,31200000.0,
Gain On Sale Of Security,10000000.0,-10000000.0,-2000000.0,-5000000.0,100000.0,
Net Non Operating Interest Income Expense,-362000000.0,-363000000.0,-353000000.0,-325000000.0,-296300000.0,
Interest Expense Non Operating,380000000.0,381000000.0,373000000.0,372000000.0,360200000.0,
Interest Income Non Operating,18000000.0,18000000.0,20000000.0,47000000.0,63900000.0,
Operating Income,2879000000.0,3229000000.0,3027000000.0,2718000000.0,2832800000.0,
Operating Expense,800000000.0,647000000.0,691000000.0,721000000.0,821400000.0,
Depreciation Amortization Depletion Income Statement,136000000.0,111000000.0,101000000.0,99000000.0,90500000.0,
Depreciation And Amortization In Income Statement,136000000.0,111000000.0,101000000.0,99000000.0,90500000.0,
Selling General And Administration,664000000.0,536000000.0,590000000.0,622000000.0,730900000.0,
Gross Profit,3679000000.0,3876000000.0,3718000000.0,3439000000.0,3654200000.0,
Cost Of Revenue,2709000000.0,2998000000.0,2772000000.0,2730000000.0,2752000000.0,
Total Revenue,6388000000.0,6874000000.0,6490000000.0,6169000000.0,6406200000.0,
Operating Revenue,6269000000.0,6750000000.0,6401000000.0,6078000000.0,6342700000.0,
