,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,,,,0.0,
Ordinary Shares Number,2534487662.0,2524000000.0,2533087958.0,2537000000.0,2561000000.0,
Share Issued,2534487662.0,2524000000.0,2533087958.0,2537000000.0,2561000000.0,
Total Debt,49060000000.0,49047000000.0,37991000000.0,37633000000.0,37234000000.0,
Tangible Book Value,161068000000.0,143875000000.0,136109000000.0,128875000000.0,131726000000.0,
Invested Capital,211463000000.0,193352000000.0,175152000000.0,167916000000.0,171553000000.0,
Working Capital,66449000000.0,57737000000.0,49427000000.0,47229000000.0,53405000000.0,
Net Tangible Assets,161068000000.0,143875000000.0,136109000000.0,128875000000.0,131726000000.0,
Capital Lease Obligations,20234000000.0,20224000000.0,19602000000.0,19246000000.0,18849000000.0,
Common Stock Equity,182637000000.0,164529000000.0,156763000000.0,149529000000.0,153168000000.0,
Total Capitalization,211463000000.0,193352000000.0,175152000000.0,167916000000.0,171553000000.0,
Total Equity Gross Minority Interest,182637000000.0,164529000000.0,156763000000.0,149529000000.0,153168000000.0,
Stockholders Equity,182637000000.0,164529000000.0,156763000000.0,149529000000.0,153168000000.0,
Gains Losses Not Affecting Retained Earnings,-3097000000.0,-1192000000.0,-2695000000.0,-2655000000.0,-2155000000.0,
Other Equity Adjustments,-3097000000.0,-1192000000.0,-2695000000.0,-2655000000.0,-2155000000.0,
Retained Earnings,102506000000.0,84972000000.0,81188000000.0,76793000000.0,82070000000.0,
Additional Paid In Capital,83228000000.0,80749000000.0,78270000000.0,75391000000.0,73253000000.0,
Capital Stock,0.0,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,93417000000.0,91879000000.0,73475000000.0,73315000000.0,76455000000.0,
Total Non Current Liabilities Net Minority Interest,59821000000.0,58549000000.0,46471000000.0,45214000000.0,44495000000.0,
Other Non Current Liabilities,2716000000.0,2347000000.0,2500000000.0,1462000000.0,1370000000.0,
Tradeand Other Payables Non Current,9987000000.0,9171000000.0,7897000000.0,7795000000.0,7514000000.0,
Long Term Debt And Capital Lease Obligation,47118000000.0,47031000000.0,36074000000.0,35957000000.0,35611000000.0,
Long Term Capital Lease Obligation,18292000000.0,18208000000.0,17685000000.0,17570000000.0,17226000000.0,
Long Term Debt,28826000000.0,28823000000.0,18389000000.0,18387000000.0,18385000000.0,
Current Liabilities,33596000000.0,33330000000.0,27004000000.0,28101000000.0,31960000000.0,
Other Current Liabilities,6074000000.0,5705000000.0,5762000000.0,4909000000.0,6369000000.0,
Current Debt And Capital Lease Obligation,1942000000.0,2016000000.0,1917000000.0,1676000000.0,1623000000.0,
Current Capital Lease Obligation,1942000000.0,2016000000.0,1917000000.0,1676000000.0,1623000000.0,
Pensionand Other Post Retirement Benefit Plans Current,6350000000.0,5458000000.0,4130000000.0,3333000000.0,6659000000.0,
Payables And Accrued Expenses,19230000000.0,20151000000.0,15195000000.0,18183000000.0,17309000000.0,
Current Accrued Expenses,8105000000.0,9792000000.0,9778000000.0,9535000000.0,8805000000.0,
Payables,11125000000.0,10359000000.0,5417000000.0,8648000000.0,8504000000.0,
Dueto Related Parties Current,,,,,863000000.0,770000000.0
Total Tax Payable,3438000000.0,2703000000.0,2244000000.0,4863000000.0,3655000000.0,
Accounts Payable,7687000000.0,7656000000.0,3173000000.0,3785000000.0,4849000000.0,
Total Assets,276054000000.0,256408000000.0,230238000000.0,222844000000.0,229623000000.0,
Total Non Current Assets,176009000000.0,165341000000.0,153807000000.0,147514000000.0,144258000000.0,
Other Non Current Assets,12102000000.0,11642000000.0,9929000000.0,8179000000.0,6794000000.0,
Investments And Advances,6070000000.0,6071000000.0,6207000000.0,6218000000.0,6141000000.0,
Investmentin Financial Assets,6070000000.0,6071000000.0,6207000000.0,6218000000.0,6141000000.0,
Available For Sale Securities,6070000000.0,6071000000.0,6207000000.0,6218000000.0,6141000000.0,
Goodwill And Other Intangible Assets,21569000000.0,20654000000.0,20654000000.0,20654000000.0,21442000000.0,
Other Intangible Assets,915000000.0,,,,788000000.0,813000000.0
Goodwill,20654000000.0,20654000000.0,20654000000.0,20654000000.0,20654000000.0,
Net PPE,136268000000.0,126974000000.0,117017000000.0,112463000000.0,109881000000.0,
Accumulated Depreciation,-43317000000.0,-40854000000.0,-38395000000.0,-35910000000.0,-33134000000.0,
Gross PPE,179585000000.0,167828000000.0,155412000000.0,148373000000.0,143015000000.0,
Leases,7293000000.0,7246000000.0,7191000000.0,7079000000.0,6972000000.0,
Construction In Progress,26802000000.0,23301000000.0,21666000000.0,22975000000.0,24269000000.0,
Other Properties,95853000000.0,89775000000.0,81629000000.0,76922000000.0,71733000000.0,
Buildings And Improvements,47076000000.0,45392000000.0,42840000000.0,39322000000.0,37961000000.0,
Land And Improvements,2561000000.0,2114000000.0,2086000000.0,2075000000.0,2080000000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,100045000000.0,91067000000.0,76431000000.0,75330000000.0,85365000000.0,
Other Current Assets,5236000000.0,5467000000.0,3846000000.0,3780000000.0,3793000000.0,
Receivables,16994000000.0,14700000000.0,14505000000.0,13430000000.0,16169000000.0,
Accounts Receivable,16994000000.0,14700000000.0,14505000000.0,13430000000.0,16169000000.0,
Cash Cash Equivalents And Short Term Investments,77815000000.0,70900000000.0,58080000000.0,58120000000.0,65403000000.0,
Other Short Term Investments,33926000000.0,27048000000.0,26035000000.0,25813000000.0,23541000000.0,
Cash And Cash Equivalents,43889000000.0,43852000000.0,32045000000.0,32307000000.0,41862000000.0,
Cash Equivalents,36671000000.0,37323000000.0,25886000000.0,25812000000.0,35597000000.0,
Cash Financial,7218000000.0,6529000000.0,6159000000.0,6495000000.0,6265000000.0,
