,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-93456750.0,122174631.692425,16500500.0,-16846492.250377,7091840.407988,
Tax Rate For Calcs,0.25,0.254188,0.25,0.326679,0.271468,
Normalized EBITDA,11283025000.0,11692041000.0,7503849000.0,6833549000.0,14595843000.0,
Total Unusual Items,-373827000.0,480646000.0,66002000.0,-51569000.0,26124000.0,
Total Unusual Items Excluding Goodwill,-373827000.0,480646000.0,66002000.0,-51569000.0,26124000.0,
Net Income From Continuing Operation Net Minority Interest,1059647000.0,3156786000.0,604315000.0,1241562000.0,4594897000.0,
Reconciled Depreciation,3350758000.0,2612457000.0,2180388000.0,1833903000.0,4700882000.0,
Reconciled Cost Of Revenue,65977585000.0,56523494000.0,49586475000.0,41741539000.0,69866350000.0,
EBITDA,10909198000.0,12172687000.0,7569851000.0,6781980000.0,14621967000.0,
EBIT,7558440000.0,9560230000.0,5389463000.0,4948077000.0,9921085000.0,
Net Interest Income,-5543250000.0,-3700614000.0,-4267287000.0,-2823662000.0,-2729146000.0,
Interest Expense,6892376000.0,5124394000.0,4787052000.0,3067792000.0,3552270000.0,
Interest Income,3074585000.0,2535505000.0,1524365000.0,977802000.0,1649338000.0,
Normalized Income,1340017250.0,2798314631.692425,554813500.0,1276284507.749623,4575864840.407988,
Net Income From Continuing And Discontinued Operation,1061726000.0,3156786000.0,604315000.0,1241562000.0,4594897000.0,
Total Expenses,85260404000.0,71100005000.0,62969369000.0,53576406000.0,88164848000.0,
Rent Expense Supplemental,2357206000.0,1951361000.0,1620000000.0,1327814000.0,2072379000.0,
Total Operating Income As Reported,-2758691000.0,-418544000.0,-2201714000.0,-3256223000.0,-10542243000.0,
Diluted Average Shares,,181052330.0,18105233.0,181052330.0,,181052330.0
Basic Average Shares,,181052330.0,18105233.0,181052330.0,,181052330.0
Diluted EPS,,17.44,3.34,6.86,,27.94
Basic EPS,,17.44,3.34,6.86,,27.94
Diluted NI Availto Com Stockholders,1061726000.0,3156786000.0,604315000.0,1241562000.0,4594897000.0,
Net Income Common Stockholders,1061726000.0,3156786000.0,604315000.0,1241562000.0,4594897000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,1061726000.0,3156786000.0,604315000.0,1241562000.0,4594897000.0,
Minority Interests,-48059000.0,-151512000.0,-5305000.0,-24474000.0,-44986000.0,
Net Income Including Noncontrolling Interests,1109785000.0,3308298000.0,609620000.0,1266036000.0,4639883000.0,
Net Income Discontinuous Operations,2079000.0,0.0,,,,1083000.0
Net Income Continuous Operations,1107706000.0,3308298000.0,609620000.0,1266036000.0,4639883000.0,
Tax Provision,-441642000.0,1127538000.0,-7209000.0,614249000.0,1728932000.0,
Pretax Income,666064000.0,4435836000.0,602411000.0,1880285000.0,6368815000.0,
Other Non Operating Income Expenses,4293275000.0,4098212000.0,3319756000.0,5789129000.0,,9804452000.0
Special Income Charges,-377503000.0,494978000.0,19478000.0,-37549000.0,28245000.0,
Other Special Charges,34366000.0,-494978000.0,-19478000.0,37549000.0,-37209000.0,
Net Non Operating Interest Income Expense,-5543250000.0,-3700614000.0,-4267287000.0,-2823662000.0,-2729146000.0,
Total Other Finance Cost,1725459000.0,1111725000.0,1004600000.0,733672000.0,826214000.0,
Interest Expense Non Operating,6892376000.0,5124394000.0,4787052000.0,3067792000.0,3552270000.0,
Interest Income Non Operating,3074585000.0,2535505000.0,1524365000.0,977802000.0,1649338000.0,
Operating Income,2219499000.0,3386529000.0,1323212000.0,-1170101000.0,-8346918000.0,
Operating Expense,19282819000.0,14576511000.0,13382894000.0,11834867000.0,18298498000.0,
Other Operating Expenses,1004690000.0,662913000.0,668305000.0,531847000.0,873154000.0,
Depreciation And Amortization In Income Statement,3350758000.0,2263181000.0,2026248000.0,1833903000.0,4700882000.0,
Depreciation Income Statement,3350758000.0,2263181000.0,2026248000.0,1833903000.0,4700882000.0,
Selling General And Administration,3700136000.0,2549019000.0,2358593000.0,2030445000.0,3096923000.0,
Selling And Marketing Expense,3270740000.0,2145267000.0,2036947000.0,1728065000.0,2655296000.0,
General And Administrative Expense,429396000.0,403752000.0,321646000.0,302380000.0,441627000.0,
Rent And Landing Fees,2357206000.0,1951361000.0,1620000000.0,1327814000.0,2072379000.0,
Gross Profit,21502318000.0,17963040000.0,14706106000.0,10664766000.0,9951580000.0,
Cost Of Revenue,65977585000.0,56523494000.0,49586475000.0,41741539000.0,69866350000.0,
Total Revenue,87479903000.0,74486534000.0,64292581000.0,52406305000.0,79817930000.0,
Operating Revenue,87479903000.0,74486534000.0,64292581000.0,52406305000.0,79817930000.0,
