,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,2962116.0,2962116.0,2962116.0,2962116.0,2962116.0,
Ordinary Shares Number,178092117.0,178092117.0,178092117.0,178092117.0,178092117.0,
Share Issued,181054233.0,181054233.0,181054233.0,181054233.0,181054233.0,
Total Debt,21095641000.0,18492671000.0,14529825000.0,13423687000.0,10269978000.0,
Tangible Book Value,35176335000.0,33865457000.0,26838290000.0,25324178000.0,21252064000.0,
Invested Capital,58517651000.0,55675828000.0,47053092000.0,44901981000.0,38043488000.0,
Working Capital,-13319594000.0,-9887044000.0,-11755632000.0,-8732911000.0,-7019766000.0,
Net Tangible Assets,35176335000.0,33865457000.0,26838290000.0,25324178000.0,21252064000.0,
Capital Lease Obligations,19887270000.0,16907375000.0,12993722000.0,11062515000.0,8250808000.0,
Common Stock Equity,57309280000.0,54090532000.0,45516989000.0,42540809000.0,36024318000.0,
Total Capitalization,57523464000.0,54636058000.0,46028320000.0,43314054000.0,36890733000.0,
Total Equity Gross Minority Interest,57682196000.0,54435343000.0,45806224000.0,42809024000.0,36254137000.0,
Minority Interest,372916000.0,344811000.0,289235000.0,268215000.0,229819000.0,
Stockholders Equity,57309280000.0,54090532000.0,45516989000.0,42540809000.0,36024318000.0,
Other Equity Interest,2842770000.0,2399811000.0,2877774000.0,2640616000.0,,22074000.0
Fixed Assets Revaluation Reserve,2373291000.0,1756197000.0,2264656000.0,2102348000.0,1840770000.0,
Treasury Stock,861574000.0,810738000.0,744350000.0,686639000.0,596745000.0,
Retained Earnings,51785638000.0,48016421000.0,40434100000.0,37865376000.0,32025135000.0,
Additional Paid In Capital,,,,,2271207000.0,
Capital Stock,181054000.0,181054000.0,181054000.0,181054000.0,181054000.0,
Common Stock,181054000.0,181054000.0,181054000.0,181054000.0,181054000.0,
Total Liabilities Net Minority Interest,92376687000.0,80737604000.0,72671329000.0,62685521000.0,55875344000.0,
Total Non Current Liabilities Net Minority Interest,21363095000.0,19041873000.0,15102636000.0,13917558000.0,10979805000.0,
Other Non Current Liabilities,,,,,44417000.0,40437000.0
Non Current Pension And Other Postretirement Benefit Plans,1385774000.0,740494000.0,872817000.0,1012343000.0,1195346000.0,
Tradeand Other Payables Non Current,26055000.0,24871000.0,31178000.0,,,
Non Current Deferred Revenue,211650000.0,279909000.0,335211000.0,348879000.0,375220000.0,
Non Current Deferred Taxes Liabilities,3467425000.0,3895582000.0,2941263000.0,2923114000.0,2073679000.0,
Long Term Debt And Capital Lease Obligation,16272191000.0,14101017000.0,10922167000.0,9633222000.0,7291143000.0,
Long Term Capital Lease Obligation,16058007000.0,13555491000.0,10410836000.0,8859977000.0,6424728000.0,
Long Term Debt,214184000.0,545526000.0,511331000.0,773245000.0,866415000.0,
Current Liabilities,71013592000.0,61695731000.0,57568693000.0,48767963000.0,44895539000.0,
Other Current Liabilities,,,,,,264550000.0
Current Debt And Capital Lease Obligation,4823450000.0,4391654000.0,3607658000.0,3790465000.0,2978835000.0,
Current Capital Lease Obligation,3829263000.0,3351884000.0,2582886000.0,2202538000.0,1826080000.0,
Current Debt,994187000.0,1039770000.0,1024772000.0,1587927000.0,1152755000.0,
Pensionand Other Post Retirement Benefit Plans Current,1353287000.0,963284000.0,1036924000.0,938489000.0,937748000.0,
Current Provisions,488605000.0,304281000.0,297065000.0,184836000.0,214001000.0,
Payables,61372727000.0,54550979000.0,50367896000.0,42197084000.0,39844448000.0,
Other Payable,2406835000.0,3493913000.0,3712165000.0,2542392000.0,1691591000.0,
Total Tax Payable,2492843000.0,262626000.0,4925000.0,147557000.0,762414000.0,
Accounts Payable,56473049000.0,50794440000.0,46650806000.0,39507135000.0,37390443000.0,
Total Assets,150058883000.0,135172947000.0,118477553000.0,105494545000.0,92129481000.0,
Total Non Current Assets,92364885000.0,83364260000.0,72664492000.0,65459493000.0,54253708000.0,
Non Current Prepaid Assets,1025744000.0,2031572000.0,1638917000.0,1801132000.0,772955000.0,
Non Current Deferred Taxes Assets,,,,,,1392387000.0
Financial Assets,,,,,0.0,0.0
Investmentin Financial Assets,3381437000.0,3282713000.0,1579792000.0,1171156000.0,1059775000.0,
Available For Sale Securities,3381437000.0,,,,1059775000.0,
Long Term Equity Investment,21144000.0,,,,96178000.0,
Investmentsin Subsidiariesat Cost,21144000.0,,,,96178000.0,
Goodwill And Other Intangible Assets,22132945000.0,20225075000.0,18678699000.0,17216631000.0,14772254000.0,
Other Intangible Assets,2064944000.0,1432130000.0,1425630000.0,1301246000.0,1078672000.0,
Goodwill,20068001000.0,18792945000.0,17253069000.0,15915385000.0,13693582000.0,
Net PPE,65803615000.0,57791819000.0,50735986000.0,45239301000.0,37552546000.0,
Accumulated Depreciation,-53181433000.0,-48281898000.0,-42779943000.0,-38159190000.0,-31625626000.0,
Gross PPE,118985048000.0,106073717000.0,93515929000.0,83398491000.0,69178172000.0,
Construction In Progress,2740619000.0,4042111000.0,2457521000.0,1638947000.0,1986941000.0,
Other Properties,11371710000.0,9686338000.0,8714397000.0,8000742000.0,6762649000.0,
Machinery Furniture Equipment,24951010000.0,21784451000.0,19716370000.0,18256786000.0,21947251000.0,
Buildings And Improvements,77791676000.0,68866845000.0,60306599000.0,53332104000.0,43336185000.0,
Land And Improvements,2130033000.0,1693972000.0,2321042000.0,2169912000.0,1907795000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,57693998000.0,51808687000.0,45813061000.0,40035052000.0,37875773000.0,
Other Current Assets,57824000.0,315928000.0,239932000.0,75078000.0,68841000.0,
Hedging Assets Current,,4813000.0,25062000.0,8265000.0,0.0,0.0
Restricted Cash,1280346000.0,,,,1576923000.0,
Prepaid Assets,1297241000.0,1288318000.0,1065531000.0,1243079000.0,563507000.0,
Inventory,31152150000.0,25581829000.0,25884553000.0,22729019000.0,21928796000.0,
Inventories Adjustments Allowances,-520736000.0,-576132000.0,-551199000.0,-509462000.0,-455889000.0,
Other Inventories,84566000.0,105137000.0,78920000.0,86605000.0,69047000.0,
Finished Goods,30730330000.0,25284639000.0,25693589000.0,22539449000.0,21821285000.0,
Work In Process,561314000.0,533798000.0,388802000.0,403809000.0,324134000.0,
Raw Materials,296676000.0,234387000.0,274441000.0,208618000.0,170219000.0,
Other Receivables,178882000.0,493462000.0,402796000.0,752399000.0,135989000.0,
Taxes Receivable,1063967000.0,,,,1991300000.0,0.0
Accounts Receivable,1398068000.0,1214005000.0,1627129000.0,1131224000.0,369985000.0,
Allowance For Doubtful Accounts Receivable,-228869000.0,,,,-194596000.0,
Gross Accounts Receivable,1626937000.0,,,,564581000.0,
Cash Cash Equivalents And Short Term Investments,21265520000.0,22910332000.0,16568058000.0,14095988000.0,11240432000.0,
Other Short Term Investments,21524000.0,9184000.0,42899000.0,64916000.0,462505000.0,
Cash And Cash Equivalents,21243996000.0,22901148000.0,16525159000.0,14031072000.0,10777927000.0,
Cash Equivalents,20895078000.0,,,,10402420000.0,
Cash Financial,348918000.0,,,,375507000.0,
