,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,1049466187.0,1045073377.0,1041454052.0,1044402655.0,1045470249.0,
Ordinary Shares Number,2527637335.0,2532030145.0,2535649470.0,2532700867.0,2531633273.0,
Share Issued,3577103522.0,3577103522.0,3577103522.0,3577103522.0,3577103522.0,
Net Debt,23869000000.0,23538000000.0,26484000000.0,28640000000.0,28214000000.0,
Total Debt,37111000000.0,38131000000.0,37788000000.0,34219000000.0,35055000000.0,
Tangible Book Value,8275000000.0,5795000000.0,5437000000.0,1611000000.0,-1627000000.0,
Invested Capital,83424000000.0,82633000000.0,81370000000.0,74583000000.0,72636000000.0,
Working Capital,10362000000.0,10775000000.0,12145000000.0,6346000000.0,6474000000.0,
Net Tangible Assets,8275000000.0,5795000000.0,5437000000.0,1611000000.0,-1627000000.0,
Common Stock Equity,46313000000.0,44502000000.0,43582000000.0,40364000000.0,37581000000.0,
Total Capitalization,80775000000.0,79484000000.0,78299000000.0,71506000000.0,71264000000.0,
Total Equity Gross Minority Interest,46372000000.0,44560000000.0,43648000000.0,40424000000.0,37635000000.0,
Minority Interest,59000000.0,58000000.0,66000000.0,60000000.0,54000000.0,
Stockholders Equity,46313000000.0,44502000000.0,43582000000.0,40364000000.0,37581000000.0,
Gains Losses Not Affecting Retained Earnings,-4945000000.0,-5371000000.0,-5361000000.0,-5274000000.0,-5161000000.0,
Other Equity Adjustments,-4945000000.0,-5371000000.0,-5361000000.0,-5274000000.0,-5161000000.0,
Treasury Stock,58303000000.0,57829000000.0,57394000000.0,57445000000.0,57450000000.0,
Retained Earnings,63069000000.0,61384000000.0,60187000000.0,56697000000.0,53895000000.0,
Additional Paid In Capital,44704000000.0,44530000000.0,44362000000.0,44598000000.0,44509000000.0,
Capital Stock,1788000000.0,1788000000.0,1788000000.0,1788000000.0,1788000000.0,
Common Stock,1788000000.0,1788000000.0,1788000000.0,1788000000.0,1788000000.0,
Total Liabilities Net Minority Interest,70734000000.0,72972000000.0,68982000000.0,65425000000.0,69040000000.0,
Total Non Current Liabilities Net Minority Interest,42314000000.0,43386000000.0,42922000000.0,40326000000.0,43346000000.0,
Other Non Current Liabilities,6465000000.0,7540000000.0,7329000000.0,8262000000.0,8792000000.0,
Non Current Deferred Liabilities,1387000000.0,864000000.0,876000000.0,922000000.0,871000000.0,
Non Current Deferred Taxes Liabilities,1387000000.0,864000000.0,876000000.0,922000000.0,871000000.0,
Long Term Debt And Capital Lease Obligation,34462000000.0,34982000000.0,34717000000.0,31142000000.0,33683000000.0,
Long Term Debt,34462000000.0,34982000000.0,34717000000.0,31142000000.0,33683000000.0,
Current Liabilities,28420000000.0,29586000000.0,26060000000.0,25099000000.0,25694000000.0,
Current Debt And Capital Lease Obligation,2649000000.0,3149000000.0,3071000000.0,3077000000.0,1372000000.0,
Current Debt,2649000000.0,3149000000.0,3071000000.0,3077000000.0,1372000000.0,
Payables And Accrued Expenses,25771000000.0,26437000000.0,22989000000.0,22022000000.0,24322000000.0,
Current Accrued Expenses,15694000000.0,16539000000.0,14712000000.0,14102000000.0,15766000000.0,
Payables,10077000000.0,9898000000.0,8277000000.0,7920000000.0,8556000000.0,
Dividends Payable,2084000000.0,1982000000.0,1981000000.0,2008000000.0,1985000000.0,
Total Tax Payable,3914000000.0,4330000000.0,2777000000.0,2398000000.0,2649000000.0,
Income Tax Payable,3914000000.0,4330000000.0,2777000000.0,2398000000.0,2649000000.0,
Accounts Payable,4079000000.0,3586000000.0,3519000000.0,3514000000.0,3922000000.0,
Total Assets,117106000000.0,117532000000.0,112630000000.0,105849000000.0,106675000000.0,
Total Non Current Assets,78324000000.0,77171000000.0,74425000000.0,74404000000.0,74507000000.0,
Other Non Current Assets,16044000000.0,14443000000.0,12702000000.0,12326000000.0,11996000000.0,
Investments And Advances,463000000.0,575000000.0,357000000.0,280000000.0,252000000.0,
Investmentin Financial Assets,463000000.0,,,,252000000.0,
Trading Securities,463000000.0,,,,252000000.0,
Goodwill And Other Intangible Assets,38038000000.0,38707000000.0,38145000000.0,38753000000.0,39208000000.0,
Other Intangible Assets,16370000000.0,17010000000.0,16984000000.0,17572000000.0,18011000000.0,
Goodwill,21668000000.0,21697000000.0,21161000000.0,21181000000.0,21197000000.0,
Net PPE,23779000000.0,23446000000.0,23221000000.0,23045000000.0,23051000000.0,
Accumulated Depreciation,-19155000000.0,-19072000000.0,-18960000000.0,-18620000000.0,-18266000000.0,
Gross PPE,42934000000.0,42518000000.0,42181000000.0,41665000000.0,41317000000.0,
Construction In Progress,7984000000.0,,,,8262000000.0,
Machinery Furniture Equipment,18283000000.0,,,,17763000000.0,
Buildings And Improvements,16360000000.0,,,,14966000000.0,
Land And Improvements,307000000.0,,,,326000000.0,
Properties,0.0,,,,0.0,
Current Assets,38782000000.0,40361000000.0,38205000000.0,31445000000.0,32168000000.0,
Other Current Assets,8706000000.0,8143000000.0,8740000000.0,7950000000.0,8368000000.0,
Inventory,6109000000.0,6244000000.0,6469000000.0,6510000000.0,6358000000.0,
Inventories Adjustments Allowances,,-762000000.0,-687000000.0,-621000000.0,,-469000000.0
Finished Goods,,1939000000.0,1889000000.0,1902000000.0,,1840000000.0
Raw Materials,,5067000000.0,5267000000.0,5229000000.0,,4760000000.0
Receivables,10278000000.0,11381000000.0,11642000000.0,11366000000.0,10349000000.0,
Accounts Receivable,10278000000.0,11381000000.0,11642000000.0,11366000000.0,10349000000.0,
Allowance For Doubtful Accounts Receivable,-89000000.0,-79000000.0,-82000000.0,-80000000.0,-88000000.0,
Gross Accounts Receivable,10367000000.0,11460000000.0,11724000000.0,11446000000.0,10437000000.0,
Cash Cash Equivalents And Short Term Investments,13689000000.0,14593000000.0,11354000000.0,5619000000.0,7093000000.0,
Other Short Term Investments,447000000.0,0.0,50000000.0,40000000.0,252000000.0,
Cash And Cash Equivalents,13242000000.0,14593000000.0,11304000000.0,5579000000.0,6841000000.0,
