,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-26152517.985612,-27240000.0,-7644000.0,-10017000.0,-126800000.0
Tax Rate For Calcs,0.102158,0.227,0.091,0.159,0.4
Normalized EBITDA,5951000000.0,5726000000.0,7532000000.0,7020000000.0,-455000000.0
Total Unusual Items,-256000000.0,-120000000.0,-84000000.0,-63000000.0,-317000000.0
Total Unusual Items Excluding Goodwill,-256000000.0,-120000000.0,-84000000.0,-63000000.0,-317000000.0
Net Income From Continuing Operation Net Minority Interest,3743000000.0,3157000000.0,5455000000.0,4762000000.0,-1226000000.0
Reconciled Depreciation,1197000000.0,1186000000.0,1132000000.0,984000000.0,964000000.0
Reconciled Cost Of Revenue,3828000000.0,4080000000.0,3745000000.0,3540000000.0,3912000000.0
EBITDA,5695000000.0,5606000000.0,7448000000.0,6957000000.0,-772000000.0
EBIT,4498000000.0,4420000000.0,6316000000.0,5973000000.0,-1736000000.0
Net Interest Income,-182000000.0,-203000000.0,-241000000.0,-230000000.0,-240000000.0
Interest Expense,328000000.0,330000000.0,310000000.0,303000000.0,310000000.0
Interest Income,146000000.0,127000000.0,69000000.0,73000000.0,70000000.0
Normalized Income,3972847482.014388,3249760000.0,5531356000.0,4814983000.0,-1035800000.0
Net Income From Continuing And Discontinued Operation,3743000000.0,3157000000.0,5455000000.0,4762000000.0,-1226000000.0
Total Expenses,11276000000.0,12673000000.0,9984000000.0,10015000000.0,16343000000.0
Diluted Average Shares,2537000000.0,2541000000.0,2544000000.0,2544000000.0,2554166667.0
Basic Average Shares,2527637335.0,2532030145.0,2535649470.0,2532700867.0,2554166667.0
Diluted EPS,1.48,1.24,2.14,1.87,-0.48
Basic EPS,1.48083,1.246826,2.151323,1.880206,-0.48
Diluted NI Availto Com Stockholders,3743000000.0,3157000000.0,5455000000.0,4762000000.0,-1226000000.0
Net Income Common Stockholders,3743000000.0,3157000000.0,5455000000.0,4762000000.0,-1226000000.0
Net Income,3743000000.0,3157000000.0,5455000000.0,4762000000.0,-1226000000.0
Minority Interests,-1000000.0,-4000000.0,-6000000.0,-5000000.0,0.0
Net Income Including Noncontrolling Interests,3744000000.0,3161000000.0,5461000000.0,4767000000.0,-1226000000.0
Net Income Continuous Operations,3744000000.0,3161000000.0,5461000000.0,4767000000.0,-1226000000.0
Tax Provision,426000000.0,929000000.0,545000000.0,903000000.0,-820000000.0
Pretax Income,4170000000.0,4090000000.0,6006000000.0,5670000000.0,-2046000000.0
Other Income Expense,4000000.0,309000000.0,119000000.0,140000000.0,-93000000.0
Other Non Operating Income Expenses,260000000.0,429000000.0,203000000.0,203000000.0,224000000.0
Special Income Charges,-51000000.0,-56000000.0,-80000000.0,-123000000.0,-255000000.0
Restructuring And Mergern Acquisition,51000000.0,56000000.0,80000000.0,123000000.0,255000000.0
Gain On Sale Of Security,-205000000.0,-64000000.0,-4000000.0,60000000.0,-62000000.0
Net Non Operating Interest Income Expense,-182000000.0,-203000000.0,-241000000.0,-230000000.0,-240000000.0
Interest Expense Non Operating,328000000.0,330000000.0,310000000.0,303000000.0,310000000.0
Interest Income Non Operating,146000000.0,127000000.0,69000000.0,73000000.0,70000000.0
Operating Income,4348000000.0,3984000000.0,6128000000.0,5760000000.0,-1713000000.0
Operating Expense,7448000000.0,8593000000.0,6239000000.0,6475000000.0,12431000000.0
Research And Development,4584000000.0,5862000000.0,3500000000.0,3992000000.0,9627000000.0
Selling General And Administration,2864000000.0,2731000000.0,2739000000.0,2483000000.0,2804000000.0
Gross Profit,11796000000.0,12577000000.0,12367000000.0,12235000000.0,10718000000.0
Cost Of Revenue,3828000000.0,4080000000.0,3745000000.0,3540000000.0,3912000000.0
Total Revenue,15624000000.0,16657000000.0,16112000000.0,15775000000.0,14630000000.0
Operating Revenue,15624000000.0,16657000000.0,16112000000.0,15775000000.0,14630000000.0
