,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Ordinary Shares Number,7434880776.0,7436000000.0,7434138859.0,7432305794.0,7431612107.0,
Share Issued,7434880776.0,7436000000.0,7434138859.0,7432305794.0,7431612107.0,
Net Debt,27488000000.0,24277000000.0,33315000000.0,45808000000.0,56914000000.0,
Total Debt,62224000000.0,61478000000.0,67127000000.0,79911000000.0,88374000000.0,
Tangible Book Value,158119000000.0,141598000000.0,121660000000.0,105161000000.0,89441000000.0,
Invested Capital,347665000000.0,332840000000.0,320107000000.0,318594000000.0,312487000000.0,
Working Capital,38198000000.0,34726000000.0,34448000000.0,28655000000.0,26377000000.0,
Net Tangible Assets,158119000000.0,141598000000.0,121660000000.0,105161000000.0,89441000000.0,
Capital Lease Obligations,17254000000.0,16361000000.0,15497000000.0,14469000000.0,14155000000.0,
Common Stock Equity,302695000000.0,287723000000.0,268477000000.0,253152000000.0,238268000000.0,
Total Capitalization,342417000000.0,330591000000.0,311165000000.0,295810000000.0,283196000000.0,
Total Equity Gross Minority Interest,302695000000.0,287723000000.0,268477000000.0,253152000000.0,238268000000.0,
Stockholders Equity,302695000000.0,287723000000.0,268477000000.0,253152000000.0,238268000000.0,
Gains Losses Not Affecting Retained Earnings,-5616000000.0,-4182000000.0,-5590000000.0,-5435000000.0,-4949000000.0,
Other Equity Adjustments,-5616000000.0,-4182000000.0,-5590000000.0,-5435000000.0,-4949000000.0,
Retained Earnings,203482000000.0,188929000000.0,173144000000.0,159394000000.0,145737000000.0,
Capital Stock,104829000000.0,102976000000.0,100923000000.0,99193000000.0,97480000000.0,
Common Stock,104829000000.0,102976000000.0,100923000000.0,99193000000.0,97480000000.0,
Total Liabilities Net Minority Interest,231203000000.0,235290000000.0,243686000000.0,231123000000.0,232290000000.0,
Total Non Current Liabilities Net Minority Interest,122321000000.0,120090000000.0,118400000000.0,112598000000.0,111274000000.0,
Other Non Current Liabilities,35906000000.0,31165000000.0,27064000000.0,23271000000.0,20787000000.0,
Tradeand Other Payables Non Current,24389000000.0,24452000000.0,27931000000.0,26786000000.0,25890000000.0,
Non Current Deferred Liabilities,5050000000.0,5244000000.0,5220000000.0,5414000000.0,5514000000.0,
Non Current Deferred Revenue,2537000000.0,2663000000.0,2602000000.0,2945000000.0,2966000000.0,
Non Current Deferred Taxes Liabilities,2513000000.0,2581000000.0,2618000000.0,2469000000.0,2548000000.0,
Long Term Debt And Capital Lease Obligation,56976000000.0,59229000000.0,58185000000.0,57127000000.0,59083000000.0,
Long Term Capital Lease Obligation,17254000000.0,16361000000.0,15497000000.0,14469000000.0,14155000000.0,
Long Term Debt,39722000000.0,42868000000.0,42688000000.0,42658000000.0,44928000000.0,
Current Liabilities,108882000000.0,115200000000.0,125286000000.0,118525000000.0,121016000000.0,
Other Current Liabilities,20286000000.0,19114000000.0,19185000000.0,18023000000.0,16362000000.0,
Current Deferred Liabilities,45508000000.0,53026000000.0,57582000000.0,41888000000.0,43068000000.0,
Current Deferred Revenue,45508000000.0,53026000000.0,57582000000.0,41888000000.0,43068000000.0,
Current Debt And Capital Lease Obligation,5248000000.0,2249000000.0,8942000000.0,22784000000.0,29291000000.0,
Current Debt,5248000000.0,2249000000.0,8942000000.0,22784000000.0,29291000000.0,
Other Current Borrowings,,2249000000.0,2249000000.0,2249000000.0,2250000000.0,3748000000.0
Commercial Paper,,0.0,6693000000.0,20535000000.0,27041000000.0,25808000000.0
Pensionand Other Post Retirement Benefit Plans Current,9176000000.0,8326000000.0,12564000000.0,10432000000.0,8813000000.0,
Payables And Accrued Expenses,28664000000.0,32485000000.0,27013000000.0,25398000000.0,23482000000.0,
Payables,28664000000.0,32485000000.0,27013000000.0,25398000000.0,23482000000.0,
Total Tax Payable,6056000000.0,9717000000.0,5017000000.0,7311000000.0,5787000000.0,
