,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31
Ordinary Shares Number,1476887752.0,1481897252.0,1490897252.0,1503000000.0,1510897252.0,,
Share Issued,1476887752.0,1481897252.0,1490897252.0,1503000000.0,1510897252.0,,
Net Debt,359000000.0,1043000000.0,525000000.0,,,1017000000.0,2757000000.0
Total Debt,11911000000.0,12065000000.0,12126000000.0,11952000000.0,12101000000.0,,
Tangible Book Value,13509000000.0,13538000000.0,13445000000.0,13931000000.0,13727000000.0,,
Invested Capital,22967000000.0,23059000000.0,22954000000.0,23339000000.0,23162000000.0,,
Working Capital,13386000000.0,13734000000.0,14412000000.0,14789000000.0,15724000000.0,,
Net Tangible Assets,13509000000.0,13538000000.0,13445000000.0,13931000000.0,13727000000.0,,
Capital Lease Obligations,2951000000.0,3043000000.0,3116000000.0,3043000000.0,3165000000.0,,
Common Stock Equity,14007000000.0,14037000000.0,13944000000.0,14430000000.0,14226000000.0,,
Total Capitalization,21963000000.0,22010000000.0,21942000000.0,22333000000.0,23156000000.0,,
Total Equity Gross Minority Interest,14007000000.0,14037000000.0,13944000000.0,14430000000.0,14226000000.0,,
Stockholders Equity,14007000000.0,14037000000.0,13944000000.0,14430000000.0,14226000000.0,,
Gains Losses Not Affecting Retained Earnings,263000000.0,202000000.0,-27000000.0,53000000.0,125000000.0,,
Other Equity Adjustments,263000000.0,202000000.0,-27000000.0,53000000.0,125000000.0,,
Retained Earnings,-175000000.0,54000000.0,411000000.0,965000000.0,970000000.0,,
Additional Paid In Capital,13916000000.0,13778000000.0,13557000000.0,13409000000.0,13128000000.0,,
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,,
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,,
Total Liabilities Net Minority Interest,23786000000.0,23922000000.0,23923000000.0,23680000000.0,23130000000.0,,
Total Non Current Liabilities Net Minority Interest,12563000000.0,12676000000.0,13295000000.0,13087000000.0,14101000000.0,,
Other Non Current Liabilities,2130000000.0,2141000000.0,2672000000.0,2618000000.0,2480000000.0,,
Preferred Securities Outside Stock Equity,0.0,0.0,0.0,0.0,0.0,,
Long Term Debt And Capital Lease Obligation,10433000000.0,10535000000.0,10623000000.0,10469000000.0,11621000000.0,,
Long Term Capital Lease Obligation,2477000000.0,2562000000.0,2625000000.0,2566000000.0,2691000000.0,,
Long Term Debt,7956000000.0,7973000000.0,7998000000.0,7903000000.0,8930000000.0,,
Current Liabilities,11223000000.0,11246000000.0,10628000000.0,10593000000.0,9029000000.0,,
Current Debt And Capital Lease Obligation,1478000000.0,1530000000.0,1503000000.0,1483000000.0,480000000.0,,
Current Capital Lease Obligation,474000000.0,481000000.0,491000000.0,477000000.0,474000000.0,,
