,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.059,0.179,0.196,0.130939,0.165,,
Normalized EBITDA,1030000000.0,1569000000.0,1393000000.0,1750000000.0,1606000000.0,,
Net Income From Continuing Operation Net Minority Interest,794000000.0,1163000000.0,1051000000.0,1500000000.0,1172000000.0,,
Reconciled Depreciation,242000000.0,185000000.0,184000000.0,204000000.0,270000000.0,,
Reconciled Cost Of Revenue,6594000000.0,6965000000.0,6332000000.0,6972000000.0,6867000000.0,,
EBITDA,1030000000.0,1569000000.0,1393000000.0,1750000000.0,1606000000.0,,
EBIT,788000000.0,1384000000.0,1209000000.0,1546000000.0,1336000000.0,,
Net Interest Income,18000000.0,24000000.0,43000000.0,53000000.0,52000000.0,,
Normalized Income,794000000.0,1163000000.0,1051000000.0,1500000000.0,1172000000.0,,
Net Income From Continuing And Discontinued Operation,794000000.0,1163000000.0,1051000000.0,1500000000.0,1172000000.0,,
Total Expenses,10481000000.0,10970000000.0,10380000000.0,11060000000.0,11093000000.0,,
Diluted Average Shares,1480600000.0,1490000000.0,1502000000.0,1516700000.0,1526500000.0,,
Basic Average Shares,1478100000.0,1486800000.0,1497700000.0,1508000000.0,1513200000.0,,
Diluted EPS,0.54,0.78,0.7,0.99,0.77,,
Basic EPS,0.54,0.78,0.7,0.99,0.77,,
Diluted NI Availto Com Stockholders,794000000.0,1163000000.0,1051000000.0,1500000000.0,1172000000.0,,
Net Income Common Stockholders,794000000.0,1163000000.0,1051000000.0,1500000000.0,1172000000.0,,
Net Income,794000000.0,1163000000.0,1051000000.0,1500000000.0,1172000000.0,,
Net Income Including Noncontrolling Interests,794000000.0,1163000000.0,1051000000.0,1500000000.0,1172000000.0,,
Net Income Continuous Operations,794000000.0,1163000000.0,1051000000.0,1500000000.0,1172000000.0,,
Tax Provision,50000000.0,253000000.0,256000000.0,226000000.0,232000000.0,,
Pretax Income,844000000.0,1416000000.0,1307000000.0,1726000000.0,1404000000.0,,
Other Income Expense,38000000.0,8000000.0,55000000.0,127000000.0,16000000.0,,
Other Non Operating Income Expenses,38000000.0,8000000.0,55000000.0,127000000.0,16000000.0,,
Net Non Operating Interest Income Expense,18000000.0,24000000.0,43000000.0,53000000.0,52000000.0,,
Total Other Finance Cost,-18000000.0,-24000000.0,-43000000.0,-53000000.0,-52000000.0,,
Operating Income,788000000.0,1384000000.0,1209000000.0,1546000000.0,1336000000.0,,
Operating Expense,3887000000.0,4005000000.0,4048000000.0,4088000000.0,4226000000.0,,
Other Operating Expenses,,,,,,3032000000.0,3047000000.0
Selling General And Administration,3887000000.0,4005000000.0,4048000000.0,4088000000.0,4226000000.0,,
Selling And Marketing Expense,1088000000.0,1122000000.0,1226000000.0,1091000000.0,1011000000.0,,
General And Administrative Expense,2799000000.0,2883000000.0,2822000000.0,2997000000.0,3215000000.0,,
Other Gand A,2799000000.0,2883000000.0,2822000000.0,2997000000.0,3215000000.0,,
Gross Profit,4675000000.0,5389000000.0,5257000000.0,5634000000.0,5562000000.0,,
Cost Of Revenue,6594000000.0,6965000000.0,6332000000.0,6972000000.0,6867000000.0,,
Total Revenue,11269000000.0,12354000000.0,11589000000.0,12606000000.0,12429000000.0,,
Operating Revenue,11269000000.0,12354000000.0,11589000000.0,12606000000.0,12429000000.0,,
